course_category_id ,course_category_name,course_category_explain
112,Analog Circuit Design manager,Cystitis NEC
113,Dental Hygienist,Compartment syndrome NOS
114,Occupational Therapist,Leg ab w compl NEC-inc
115,Information Systems Manager,General medical exam NEC
116,Technical Writer,Cheyne-stokes respiratn
117,Information Systems Manager,Central pterygium
118,Occupational Therapist,Hx-health hazard NOS
119,Developer III,Bipol I manic-sev w psy
120,Geological Engineer,Leg ab w compl NEC-comp
121,Food Chemist,Acc d/t weightless envir
122,Statistician IV,Artic cartil dis-forearm
123,Nuclear Power Engineer,Adv eff blood agent NEC
124,Quality Engineer,Central pterygium
125,Statistician IV,Artic cartil dis-forearm
126,Geologist III,Sprain of pelvis
127,Help Desk Operator,Hx-health hazard NOS
128,Marketing Manager,Leg ab w compl NEC-comp
129,Developer III,Opn wnd lary w trac-comp
130,Technical Writer,Adv eff blood agent NEC
131,Geological Engineer,Suppurativ labyrinthitis
132,Developer III,Cheyne-stokes respiratn
133,Marketing Manager,Cheyne-stokes respiratn
134,Quality Engineer,Resp cond dt smoke inhal
135,Health Coach III,Compartment syndrome NOS
136,Desktop Support Technician,Adv eff blood agent NEC
137,Information Systems Manager,Chondrocalcin NOS-hand
138,Structural Analysis Engineer,Cl skull fx NEC-concuss
139,Developer II,Leg ab w compl NEC-comp
140,Biostatistician II,Other lymphedema
141,Human Resources Assistant II,Mal neo ant 2/3 tongue
142,Nuclear Power Engineer,Cheyne-stokes respiratn
143,Statistician IV,Opn wnd scrot/test-compl
144,Editor,Colon injury NOS-closed
145,Editor,Opn wnd lary w trac-comp
146,Quality Engineer,Chondrocalcin NOS-hand
147,Marketing Manager,Mal neo ant 2/3 tongue
148,Accountant III,Sprain of pelvis
149,Quality Engineer,Gc salpingitis (chronic)
150,Quality Engineer,Cystitis NEC
151,Senior Quality Eng,Cystitis NEC
152,Nuclear Power Engineer,Legal abor w hemorr-unsp
153,Information Systems Manager,Resp cond dt smoke inhal
154,Geologist III,Bipol I manic-sev w psy
155,Statistician IV,Horseback riding
156,Sales Associate,Sprain of pelvis
157,Quality Engineer,Poor fetal grth-antepart
158,Nuclear Power Engineer,Nervousness
159,Analog Circuit Design manager,Leg ab w compl NEC-comp
160,Accountant III,Nervousness
161,Occupational Therapist,Spastic entropion
162,Senior Developer,Thrombophlebitis migrans
163,Structural Analysis Engineer,Opn subdur hem-prol coma
164,Information Systems Manager,Acc d/t weightless envir
165,Geological Engineer,Cl skull fx NEC-concuss
166,Help Desk Operator,Acc d/t weightless envir
167,Biostatistician II,Leg ab w compl NEC-comp
168,Help Desk Operator,Artic cartil dis-forearm
169,Geologist III,Poor fetal grth-antepart
170,Desktop Support Technician,Cheyne-stokes respiratn
171,Quality Engineer,Poor fetal grth-antepart
172,Sales Associate,Opn wnd scrot/test-compl
173,Biostatistician II,Poor fetal grth-antepart
174,Food Chemist,Legal abor w hemorr-unsp
175,Analog Circuit Design manager,Severe birth asphyxia
176,Senior Quality Eng,Spastic entropion
177,Structural Analysis Engineer,Chondrocalcin NOS-hand
178,Statistician IV,Sezary's disease pelvic
179,Geologist IV,Cong fold/cyst post eye
180,Mechanical Systems Engineer,Severe birth asphyxia
181,Sales Associate,Central pterygium
182,Dental Hygienist,Cystitis NEC
183,Dental Hygienist,Leg ab w compl NEC-inc
184,Nuclear Power Engineer,Spastic entropion
185,Developer III,Hx-health hazard NOS
186,Senior Developer,Amebic brain abscess
187,Human Resources Assistant II,Opn subdur hem-prol coma
188,Help Desk Operator,Compartment syndrome NOS
189,Dental Hygienist,Severe birth asphyxia
190,Biostatistician II,Horseback riding
191,Senior Developer,Hx-health hazard NOS
192,Mechanical Systems Engineer,Chondrocalcin NOS-hand
193,Desktop Support Technician,Spastic entropion
194,Clinical Specialist,Compartment syndrome NOS
195,Nuclear Power Engineer,Other lymphedema
196,Geological Engineer,Acc d/t weightless envir
197,Information Systems Manager,Opn wnd lary w trac-comp
198,Recruiter,Central pterygium
199,Geologist III,Cong fold/cyst post eye
200,Quality Engineer,Severe birth asphyxia
201,Accountant III,Sezary's disease pelvic
202,Clinical Specialist,Artic cartil dis-forearm
203,Nuclear Power Engineer,Severe birth asphyxia
204,Nuclear Power Engineer,Artic cartil dis-forearm
205,Nuclear Power Engineer,Chondrocalcin NOS-hand
206,Recruiter,Sezary's disease pelvic
207,Marketing Manager,Compartment syndrome NOS
208,Senior Developer,Amebic brain abscess
209,Technical Writer,Horseback riding
210,Geologist IV,Gc salpingitis (chronic)
211,Occupational Therapist,Severe birth asphyxia
212,Sales Associate,Thrombophlebitis migrans
213,Analog Circuit Design manager,Thrombophlebitis migrans
214,Occupational Therapist,Nervousness
215,Analog Circuit Design manager,Artic cartil dis-forearm
216,Help Desk Operator,Thrombophlebitis migrans
217,Food Chemist,Spastic entropion
218,Analog Circuit Design manager,Opn subdur hem-prol coma
219,VP Sales,Suppurativ labyrinthitis
220,Help Desk Operator,Compartment syndrome NOS
221,Research Nurse,Artic cartil dis-forearm
222,Office Assistant III,Other lymphedema
223,Desktop Support Technician,Nervousness
224,Developer III,Thrombophlebitis migrans
225,Research Nurse,Central pterygium
226,Analog Circuit Design manager,Spastic entropion
227,Desktop Support Technician,Thrombophlebitis migrans
228,Nuclear Power Engineer,Nervousness
229,Accounting Assistant IV,Acc d/t weightless envir
230,Analog Circuit Design manager,Opn wnd lary w trac-comp
231,Quality Engineer,Cheyne-stokes respiratn
232,Research Nurse,Artic cartil dis-forearm
233,Clinical Specialist,Poor fetal grth-antepart
234,Accounting Assistant IV,Cong fold/cyst post eye
235,VP Sales,Resp cond dt smoke inhal
236,Editor,Mal neo ant 2/3 tongue
237,Senior Quality Eng,Chondrocalcin NOS-hand
238,Geological Engineer,Artic cartil dis-forearm
239,Human Resources Assistant II,Leg ab w compl NEC-inc
240,Structural Analysis Engineer,Opn subdur hem-prol coma
241,Marketing Manager,Compartment syndrome NOS
242,Food Chemist,Suppurativ labyrinthitis
243,Senior Developer,Opn wnd scrot/test-compl
244,Geological Engineer,Hx-health hazard NOS
245,Dental Hygienist,Artic cartil dis-forearm
246,Quality Engineer,Opn wnd scrot/test-compl
247,Analog Circuit Design manager,Other lymphedema
248,Human Resources Assistant II,Cl skull fx NEC-concuss
249,Quality Engineer,General medical exam NEC
250,Senior Quality Eng,Hx-health hazard NOS
251,Office Assistant III,Amebic brain abscess
252,Safety Technician III,Adv eff blood agent NEC
253,Food Chemist,Hx-health hazard NOS
254,Sales Associate,Amebic brain abscess
255,Accounting Assistant IV,Opn subdur hem-prol coma
256,Senior Quality Eng,Cystitis NEC
257,Quality Engineer,Bipol I manic-sev w psy
258,Geologist III,Severe birth asphyxia
259,Biostatistician II,Bipol I manic-sev w psy
260,Statistician IV,Leg ab w compl NEC-inc
261,Accounting Assistant IV,Leg ab w compl NEC-inc
262,Health Coach III,Sezary's disease pelvic
263,Biostatistician II,Amebic brain abscess
264,Desktop Support Technician,Gc salpingitis (chronic)
265,Senior Quality Eng,Horseback riding
266,Geological Engineer,Resp cond dt smoke inhal
267,Structural Analysis Engineer,Leg ab w compl NEC-inc
268,Geologist III,General medical exam NEC
269,Senior Developer,Amebic brain abscess
270,Marketing Manager,Suppurativ labyrinthitis
271,Sales Associate,Opn wnd lary w trac-comp
272,Quality Engineer,Opn wnd lary w trac-comp
273,Senior Developer,Thrombophlebitis migrans
274,Marketing Manager,Severe birth asphyxia
275,Editor,Cong fold/cyst post eye
276,Health Coach III,Compartment syndrome NOS
277,Information Systems Manager,Central pterygium
278,Human Resources Assistant II,Opn wnd lary w trac-comp
279,Safety Technician III,Opn wnd scrot/test-compl
280,Marketing Manager,Artic cartil dis-forearm
281,Geological Engineer,Compartment syndrome NOS
282,Food Chemist,Poor fetal grth-antepart
283,Geologist IV,Legal abor w hemorr-unsp
284,Occupational Therapist,Bipol I manic-sev w psy
285,Developer III,Acc d/t weightless envir
286,Dental Hygienist,Hx-health hazard NOS
287,Health Coach III,Cong fold/cyst post eye
288,Developer II,Leg ab w compl NEC-inc
289,Developer III,Other lymphedema
290,Senior Quality Eng,Hx-health hazard NOS
291,Office Assistant III,Colon injury NOS-closed
292,Clinical Specialist,Poor fetal grth-antepart
293,Accounting Assistant IV,Nervousness
294,Editor,Leg ab w compl NEC-comp
295,Nuclear Power Engineer,Artic cartil dis-forearm
296,Editor,Sezary's disease pelvic
297,Occupational Therapist,Other lymphedema
298,Statistician IV,Cl skull fx NEC-concuss
299,Recruiter,General medical exam NEC
300,Marketing Manager,Adv eff blood agent NEC
301,Developer II,Compartment syndrome NOS
302,Safety Technician III,Cystitis NEC
303,Geologist III,Amebic brain abscess
304,Human Resources Assistant II,Sezary's disease pelvic
305,Quality Engineer,Sezary's disease pelvic
306,Accountant III,Hx-health hazard NOS
307,VP Sales,Gc salpingitis (chronic)
308,Desktop Support Technician,Acc d/t weightless envir
309,Safety Technician III,Central pterygium
310,Recruiter,Other lymphedema
311,Senior Developer,Severe birth asphyxia
312,Editor,Cutan leishmanias asian
313,Clinical Specialist,Compartment syndrome NOS
314,Occupational Therapist,Poor fetal grth-antepart
315,Developer II,Mal neo ant 2/3 tongue
316,Mechanical Systems Engineer,Leg ab w compl NEC-inc
317,Geologist III,Leg ab w compl NEC-inc
318,Human Resources Assistant II,Bipol I manic-sev w psy
319,Dental Hygienist,Chondrocalcin NOS-hand
320,Geological Engineer,Cutan leishmanias asian
321,Developer II,Opn wnd lary w trac-comp
322,Information Systems Manager,Acc d/t weightless envir
323,Health Coach III,General medical exam NEC
324,Technical Writer,Cl skull fx NEC-concuss
325,Developer II,Cutan leishmanias asian
326,Occupational Therapist,Opn wnd lary w trac-comp
327,Developer III,Opn subdur hem-prol coma
328,Human Resources Assistant II,Resp cond dt smoke inhal
329,Human Resources Assistant II,Opn subdur hem-prol coma
330,Safety Technician III,Cong fold/cyst post eye
331,Help Desk Operator,Bipol I manic-sev w psy
332,Sales Associate,Opn wnd lary w trac-comp
333,Senior Developer,Severe birth asphyxia
334,Senior Developer,Sprain of pelvis
335,Desktop Support Technician,Gc salpingitis (chronic)
336,Geologist III,Acc d/t weightless envir
337,VP Sales,Severe birth asphyxia
338,Marketing Manager,Compartment syndrome NOS
339,Occupational Therapist,Cystitis NEC
340,Dental Hygienist,Central pterygium
341,Nuclear Power Engineer,Spastic entropion
342,Structural Analysis Engineer,Acc d/t weightless envir
343,Human Resources Assistant II,Cl skull fx NEC-concuss
344,Accountant III,Thrombophlebitis migrans
345,Marketing Manager,Nervousness
346,Dental Hygienist,Suppurativ labyrinthitis
347,Geologist IV,Opn wnd scrot/test-compl
348,Mechanical Systems Engineer,Cheyne-stokes respiratn
349,Biostatistician II,Amebic brain abscess
350,Occupational Therapist,Suppurativ labyrinthitis
351,Marketing Manager,Other lymphedema
352,Clinical Specialist,Nervousness
353,Health Coach III,Opn wnd scrot/test-compl
354,Occupational Therapist,Cutan leishmanias asian
355,Mechanical Systems Engineer,Compartment syndrome NOS
356,Office Assistant III,Opn wnd scrot/test-compl
357,Geological Engineer,Adv eff blood agent NEC
358,Editor,Cutan leishmanias asian
359,Analog Circuit Design manager,Opn wnd lary w trac-comp
360,Statistician IV,Colon injury NOS-closed
361,Senior Quality Eng,Leg ab w compl NEC-inc
362,Accountant III,Opn subdur hem-prol coma
363,Structural Analysis Engineer,Acc d/t weightless envir
364,VP Sales,Artic cartil dis-forearm
365,Health Coach III,Central pterygium
366,Safety Technician III,Mal neo ant 2/3 tongue
367,Information Systems Manager,Bipol I manic-sev w psy
368,Editor,Artic cartil dis-forearm
369,Developer II,Bipol I manic-sev w psy
370,Analog Circuit Design manager,Nervousness
371,Statistician IV,Poor fetal grth-antepart
372,Editor,Resp cond dt smoke inhal
373,Safety Technician III,Horseback riding
374,Geologist III,Amebic brain abscess
375,Biostatistician II,Legal abor w hemorr-unsp
376,Nuclear Power Engineer,Sezary's disease pelvic
377,Statistician IV,General medical exam NEC
378,Biostatistician II,Mal neo ant 2/3 tongue
379,Sales Associate,Gc salpingitis (chronic)
380,Developer II,Central pterygium
381,Nuclear Power Engineer,Leg ab w compl NEC-inc
382,Analog Circuit Design manager,Legal abor w hemorr-unsp
383,Analog Circuit Design manager,Nervousness
384,Office Assistant III,Suppurativ labyrinthitis
385,Geologist IV,Adv eff blood agent NEC
386,Marketing Manager,Colon injury NOS-closed
387,Nuclear Power Engineer,Cl skull fx NEC-concuss
388,Geological Engineer,General medical exam NEC
389,Editor,Hx-health hazard NOS
390,Accounting Assistant IV,Mal neo ant 2/3 tongue
391,Quality Engineer,Horseback riding
392,Human Resources Assistant II,Thrombophlebitis migrans
393,Quality Engineer,Colon injury NOS-closed
394,Safety Technician III,Thrombophlebitis migrans
395,Developer III,Leg ab w compl NEC-inc
396,Biostatistician II,Colon injury NOS-closed
397,Quality Engineer,Cystitis NEC
398,Recruiter,Opn subdur hem-prol coma
399,Recruiter,Thrombophlebitis migrans
400,Marketing Manager,Cl skull fx NEC-concuss
401,Sales Associate,Amebic brain abscess
402,Health Coach III,Horseback riding
403,Developer II,Nervousness
404,Information Systems Manager,Sezary's disease pelvic
405,Nuclear Power Engineer,Nervousness
406,Research Nurse,Bipol I manic-sev w psy
407,Marketing Manager,Opn subdur hem-prol coma
408,Technical Writer,Legal abor w hemorr-unsp
409,Occupational Therapist,Mal neo ant 2/3 tongue
410,Safety Technician III,Artic cartil dis-forearm
411,Structural Analysis Engineer,Artic cartil dis-forearm
412,VP Sales,Amebic brain abscess
413,Geologist IV,Cutan leishmanias asian
414,Developer III,Sprain of pelvis
415,Human Resources Assistant II,Acc d/t weightless envir
416,Mechanical Systems Engineer,Opn wnd lary w trac-comp
417,Geologist IV,Severe birth asphyxia
418,Biostatistician II,Severe birth asphyxia
419,Developer II,Compartment syndrome NOS
420,Structural Analysis Engineer,Resp cond dt smoke inhal
421,Developer II,Sezary's disease pelvic
422,Geologist IV,Severe birth asphyxia
423,Human Resources Assistant II,Mal neo ant 2/3 tongue
424,Marketing Manager,Horseback riding
425,Accounting Assistant IV,Severe birth asphyxia
426,Senior Quality Eng,Compartment syndrome NOS
427,Editor,Leg ab w compl NEC-comp
428,Recruiter,Leg ab w compl NEC-inc
429,Dental Hygienist,Cystitis NEC
430,Mechanical Systems Engineer,Cystitis NEC
431,Nuclear Power Engineer,Other lymphedema
432,Health Coach III,Leg ab w compl NEC-comp
433,Recruiter,Leg ab w compl NEC-inc
434,Desktop Support Technician,Legal abor w hemorr-unsp
435,Technical Writer,Resp cond dt smoke inhal
436,Human Resources Assistant II,Cheyne-stokes respiratn
437,Geological Engineer,Sezary's disease pelvic
438,Developer III,Hx-health hazard NOS
439,Sales Associate,Hx-health hazard NOS
440,Desktop Support Technician,Suppurativ labyrinthitis
441,Health Coach III,Resp cond dt smoke inhal
442,Mechanical Systems Engineer,Opn wnd lary w trac-comp
443,Geologist III,Hx-health hazard NOS
444,VP Sales,Cystitis NEC
445,Help Desk Operator,Cheyne-stokes respiratn
446,Occupational Therapist,Hx-health hazard NOS
447,Clinical Specialist,Opn wnd scrot/test-compl
448,Senior Quality Eng,Thrombophlebitis migrans
449,Editor,Leg ab w compl NEC-inc
450,Biostatistician II,Mal neo ant 2/3 tongue
451,Office Assistant III,Central pterygium
452,Editor,Spastic entropion
453,Geologist III,Resp cond dt smoke inhal
454,Accountant III,Horseback riding
455,Desktop Support Technician,Cutan leishmanias asian
456,Marketing Manager,Poor fetal grth-antepart
457,Human Resources Assistant II,Opn wnd scrot/test-compl
458,Information Systems Manager,Sezary's disease pelvic
459,Desktop Support Technician,Chondrocalcin NOS-hand
460,Human Resources Assistant II,Colon injury NOS-closed
461,Developer III,Leg ab w compl NEC-comp
462,Office Assistant III,Cong fold/cyst post eye
463,Geological Engineer,Cheyne-stokes respiratn
464,Desktop Support Technician,Suppurativ labyrinthitis
465,Recruiter,Legal abor w hemorr-unsp
466,Mechanical Systems Engineer,Cl skull fx NEC-concuss
467,Help Desk Operator,Opn wnd scrot/test-compl
468,Dental Hygienist,Nervousness
469,Safety Technician III,Poor fetal grth-antepart
470,Information Systems Manager,Cl skull fx NEC-concuss
471,Accountant III,Horseback riding
472,Biostatistician II,Hx-health hazard NOS
473,Senior Quality Eng,Cystitis NEC
474,Nuclear Power Engineer,Central pterygium
475,Dental Hygienist,Thrombophlebitis migrans
476,Developer III,Leg ab w compl NEC-comp
477,Accounting Assistant IV,Cheyne-stokes respiratn
478,Biostatistician II,Bipol I manic-sev w psy
479,Occupational Therapist,Horseback riding
480,Dental Hygienist,Severe birth asphyxia
481,Desktop Support Technician,Colon injury NOS-closed
482,Senior Quality Eng,Nervousness
483,Marketing Manager,Opn subdur hem-prol coma
484,Information Systems Manager,Leg ab w compl NEC-comp
485,Quality Engineer,Nervousness
486,Quality Engineer,Opn wnd lary w trac-comp
487,Nuclear Power Engineer,Nervousness
488,VP Sales,Resp cond dt smoke inhal
489,Mechanical Systems Engineer,Thrombophlebitis migrans
490,Research Nurse,Adv eff blood agent NEC
491,Occupational Therapist,Colon injury NOS-closed
492,Safety Technician III,Thrombophlebitis migrans
493,Geologist IV,Opn subdur hem-prol coma
494,Help Desk Operator,Adv eff blood agent NEC
495,Geologist IV,Mal neo ant 2/3 tongue
496,Geological Engineer,Hx-health hazard NOS
497,VP Sales,Chondrocalcin NOS-hand
498,Accountant III,Spastic entropion
499,Research Nurse,Spastic entropion
500,Statistician IV,Cystitis NEC
501,Desktop Support Technician,Acc d/t weightless envir
502,Developer II,Compartment syndrome NOS
503,Senior Quality Eng,Gc salpingitis (chronic)
504,Technical Writer,General medical exam NEC
505,Analog Circuit Design manager,Cong fold/cyst post eye
506,VP Sales,Cystitis NEC
507,Nuclear Power Engineer,Thrombophlebitis migrans
508,Safety Technician III,Artic cartil dis-forearm
509,Dental Hygienist,Opn subdur hem-prol coma
510,Senior Quality Eng,Severe birth asphyxia
511,Geological Engineer,Severe birth asphyxia
512,Structural Analysis Engineer,Bipol I manic-sev w psy
513,Dental Hygienist,Thrombophlebitis migrans
514,Health Coach III,Horseback riding
515,Clinical Specialist,Leg ab w compl NEC-inc
516,Developer II,Chondrocalcin NOS-hand
517,Quality Engineer,Other lymphedema
518,Help Desk Operator,Colon injury NOS-closed
519,Geologist III,Sprain of pelvis
520,Nuclear Power Engineer,Nervousness
521,Food Chemist,Mal neo ant 2/3 tongue
522,Information Systems Manager,Compartment syndrome NOS
523,Health Coach III,Legal abor w hemorr-unsp
524,Geological Engineer,Adv eff blood agent NEC
525,Human Resources Assistant II,Other lymphedema
526,Developer III,Resp cond dt smoke inhal
527,Help Desk Operator,Colon injury NOS-closed
528,Statistician IV,Opn wnd lary w trac-comp
529,Recruiter,Leg ab w compl NEC-comp
530,Recruiter,Legal abor w hemorr-unsp
531,Mechanical Systems Engineer,Cystitis NEC
532,Senior Quality Eng,Leg ab w compl NEC-inc
533,Help Desk Operator,Hx-health hazard NOS
534,Occupational Therapist,Opn subdur hem-prol coma
535,Analog Circuit Design manager,Amebic brain abscess
536,Dental Hygienist,Cutan leishmanias asian
537,Marketing Manager,Bipol I manic-sev w psy
538,Safety Technician III,Central pterygium
539,Dental Hygienist,Horseback riding
540,Biostatistician II,Leg ab w compl NEC-inc
541,Office Assistant III,Nervousness
542,Structural Analysis Engineer,Legal abor w hemorr-unsp
543,Quality Engineer,Cong fold/cyst post eye
544,Nuclear Power Engineer,Thrombophlebitis migrans
545,Desktop Support Technician,Artic cartil dis-forearm
546,Senior Quality Eng,Thrombophlebitis migrans
547,Senior Quality Eng,Artic cartil dis-forearm
548,Accountant III,Central pterygium
549,Clinical Specialist,Cheyne-stokes respiratn
550,Human Resources Assistant II,Other lymphedema
551,Safety Technician III,Thrombophlebitis migrans
552,Health Coach III,Hx-health hazard NOS
553,Safety Technician III,Artic cartil dis-forearm
554,Office Assistant III,Legal abor w hemorr-unsp
555,Biostatistician II,Spastic entropion
556,Health Coach III,Leg ab w compl NEC-comp
557,Senior Developer,Suppurativ labyrinthitis
558,Biostatistician II,Leg ab w compl NEC-comp
559,Safety Technician III,Gc salpingitis (chronic)
560,Mechanical Systems Engineer,Opn wnd scrot/test-compl
561,Food Chemist,Opn wnd lary w trac-comp
562,Biostatistician II,Leg ab w compl NEC-inc
563,Dental Hygienist,Compartment syndrome NOS
564,Geologist III,Artic cartil dis-forearm
565,Dental Hygienist,Thrombophlebitis migrans
566,Mechanical Systems Engineer,Sprain of pelvis
567,Human Resources Assistant II,Severe birth asphyxia
568,Analog Circuit Design manager,Compartment syndrome NOS
569,VP Sales,Opn subdur hem-prol coma
570,VP Sales,Leg ab w compl NEC-inc
571,Structural Analysis Engineer,Sezary's disease pelvic
572,Biostatistician II,Sprain of pelvis
573,Developer II,Poor fetal grth-antepart
574,Developer III,Amebic brain abscess
575,Nuclear Power Engineer,Gc salpingitis (chronic)
576,Accountant III,Compartment syndrome NOS
577,Desktop Support Technician,Mal neo ant 2/3 tongue
578,Health Coach III,Acc d/t weightless envir
579,Marketing Manager,Poor fetal grth-antepart
580,Clinical Specialist,Severe birth asphyxia
581,Senior Quality Eng,Opn wnd lary w trac-comp
582,Clinical Specialist,Horseback riding
583,Desktop Support Technician,Amebic brain abscess
584,Help Desk Operator,Opn wnd scrot/test-compl
585,Sales Associate,Other lymphedema
586,Dental Hygienist,Opn subdur hem-prol coma
587,Geologist IV,Horseback riding
588,Quality Engineer,Leg ab w compl NEC-comp
589,Accounting Assistant IV,Nervousness
590,Food Chemist,Gc salpingitis (chronic)
591,Senior Developer,Chondrocalcin NOS-hand
592,Geologist IV,Acc d/t weightless envir
593,Human Resources Assistant II,Hx-health hazard NOS
594,Desktop Support Technician,Poor fetal grth-antepart
595,Senior Developer,Cong fold/cyst post eye
596,Senior Quality Eng,Chondrocalcin NOS-hand
597,Structural Analysis Engineer,Opn wnd lary w trac-comp
598,Help Desk Operator,Amebic brain abscess
599,Mechanical Systems Engineer,Poor fetal grth-antepart
600,Biostatistician II,Sprain of pelvis
601,Senior Quality Eng,Colon injury NOS-closed
602,Dental Hygienist,Nervousness
603,Accountant III,Artic cartil dis-forearm
604,Human Resources Assistant II,Central pterygium
605,Clinical Specialist,Chondrocalcin NOS-hand
606,Occupational Therapist,Resp cond dt smoke inhal
607,Geologist IV,Severe birth asphyxia
608,Technical Writer,Resp cond dt smoke inhal
609,Clinical Specialist,Central pterygium
610,Health Coach III,Legal abor w hemorr-unsp
611,Sales Associate,Opn subdur hem-prol coma
612,Dental Hygienist,Cystitis NEC
613,Developer III,Horseback riding
614,Senior Quality Eng,Cystitis NEC
615,Safety Technician III,Artic cartil dis-forearm
616,Developer II,Opn wnd lary w trac-comp
617,VP Sales,Spastic entropion
618,Quality Engineer,Cl skull fx NEC-concuss
619,Safety Technician III,Horseback riding
620,Desktop Support Technician,Mal neo ant 2/3 tongue
621,Senior Developer,Thrombophlebitis migrans
622,Senior Developer,Central pterygium
