payroll_id,employee_id,payroll_period,calculated_earnings,deductions,netpay,overtime_hours,payroll_date,tax_deduction,compensation_id
38,38,11/8/2023,4.5,5.6,94.6,7.1,1/11/2023,58,38
39,39,10/17/2023,90.7,32.2,30.1,92.1,8/24/2023,16,39
40,40,4/23/2023,55.4,11.9,20.9,18.4,8/9/2023,58,40
41,41,7/28/2023,94.6,60.0,8.1,4.1,9/9/2023,54,41
42,42,11/17/2023,70.8,95.4,81.3,21.5,4/19/2023,7,42
43,43,4/18/2023,77.8,53.2,66.0,32.0,2/24/2023,82,43
44,44,1/3/2023,39.4,16.4,30.2,48.9,9/16/2023,41,44
45,45,1/4/2023,7.5,16.3,7.1,40.2,5/18/2023,35,45
46,46,9/15/2023,30.4,50.3,63.6,24.8,12/25/2022,98,46
47,47,1/21/2023,29.6,70.9,15.6,87.5,1/1/2023,72,47
48,48,6/11/2023,31.9,18.7,22.8,34.8,1/11/2023,88,48
49,49,4/22/2023,27.4,63.1,84.5,80.8,7/13/2023,48,49
50,50,5/21/2023,28.3,35.1,22.6,52.4,12/25/2022,42,50
51,51,7/7/2023,26.3,3.0,58.2,39.0,10/22/2023,10,51
52,52,9/20/2023,56.5,53.6,92.3,87.9,1/2/2023,77,52
53,53,4/6/2023,18.3,22.0,44.2,90.5,3/19/2023,60,53
54,54,7/24/2023,72.5,12.0,60.9,70.2,9/2/2023,54,54
55,55,2/3/2023,85.7,46.5,43.0,96.3,12/5/2022,43,55
56,56,3/22/2023,47.6,99.0,8.1,16.6,7/28/2023,23,56
57,57,8/29/2023,99.9,65.0,95.6,55.0,2/1/2023,36,57
58,58,3/27/2023,53.8,10.5,3.7,38.3,6/19/2023,30,58
59,59,8/22/2023,10.1,13.9,74.0,2.9,2/14/2023,69,59
60,60,12/14/2022,98.8,75.0,98.1,2.2,4/29/2023,49,60
61,61,4/29/2023,60.4,81.5,17.8,42.9,3/10/2023,64,61
62,62,12/30/2022,61.6,10.0,67.7,18.6,10/8/2023,17,62
63,63,8/7/2023,87.7,73.3,84.0,44.8,10/7/2023,76,63
64,64,2/16/2023,41.3,37.6,37.2,69.6,4/8/2023,45,64
65,65,12/17/2022,30.4,42.1,2.1,97.6,1/31/2023,95,65
66,66,12/1/2022,51.0,36.0,6.5,31.9,2/5/2023,52,66
67,67,7/20/2023,19.6,14.6,74.3,1.5,9/23/2023,16,67
68,68,9/8/2023,95.8,46.3,47.1,90.3,10/23/2023,24,68
69,69,5/28/2023,83.8,30.7,31.4,9.5,6/6/2023,75,69
70,70,1/15/2023,47.2,67.6,13.6,74.6,9/8/2023,9,70
71,71,1/2/2023,30.3,18.2,56.9,54.8,1/12/2023,86,71
72,72,12/18/2022,70.3,65.3,9.5,21.7,4/30/2023,77,72
73,73,10/25/2023,85.9,55.2,89.8,73.5,2/1/2023,53,73
74,74,5/13/2023,92.4,59.3,88.2,22.1,4/18/2023,4,74
75,75,4/2/2023,88.9,10.7,21.9,2.5,6/11/2023,1,75
76,76,8/23/2023,1.7,84.6,63.7,88.2,3/14/2023,73,76
77,77,9/23/2023,61.7,37.8,58.8,49.8,6/7/2023,27,77
78,78,10/3/2023,44.3,25.9,8.6,45.9,5/19/2023,10,78
79,79,11/11/2023,25.4,82.3,13.2,71.5,7/20/2023,22,79
80,80,4/9/2023,80.2,49.9,43.4,64.7,11/24/2023,73,80
81,81,4/3/2023,34.3,99.0,70.6,92.5,12/4/2022,67,81
82,82,6/1/2023,66.6,26.5,53.9,91.7,7/30/2023,52,82
83,83,6/25/2023,66.1,47.1,82.9,36.6,6/3/2023,32,83
84,84,3/1/2023,7.4,68.0,88.7,20.2,1/30/2023,34,84
85,85,3/9/2023,91.5,25.1,77.2,53.8,9/11/2023,44,85
86,86,9/20/2023,84.7,29.4,63.0,29.0,5/7/2023,41,86
87,87,4/8/2023,20.8,11.3,75.4,42.7,3/15/2023,64,87
88,88,12/23/2022,82.0,49.1,42.7,44.9,11/9/2023,1,88
89,89,2/13/2023,68.0,63.9,72.4,27.5,5/20/2023,96,89
90,90,3/14/2023,54.9,46.5,19.3,25.9,1/9/2023,11,90
91,91,1/18/2023,99.2,35.5,47.9,65.6,12/9/2022,70,91
92,92,8/11/2023,41.2,62.5,26.8,46.3,11/7/2023,71,92
93,93,1/13/2023,71.0,0.8,62.5,54.6,2/26/2023,41,93
94,94,7/16/2023,66.0,24.3,95.5,37.3,10/23/2023,78,94
95,95,10/2/2023,45.0,65.5,36.9,37.3,2/11/2023,96,95
96,96,12/21/2022,68.6,10.3,12.2,20.5,6/19/2023,85,96
97,97,4/16/2023,2.7,45.0,68.2,3.6,4/1/2023,2,97
98,98,4/4/2023,52.6,69.6,42.8,15.6,5/8/2023,33,98
99,99,2/22/2023,57.1,19.3,64.9,99.6,2/7/2023,76,99
100,100,10/28/2023,45.0,71.7,59.0,15.2,2/25/2023,26,100
101,101,4/14/2023,64.8,39.3,70.5,43.8,5/13/2023,33,101
102,102,9/20/2023,0.9,87.7,3.9,89.5,7/17/2023,12,102
103,103,11/17/2023,28.9,46.2,3.4,58.5,5/20/2023,99,103
104,104,10/19/2023,62.5,58.5,64.0,54.2,11/16/2023,88,104
105,105,7/25/2023,12.3,70.0,31.9,22.2,7/12/2023,74,105
106,106,8/13/2023,49.9,50.6,62.2,43.2,10/12/2023,69,106
107,107,11/15/2023,99.0,2.2,50.1,93.8,6/15/2023,85,107
108,108,6/29/2023,2.1,37.5,52.9,29.7,5/22/2023,24,108
109,109,3/28/2023,66.7,67.0,86.2,48.6,4/6/2023,69,109
110,110,11/11/2023,17.0,19.3,78.4,77.1,9/16/2023,37,110
111,111,11/12/2023,5.7,14.8,87.1,92.5,9/28/2023,83,111
112,112,2/26/2023,38.1,51.3,74.7,12.7,3/26/2023,36,112
113,113,5/11/2023,60.1,9.6,7.1,46.7,1/14/2023,92,113
114,114,12/21/2022,49.3,19.4,69.7,76.4,10/1/2023,43,114
115,115,2/6/2023,72.1,74.9,85.6,79.3,7/8/2023,89,115
116,116,12/14/2022,83.4,90.8,45.6,62.2,5/3/2023,84,116
117,117,8/22/2023,48.6,19.7,92.9,77.2,6/13/2023,69,117
118,118,1/19/2023,92.2,32.1,70.3,60.9,1/8/2023,15,118
119,119,1/5/2023,46.4,65.7,68.7,36.2,11/22/2023,32,119
120,120,1/27/2023,30.4,10.2,42.8,21.7,9/29/2023,88,120
121,121,5/8/2023,11.4,95.9,29.2,92.4,8/23/2023,55,121
122,122,3/26/2023,56.6,1.6,27.2,80.4,6/21/2023,97,122
123,123,9/23/2023,99.8,74.8,64.8,45.4,11/23/2023,31,123
124,124,2/3/2023,15.5,26.2,54.8,3.1,9/8/2023,73,124
125,125,12/17/2022,41.2,50.5,5.0,9.9,6/1/2023,96,125
126,126,6/20/2023,80.5,23.0,66.5,5.9,6/5/2023,19,126
127,127,9/30/2023,30.6,4.6,73.8,54.3,9/28/2023,14,127
128,128,9/9/2023,96.2,92.0,24.2,90.1,11/9/2023,47,128
129,129,10/17/2023,41.1,1.6,30.0,39.2,7/22/2023,72,129
130,130,5/11/2023,43.5,82.1,6.7,56.8,4/27/2023,52,130
131,131,11/9/2023,59.6,56.5,23.6,90.4,12/16/2022,22,131
132,132,7/14/2023,30.1,39.1,62.6,57.7,1/25/2023,2,132
133,133,12/7/2022,55.6,60.8,95.7,4.5,3/27/2023,69,133
134,134,7/21/2023,33.3,7.2,92.0,53.4,1/12/2023,86,134
135,135,5/25/2023,32.6,94.7,33.5,14.2,3/16/2023,75,135
136,136,8/28/2023,48.7,8.0,95.0,81.6,10/28/2023,84,136
137,137,11/12/2023,63.1,17.4,68.0,95.6,7/15/2023,38,137
138,138,2/23/2023,44.1,29.7,5.3,62.1,12/7/2022,76,138
139,139,12/6/2022,64.9,51.7,41.0,24.8,10/10/2023,57,139
140,140,6/18/2023,99.4,32.0,99.8,79.0,10/12/2023,78,140
141,141,6/6/2023,73.4,72.0,11.4,17.5,5/7/2023,43,141
142,142,10/30/2023,54.6,48.5,77.9,23.7,9/13/2023,68,142
143,143,9/4/2023,11.5,32.9,31.5,73.7,2/4/2023,0,143
144,144,10/5/2023,81.2,21.6,75.1,65.2,3/19/2023,43,144
145,145,2/3/2023,76.7,20.9,77.5,93.0,8/5/2023,47,145
146,146,9/24/2023,86.3,14.4,80.3,97.1,2/8/2023,84,146
147,147,8/16/2023,68.6,72.5,53.9,4.5,9/17/2023,83,147
148,148,5/22/2023,98.5,31.1,19.7,92.7,8/17/2023,59,148
149,149,2/17/2023,5.3,77.3,18.0,38.3,8/15/2023,85,149
150,150,1/13/2023,16.2,15.1,77.1,96.8,11/24/2023,45,150
151,151,7/19/2023,98.2,30.6,21.1,58.8,2/14/2023,30,151
152,152,6/24/2023,32.0,58.4,12.9,90.3,6/20/2023,59,152
153,153,6/14/2023,88.3,60.5,86.8,13.8,10/10/2023,67,153
154,154,2/11/2023,74.0,70.4,68.8,11.3,11/11/2023,65,154
155,155,1/15/2023,56.6,81.7,56.2,64.2,8/10/2023,60,155
156,156,9/4/2023,73.2,86.3,61.1,29.0,4/8/2023,35,156
157,157,8/29/2023,47.3,45.1,97.5,18.7,9/18/2023,20,157
158,158,5/5/2023,74.3,68.7,29.1,55.1,5/1/2023,56,158
159,159,2/3/2023,28.8,3.9,31.1,67.9,2/17/2023,10,159
160,160,7/27/2023,27.6,8.8,19.4,42.2,7/29/2023,44,160
161,161,3/9/2023,25.3,79.8,4.6,19.8,7/31/2023,92,161
162,162,7/14/2023,25.2,12.2,72.0,46.9,6/20/2023,56,162
163,163,1/18/2023,55.8,12.2,93.0,72.1,12/24/2022,34,163
164,164,7/14/2023,21.0,30.2,87.9,18.7,8/20/2023,35,164
165,165,8/22/2023,58.6,45.8,16.4,13.5,12/14/2022,67,165
166,166,11/13/2023,28.4,41.6,49.3,80.4,7/10/2023,84,166
167,167,6/24/2023,85.2,80.7,22.4,32.5,8/24/2023,35,167
168,168,7/20/2023,33.4,39.5,47.7,77.8,3/22/2023,5,168
169,169,11/16/2023,39.3,57.3,81.4,69.2,6/5/2023,52,169
170,170,7/6/2023,8.5,87.5,83.2,66.0,5/4/2023,73,170
171,171,7/26/2023,54.0,95.7,5.8,15.2,1/14/2023,79,171
172,172,12/7/2022,16.0,88.9,88.1,62.3,1/29/2023,37,172
173,173,10/16/2023,57.0,70.1,55.8,62.7,2/26/2023,93,173
174,174,3/6/2023,98.7,75.6,70.2,74.1,6/16/2023,71,174
175,175,4/11/2023,2.1,44.4,88.6,97.5,12/27/2022,84,175
176,176,11/14/2023,82.8,82.0,0.0,28.7,7/13/2023,4,176
177,177,12/31/2022,77.1,71.4,36.9,70.4,4/10/2023,34,177
178,178,10/23/2023,72.1,28.8,41.7,90.9,11/12/2023,100,178
179,179,8/25/2023,36.0,5.7,19.5,44.0,12/16/2022,95,179
180,180,12/20/2022,26.7,49.4,56.8,79.1,6/25/2023,41,180
181,181,1/20/2023,18.8,88.4,82.2,49.9,11/2/2023,65,181
182,182,9/13/2023,23.4,87.0,81.0,23.4,7/29/2023,23,182
183,183,8/17/2023,1.1,84.9,69.9,33.6,4/27/2023,57,183
184,184,7/10/2023,71.4,69.3,59.9,99.1,2/25/2023,96,184
185,185,11/12/2023,27.8,76.6,38.5,5.0,2/16/2023,66,185
186,186,6/3/2023,63.6,21.9,82.6,12.3,12/11/2022,6,186
187,187,4/16/2023,99.1,75.9,50.5,34.7,7/15/2023,91,187
188,188,5/19/2023,84.0,48.4,24.6,88.0,3/1/2023,56,188
189,189,7/28/2023,14.9,91.8,65.8,70.1,11/15/2023,48,189
190,190,2/10/2023,60.0,78.9,39.1,31.0,3/21/2023,38,190
191,191,7/20/2023,72.0,89.5,98.4,27.0,10/11/2023,23,191
192,192,8/13/2023,33.6,68.1,71.7,90.8,3/24/2023,6,192
193,193,6/20/2023,7.0,84.1,37.9,19.4,7/15/2023,91,193
194,194,10/11/2023,66.1,62.0,38.7,80.8,10/17/2023,20,194
195,195,4/9/2023,40.4,6.6,50.3,92.5,3/25/2023,10,195
196,196,7/19/2023,84.2,4.7,36.8,58.4,4/19/2023,11,196
197,197,7/18/2023,43.3,76.5,46.7,61.3,7/22/2023,61,197
198,198,10/16/2023,54.1,72.3,98.3,95.4,2/5/2023,97,198
199,199,8/1/2023,9.8,73.5,16.7,8.5,4/12/2023,62,199
200,200,11/19/2023,51.9,63.7,19.8,43.4,5/23/2023,58,200
201,201,12/9/2022,73.3,4.6,86.5,55.8,9/19/2023,10,201
202,202,6/6/2023,88.4,57.3,47.6,16.0,11/28/2022,99,202
203,203,8/25/2023,15.3,98.7,32.9,50.1,8/14/2023,69,203
204,204,5/26/2023,93.9,24.1,85.4,92.7,5/21/2023,11,204
205,205,7/24/2023,63.6,33.3,41.7,25.7,10/4/2023,32,205
206,206,11/1/2023,8.7,68.1,28.5,56.5,4/15/2023,90,206
207,207,7/31/2023,4.2,9.7,4.8,57.2,10/2/2023,68,207
208,208,6/9/2023,90.3,81.0,44.5,73.4,12/5/2022,63,208
209,209,10/15/2023,64.3,84.8,97.7,32.7,8/11/2023,17,209
210,210,2/12/2023,28.2,27.2,89.1,78.7,7/23/2023,19,210
211,211,1/5/2023,49.3,77.8,45.6,70.1,9/30/2023,27,211
212,212,10/14/2023,73.5,4.1,8.9,4.4,1/2/2023,26,212
213,213,11/17/2023,6.1,55.2,80.4,17.1,2/7/2023,44,213
214,214,6/25/2023,33.2,43.5,2.0,74.9,1/19/2023,8,214
215,215,10/8/2023,39.9,93.1,64.1,78.1,10/10/2023,37,215
216,216,11/8/2023,82.6,66.7,43.1,94.5,10/31/2023,8,216
217,217,5/6/2023,29.3,9.7,76.8,7.9,10/20/2023,61,217
218,218,7/9/2023,15.1,13.3,64.5,6.5,8/3/2023,68,218
219,219,10/20/2023,84.0,23.8,88.4,60.3,2/25/2023,14,219
220,220,4/6/2023,95.7,11.7,95.5,27.2,3/29/2023,74,220
221,221,8/12/2023,81.1,30.7,15.1,40.2,1/1/2023,63,221
222,222,6/24/2023,6.9,53.7,86.0,44.1,3/2/2023,93,222
223,223,9/8/2023,47.9,70.7,87.7,91.4,12/1/2022,42,223
224,224,9/3/2023,74.9,39.3,45.5,4.7,6/6/2023,19,224
225,225,3/20/2023,63.6,96.6,60.6,94.6,1/27/2023,3,225
226,226,5/14/2023,9.1,42.6,94.0,1.7,12/11/2022,43,226
227,227,2/20/2023,99.7,88.3,84.6,22.8,12/6/2022,53,227
228,228,6/18/2023,30.9,29.4,13.5,34.2,5/23/2023,35,228
229,229,4/15/2023,47.6,72.8,81.3,46.9,8/30/2023,70,229
230,230,1/26/2023,79.2,32.0,85.0,99.1,5/4/2023,20,230
231,231,6/22/2023,0.3,68.1,78.1,90.9,4/14/2023,59,231
232,232,9/20/2023,88.0,88.0,53.7,13.3,2/2/2023,19,232
233,233,6/2/2023,73.4,0.4,19.3,50.2,1/28/2023,96,233
234,234,6/23/2023,38.4,77.6,87.4,89.0,4/27/2023,85,234
235,235,1/22/2023,87.6,90.7,93.8,65.3,10/22/2023,59,235
236,236,12/28/2022,19.7,81.0,15.7,11.2,2/9/2023,44,236
237,237,6/25/2023,19.3,30.7,34.6,12.4,1/29/2023,64,237
238,238,4/8/2023,57.1,24.0,56.9,28.9,3/13/2023,55,238
239,239,6/18/2023,87.7,41.2,2.2,71.5,2/11/2023,12,239
240,240,2/12/2023,51.9,21.1,25.0,38.8,4/1/2023,4,240
241,241,5/10/2023,94.6,90.8,79.4,69.5,2/28/2023,91,241
242,242,7/11/2023,68.2,83.7,27.4,60.8,10/16/2023,30,242
243,243,3/28/2023,43.6,6.7,66.8,93.8,11/30/2022,72,243
244,244,11/24/2023,14.6,90.1,0.5,58.8,3/16/2023,20,244
245,245,11/16/2023,27.0,85.3,42.7,83.7,11/19/2023,29,245
246,246,4/15/2023,80.4,15.7,68.9,93.4,3/2/2023,98,246
247,247,6/15/2023,49.1,65.5,61.4,15.2,11/24/2023,4,247
248,248,2/26/2023,5.4,16.1,17.7,4.0,11/12/2023,25,248
249,249,6/1/2023,10.3,51.8,59.5,37.6,7/27/2023,1,249
250,250,12/30/2022,73.3,27.1,23.7,69.6,12/29/2022,2,250
251,251,1/12/2023,78.9,55.1,36.8,88.9,7/15/2023,1,251
252,252,12/27/2022,89.1,44.5,40.9,2.7,3/3/2023,29,252
253,253,2/2/2023,95.9,18.4,36.2,67.7,10/26/2023,8,253
254,254,4/24/2023,63.8,81.3,61.3,79.0,12/22/2022,72,254
255,255,11/3/2023,93.4,69.3,32.6,29.3,7/4/2023,34,255
256,256,5/12/2023,77.4,6.9,36.0,85.5,3/8/2023,11,256
257,257,5/11/2023,79.3,94.5,37.9,28.4,12/16/2022,74,257
258,258,8/23/2023,75.4,62.1,3.2,33.7,8/19/2023,21,258
259,259,9/20/2023,34.1,30.5,54.8,27.4,10/30/2023,55,259
260,260,8/29/2023,45.1,71.5,43.6,29.8,3/3/2023,69,260
261,261,11/28/2022,33.8,68.3,76.0,4.1,2/23/2023,84,261
262,262,10/31/2023,62.7,28.6,33.7,85.0,4/30/2023,99,262
263,263,9/17/2023,58.0,31.8,68.3,17.0,7/7/2023,24,263
264,264,9/26/2023,59.7,53.9,56.1,43.7,7/27/2023,15,264
265,265,6/9/2023,33.4,49.1,86.0,18.7,10/22/2023,16,265
266,266,3/18/2023,32.3,43.4,70.5,58.9,1/26/2023,89,266
267,267,12/12/2022,7.6,15.5,1.7,95.6,9/13/2023,13,267
268,268,9/3/2023,51.4,52.0,87.5,8.7,3/15/2023,71,268
269,269,11/8/2023,94.3,57.9,44.7,77.8,5/24/2023,99,269
270,270,11/14/2023,46.1,68.3,67.3,98.4,3/15/2023,99,270
271,271,9/9/2023,92.4,45.9,95.4,57.2,3/29/2023,86,271
272,272,8/31/2023,36.8,11.7,34.4,92.7,10/5/2023,7,272
273,273,12/19/2022,67.5,9.4,66.2,36.1,8/18/2023,28,273
274,274,7/20/2023,93.3,13.0,12.9,81.1,6/10/2023,87,274
275,275,8/20/2023,93.1,54.4,52.1,13.3,8/2/2023,21,275
276,276,5/20/2023,36.4,14.7,97.9,80.4,3/28/2023,27,276
277,277,7/25/2023,86.1,6.8,71.8,24.7,9/21/2023,23,277
278,278,7/5/2023,26.6,86.5,8.2,38.3,7/16/2023,96,278
279,279,1/8/2023,44.5,25.7,75.0,66.1,4/13/2023,92,279
280,280,1/1/2023,24.9,85.3,69.3,98.4,5/17/2023,6,280
281,281,7/29/2023,41.1,40.4,31.9,32.6,9/16/2023,12,281
282,282,6/2/2023,9.1,0.9,1.7,32.8,7/25/2023,14,282
283,283,9/18/2023,26.9,83.1,24.1,82.8,12/16/2022,25,283
284,284,9/16/2023,61.4,98.6,21.4,97.5,12/4/2022,16,284
285,285,5/17/2023,65.0,24.7,25.5,60.3,12/22/2022,81,285
286,286,5/9/2023,78.9,91.8,66.9,75.8,6/1/2023,57,286
287,287,12/15/2022,93.3,23.9,98.7,87.5,10/21/2023,47,287
288,288,7/20/2023,7.0,68.8,2.8,67.7,8/11/2023,17,288
289,289,5/25/2023,16.5,49.8,7.6,16.7,4/17/2023,7,289
290,290,3/4/2023,40.2,34.7,54.7,14.2,1/28/2023,100,290
291,291,9/30/2023,36.5,13.2,74.8,21.8,12/11/2022,35,291
292,292,1/10/2023,73.9,3.9,24.7,18.6,7/30/2023,14,292
293,293,1/7/2023,58.8,78.4,57.6,67.2,4/15/2023,89,293
294,294,12/16/2022,95.6,84.9,68.3,45.5,8/6/2023,77,294
295,295,12/24/2022,64.7,81.3,55.5,80.4,10/22/2023,34,295
296,296,12/21/2022,94.0,27.6,77.1,40.7,9/30/2023,77,296
297,297,1/13/2023,4.5,74.8,1.1,60.7,9/3/2023,23,297
298,298,11/16/2023,94.9,40.7,85.9,34.4,10/19/2023,39,298
299,299,2/10/2023,14.6,25.4,86.4,80.0,2/15/2023,42,299
300,300,2/16/2023,77.9,53.2,44.2,14.1,10/1/2023,78,300
301,301,10/8/2023,7.7,42.1,7.3,22.7,3/1/2023,7,301
302,302,1/26/2023,62.1,93.6,53.3,41.3,5/17/2023,71,302
303,303,2/16/2023,61.8,87.4,80.0,61.1,12/11/2022,60,303
304,304,12/31/2022,47.0,95.2,66.0,69.2,11/21/2023,92,304
305,305,8/4/2023,80.4,33.3,18.6,79.9,6/21/2023,96,305
306,306,10/17/2023,69.3,6.8,32.8,62.0,8/3/2023,33,306
307,307,1/25/2023,26.6,29.6,38.3,76.6,9/8/2023,7,307
308,308,12/1/2022,75.5,76.2,14.1,79.3,7/6/2023,18,308
309,309,7/16/2023,44.3,72.5,73.5,26.1,2/28/2023,71,309
310,310,3/8/2023,67.9,72.4,86.6,47.4,8/1/2023,37,310
311,311,1/25/2023,41.7,59.5,75.6,87.8,5/7/2023,85,311
312,312,4/25/2023,14.6,40.3,90.0,14.3,8/15/2023,14,312
313,313,5/16/2023,22.1,77.0,12.6,30.0,2/2/2023,48,313
314,314,8/11/2023,61.2,81.2,28.7,77.5,1/10/2023,30,314
315,315,5/1/2023,33.0,69.9,12.2,12.2,4/15/2023,52,315
316,316,8/17/2023,72.9,60.6,5.1,96.3,3/21/2023,82,316
317,317,5/22/2023,48.9,88.2,74.4,25.1,11/9/2023,72,317
318,318,3/22/2023,41.9,88.9,72.1,48.8,9/24/2023,55,318
319,319,6/8/2023,58.8,74.3,35.1,63.9,3/17/2023,67,319
320,320,2/5/2023,81.9,60.1,88.8,79.9,9/14/2023,31,320
321,321,2/15/2023,76.1,31.0,44.4,91.8,7/18/2023,38,321
322,322,4/12/2023,24.4,23.7,59.6,3.2,11/18/2023,27,322
323,323,9/4/2023,4.5,62.1,10.9,26.2,1/21/2023,95,323
324,324,9/22/2023,25.5,18.3,51.2,72.2,8/11/2023,64,324
325,325,6/10/2023,30.4,54.0,60.7,17.3,3/28/2023,39,325
326,326,5/15/2023,86.5,78.7,44.2,23.8,8/26/2023,79,326
327,327,9/25/2023,2.4,7.9,29.3,63.4,12/28/2022,29,327
328,328,12/14/2022,35.0,86.2,85.3,30.9,5/10/2023,23,328
329,329,5/19/2023,9.2,73.0,21.5,88.0,5/26/2023,63,329
330,330,9/17/2023,77.6,18.4,81.7,33.7,5/19/2023,72,330
331,331,10/8/2023,26.9,11.9,90.9,17.9,6/18/2023,8,331
332,332,2/15/2023,57.2,41.2,88.0,45.4,3/12/2023,80,332
333,333,3/16/2023,26.1,53.1,17.2,91.6,4/20/2023,57,333
334,334,4/6/2023,38.4,53.0,15.5,77.1,3/6/2023,84,334
335,335,2/24/2023,44.1,33.7,68.0,22.2,3/23/2023,5,335
336,336,5/7/2023,90.6,90.9,25.0,10.2,3/16/2023,79,336
337,337,7/21/2023,49.3,24.0,20.3,89.7,4/4/2023,20,337
338,338,6/11/2023,96.7,6.7,68.2,65.2,1/25/2023,68,338
339,339,11/1/2023,51.0,67.1,76.4,80.0,3/2/2023,9,339
340,340,12/19/2022,54.1,91.5,99.4,69.2,5/8/2023,49,340
341,341,12/11/2022,95.2,38.0,1.7,46.1,8/18/2023,0,341
342,342,8/13/2023,43.7,94.8,92.5,76.7,4/18/2023,27,342
343,343,11/8/2023,26.0,23.4,56.5,66.9,6/14/2023,89,343
344,344,11/18/2023,1.1,35.3,22.6,67.0,5/30/2023,37,344
345,345,5/25/2023,78.8,48.2,45.9,4.0,9/14/2023,96,345
346,346,11/28/2022,77.8,58.1,44.8,23.8,10/1/2023,46,346
347,347,7/24/2023,36.2,57.1,7.9,75.9,3/31/2023,19,347
348,348,4/12/2023,0.8,50.7,41.1,66.4,4/10/2023,6,348
349,349,7/29/2023,12.6,2.6,99.5,25.4,1/14/2023,90,349
350,350,4/25/2023,13.3,20.2,93.5,35.7,5/22/2023,44,350
351,351,4/10/2023,42.7,65.0,26.8,98.2,10/23/2023,95,351
352,352,10/22/2023,62.4,67.4,16.8,20.9,11/2/2023,58,352
353,353,1/4/2023,83.4,51.5,38.4,51.6,6/13/2023,45,353
354,354,10/4/2023,29.5,75.8,99.8,51.5,9/17/2023,50,354
355,355,9/28/2023,82.3,0.7,45.4,85.3,6/24/2023,42,355
356,356,9/29/2023,70.5,17.3,7.7,30.1,8/27/2023,70,356
357,357,11/30/2022,20.9,9.1,32.0,5.6,1/17/2023,32,357
358,358,9/17/2023,88.8,92.3,14.9,52.0,1/26/2023,3,358
359,359,1/17/2023,30.4,16.7,37.0,77.7,2/2/2023,47,359
360,360,1/22/2023,18.0,63.0,57.2,87.4,10/21/2023,36,360
361,361,8/9/2023,4.4,1.3,64.5,70.2,2/28/2023,94,361
362,362,8/25/2023,80.1,78.0,35.1,88.3,8/24/2023,74,362
363,363,1/11/2023,99.0,11.3,18.7,48.1,9/30/2023,51,363
364,364,7/14/2023,79.3,6.2,27.9,27.6,6/4/2023,29,364
365,365,11/29/2022,47.5,63.5,88.1,8.5,3/27/2023,12,365
