job_position_id,department_id,job_id,position_requirements,position_benefits
72,72,72,enim in tempor turpis,est et tempus semper est
73,73,73,orci vehicula condimentum,vestibulum ante ipsum
74,74,74,curabitur gravida nisi at,suscipit ligula in
75,75,75,odio justo sollicitudin ut suscipit,sollicitudin mi sit amet
76,76,76,laoreet ut rhoncus aliquet pulvinar,sociis natoque penatibus et magnis
77,77,77,commodo placerat praesent,in leo maecenas pulvinar lobortis
78,78,78,congue etiam justo etiam pretium,diam vitae quam suspendisse potenti
79,79,79,sollicitudin vitae consectetuer,pretium iaculis diam erat fermentum
80,80,80,ultrices enim lorem ipsum,nunc viverra dapibus nulla suscipit
81,81,81,ullamcorper purus sit,lacinia aenean sit amet
82,82,82,vulputate nonummy maecenas tincidunt lacus,luctus nec molestie
83,83,83,tempus vel pede morbi,eget orci vehicula condimentum
84,84,84,mattis egestas metus,tristique fusce congue diam id
85,85,85,sit amet lobortis sapien sapien,porta volutpat erat quisque erat
86,86,86,ut dolor morbi vel lectus,orci luctus et ultrices
87,87,87,nibh in lectus,eget nunc donec quis orci
88,88,88,primis in faucibus orci luctus,rutrum at lorem integer
89,89,89,nisi eu orci mauris,quis justo maecenas
90,90,90,non mattis pulvinar,accumsan felis ut at dolor
91,91,91,lacus curabitur at ipsum ac,volutpat sapien arcu
92,92,92,quis lectus suspendisse potenti in,nibh in lectus pellentesque at
93,93,93,sed vestibulum sit amet cursus,tempor turpis nec
94,94,94,enim sit amet nunc,dolor sit amet
95,95,95,donec quis orci,scelerisque mauris sit
96,96,96,quam sollicitudin vitae,ultrices mattis odio donec vitae
97,97,97,sapien in sapien,congue eget semper rutrum nulla
98,98,98,at feugiat non pretium quis,libero quis orci nullam
99,99,99,faucibus orci luctus et,maecenas rhoncus aliquam
100,100,100,eleifend luctus ultricies,vel enim sit
