job_vacancies_id,job_position_id,job_description,date_published,date_close,job_vacancy_department,job_vacancy_skills_qualification,no_vacancies
39,39,eu tincidunt in,1/5/2023,1/20/2023,43,true,17
40,40,habitasse platea dictumst maecenas,2/12/2023,4/10/2023,24,true,91
41,41,est lacinia nisi,3/22/2023,1/24/2023,8,false,10
42,42,luctus et ultrices,5/10/2023,8/17/2023,19,true,77
43,43,velit vivamus vel nulla eget,2/5/2023,4/7/2023,95,false,76
44,44,aliquam quis turpis eget elit,3/21/2023,9/24/2023,93,false,33
45,45,id mauris vulputate elementum nullam,2/22/2023,9/16/2023,68,false,37
46,46,mauris laoreet ut rhoncus,5/12/2023,10/23/2023,49,true,76
47,47,primis in faucibus,6/16/2023,6/23/2023,47,true,99
48,48,sapien dignissim vestibulum,2/25/2023,12/28/2023,57,false,83
49,49,duis faucibus accumsan odio,3/25/2023,7/24/2023,15,false,81
50,50,nulla sed accumsan felis,1/6/2023,5/31/2023,50,true,94
51,51,blandit nam nulla integer,6/10/2023,6/21/2023,19,true,31
52,52,accumsan tortor quis,6/23/2023,11/30/2023,54,true,29
53,53,tempus vel pede morbi,2/26/2023,6/23/2023,40,true,19
54,54,odio donec vitae nisi,2/19/2023,8/8/2023,28,true,65
55,55,leo pellentesque ultrices mattis,6/10/2023,2/21/2023,12,false,98
56,56,nullam varius nulla,2/17/2023,5/28/2023,45,true,54
57,57,habitasse platea dictumst aliquam augue,3/15/2023,1/21/2023,29,false,41
58,58,commodo vulputate justo in,3/5/2023,7/7/2023,100,true,52
59,59,duis bibendum felis sed interdum,4/2/2023,7/23/2023,63,true,24
60,60,integer a nibh,2/6/2023,2/13/2023,65,false,30
61,61,sem sed sagittis nam congue,4/1/2023,11/20/2023,59,false,4
62,62,pellentesque eget nunc donec,4/6/2023,4/4/2023,80,false,72
63,63,libero nullam sit,3/1/2023,6/23/2023,22,true,62
64,64,velit donec diam neque vestibulum,4/24/2023,8/12/2023,87,false,30
65,65,sed nisl nunc rhoncus,6/1/2023,10/13/2023,35,false,39
66,66,fusce consequat nulla,6/12/2023,3/12/2023,94,false,66
67,67,bibendum morbi non,6/12/2023,10/6/2023,22,true,26
68,68,blandit ultrices enim lorem,6/13/2023,9/23/2023,24,true,39
69,69,quam pharetra magna ac,5/24/2023,5/14/2023,46,false,88
70,70,non pretium quis lectus,2/26/2023,12/14/2023,50,false,29
71,71,suspendisse ornare consequat lectus,5/19/2023,11/20/2023,99,true,65
72,72,mollis molestie lorem quisque,2/23/2023,8/16/2023,6,true,66
73,73,ante ipsum primis in faucibus,4/13/2023,12/5/2023,20,true,56
74,74,est risus auctor sed,6/24/2023,10/13/2023,94,false,51
75,75,justo in hac,6/20/2023,1/24/2023,13,true,25
76,76,pretium quis lectus,5/30/2023,10/29/2023,16,true,70
77,77,nulla suscipit ligula in lacus,3/28/2023,10/5/2023,79,false,9
78,78,curae duis faucibus,4/2/2023,2/1/2023,5,false,21
79,79,nisi vulputate nonummy,4/3/2023,11/7/2023,90,false,45
80,80,nibh ligula nec sem,1/20/2023,6/9/2023,48,false,95
81,81,est congue elementum in,3/25/2023,6/20/2023,17,true,92
82,82,vestibulum ante ipsum primis in,4/25/2023,11/17/2023,98,true,79
83,83,vestibulum sagittis sapien cum,3/16/2023,5/18/2023,43,false,90
84,84,donec ut mauris eget massa,6/14/2023,7/16/2023,22,true,20
85,85,pulvinar lobortis est phasellus sit,1/28/2023,10/14/2023,60,true,31
86,86,in ante vestibulum ante ipsum,1/15/2023,7/31/2023,21,false,75
87,87,vestibulum sagittis sapien cum,1/25/2023,2/16/2023,13,true,2
88,88,risus praesent lectus vestibulum quam,6/13/2023,2/26/2023,9,false,82
89,89,odio odio elementum eu,4/28/2023,1/8/2023,52,false,6
90,90,hendrerit at vulputate vitae nisl,5/15/2023,8/25/2023,66,true,62
91,91,aliquam sit amet diam,2/17/2023,5/31/2023,90,false,98
92,92,a odio in hac habitasse,1/31/2023,8/7/2023,65,true,65
93,93,vel ipsum praesent,3/10/2023,6/28/2023,29,true,58
94,94,eget congue eget semper,4/22/2023,11/17/2023,61,false,73
95,95,consequat ut nulla,6/7/2023,3/13/2023,10,false,56
96,96,sed magna at nunc commodo,1/12/2023,12/10/2023,9,false,14
97,97,montes nascetur ridiculus,4/2/2023,10/11/2023,44,false,57
98,98,vestibulum ante ipsum primis in,6/25/2023,3/13/2023,19,false,29
99,99,cursus id turpis integer aliquet,5/9/2023,7/31/2023,63,false,75
100,100,elementum in hac habitasse,2/26/2023,5/5/2023,95,false,98
