training_category_id ,training_category_name ,training_category_explain 
45,Senior Cost Accountant,Coxsackie pericarditis
46,Registered Nurse,Gu TB NOS-micro dx
47,Nurse Practicioner,Hip & thigh injury NOS
48,Professor,Monoplegia NOS
49,Safety Technician II,Acute dacryoadenitis
50,Software Consultant,Bubonic plague
51,Dental Hygienist,Opn skul/oth fx-mod coma
52,Help Desk Operator,Arizona enteritis
53,Associate Professor,Contraceptive mangmt NEC
54,Registered Nurse,2nd deg burn abdomn wall
55,Nurse,Oth arthropod-borne dis
56,Chief Design Engineer,Disease of larynx NEC
57,Pharmacist,Primary CNS lymph axilla
58,Cost Accountant,Ob perineal trau NEC-del
59,Data Coordinator,Famil heredit dis-deliv
60,Staff Scientist,Fet chromo abn-antepart
61,Environmental Specialist,Hx malig neoplasm NOS
62,Internal Auditor,Pneumonia in whoop cough
63,Research Associate,Senile osteoporosis
64,Operator,Chr uterine subinvolutn
65,Engineer II,Prog multifoc leukoencep
66,Associate Professor,Mal neo cranial nerves
67,Editor,Ac osteomyelitis-hand
68,Media Manager III,Double outlet rt ventric
69,Senior Quality Engineer,Acquired hemophilia
70,Physical Therapy Assistant,"Fx navicular, wrist-open"
71,Environmental Tech,Nonparalyt polio-type 3
72,Pharmacist,Injury-NEC
73,Technical Writer,Fx metatarsal-closed
74,Office Assistant I,Cl skul base fx-coma NOS
75,Technical Writer,Fire in bldg-burning
76,Financial Analyst,Observe-abuse & neglect
77,Administrative Officer,Acc poison-gas/vapor NOS
78,Recruiter,Opn cortx lacer-concuss
79,Legal Assistant,Transient hypersomnia
80,Safety Technician II,Foster-kennedy syndrome
81,Payment Adjustment Coordinator,Osteomyelit NOS-oth site
82,Analog Circuit Design manager,War inj:piercing object
83,Environmental Tech,Power aircraft acc-crew
84,Software Test Engineer II,Suprv elderly primigrav
85,Internal Auditor,Pulmonary TB NEC-no exam
86,Software Engineer I,Rectum injury-closed
87,Community Outreach Specialist,Cong hered musc dystrphy
88,Project Manager,Reiter arthritis-shlder
89,Executive Secretary,Neuroma amputation stump
90,Executive Secretary,Renal hyperten-del p/p
91,Occupational Therapist,Ben crcinoid trans colon
92,Recruiter,Cl skul/oth fx-deep coma
93,VP Accounting,Mgrn unsp w ntrc mgr std
94,Compensation Analyst,Mal hyp kid w cr kid V
95,Administrative Officer,Tubrclma mening-micro dx
96,Nuclear Power Engineer,Hemoptysis NEC
97,Social Worker,Abdmnal rgdt unspcf site
98,Administrative Assistant I,"BMI 50.0-59.9, adult"
99,Engineer I,Urinary frequency
100,Graphic Designer,Opn skull fx/oth bone fx
101,Senior Sales Associate,Open wound of head NEC
102,Engineer I,Proteinuria
103,Sales Associate,Strabismic amblyopia
104,Database Administrator III,Elderly multigravida-del
105,Structural Analysis Engineer,Cl skull fx NEC-mod coma
106,Nurse Practicioner,Coag def hemorr-unspec
107,Help Desk Technician,Screen-blood dis NEC
108,Structural Analysis Engineer,Neonatal thrombocytopen
109,Administrative Assistant II,TB pleurisy-histolog dx
110,Sales Representative,Polyp of nasal cavity
111,Internal Auditor,Injury renal vessel NEC
112,Help Desk Operator,Retropharyngeal abscess
113,Senior Editor,Blister trunk-infected
114,Sales Representative,TB of spleen-no exam
115,Assistant Media Planner,Sprain of sacrum
116,Staff Accountant III,Exfl d/t eryth 10-19 bdy
117,Tax Accountant,Malignant pleural effusn
118,Community Outreach Specialist,Ac kidney fail-del w p/p
119,Geological Engineer,Alopecia NOS
120,Staff Scientist,Pois-antihyperten agent
121,Research Assistant IV,Disloc tarsal NOS-open
122,Design Engineer,Tk off/land-psng aircrft
123,Account Coordinator,Polyarthritis NOS-hand
124,Associate Professor,Other alter consciousnes
125,Budget/Accounting Analyst II,Bundle branch block NOS
126,Administrative Officer,Erysipelas
127,GIS Technical Architect,Coccidiosis
128,Financial Analyst,Vitamin Deficiency NEC
129,Product Engineer,Injury brachial vessels
130,Human Resources Assistant I,Matern hypoten syn-deliv
131,Automation Specialist II,Amphetamin depend-episod
132,Quality Engineer,Prsnl hst unspc dgstv ds
133,Clinical Specialist,Cholesteatoma of attic
134,Director of Sales,Fail sterile perfusn NEC
135,Software Test Engineer I,Gstr/ddnts NOS w/o hmrhg
136,Software Engineer III,Derangement meniscus NEC
137,Civil Engineer,Mal hy ht/kd st V w/o hf
138,Structural Engineer,Disorder of eyelid NOS
139,Geologist IV,Hebephren-subchr/exacerb
140,Paralegal,Conjunctivitis NOS
141,VP Marketing,Splenic sequestration
142,Biostatistician II,Lt-date w/mal 750-999g
143,Sales Representative,Circadian rhym-irreg slp
144,Mechanical Systems Engineer,Lactation dis NEC-deliv
145,Programmer Analyst III,Inj NEC caused by animal
146,Accountant IV,Ca in situ rectum
147,Assistant Manager,Thalassemia NEC
148,Geologist I,Dislocat elbow NEC-close
149,Administrative Officer,Polyart juv rheum arthr
150,Payment Adjustment Coordinator,Ironing
151,Senior Financial Analyst,Hodgkins paragran inguin
152,Actuary,Ophthalmia nodosa
153,Dental Hygienist,Nasal & sinus dis NEC
154,Assistant Manager,Cl skul fx w oth bone fx
155,Geologist II,Burn NOS abdominal wall
156,Internal Auditor,Mental disor NEC oth dis
157,Registered Nurse,Phlbts vn NOS up extrm
158,Legal Assistant,Keratitis NOS
159,Environmental Specialist,Hypertelorism of orbit
160,Software Engineer I,Anal sphincter tear-old
161,Recruiter,Prsnl hst oth nfct parst
162,Nuclear Power Engineer,"Bladder rupt, nontraum"
163,Nuclear Power Engineer,Pseudomonal pneumonia
164,Research Associate,Ac duodenal ulcer w hem
165,Account Executive,Disease of pharynx NEC
166,Developer III,Drug mental disorder NOS
167,Programmer Analyst IV,Unattended death
168,VP Product Management,Rubella nerve compl NEC
169,Human Resources Assistant III,Injury saphenous vein
170,Programmer Analyst II,"Sed,hyp,anxiolyt dep-con"
171,Safety Technician II,Drum/percussion playing
172,Food Chemist,Adv eff antifung antbiot
173,Help Desk Technician,Cortical senile cataract
174,Information Systems Manager,Ca in situ skin face NEC
175,Senior Financial Analyst,Patellar tendinitis
176,Community Outreach Specialist,1st deg burn back
177,Desktop Support Technician,Tot impairment-both eyes
178,Dental Hygienist,Torus fx radius/ulna-clo
179,Accounting Assistant II,West Nile Fever NOS
180,VP Accounting,Abn findings-semen
181,Food Chemist,"AMI NOS, initial"
182,Budget/Accounting Analyst IV,Assault-fire
183,Quality Engineer,Idio hypersom-long sleep
184,Staff Accountant I,Hyp hrt dis NOS w/o hf
185,Junior Executive,Pulmon TB NOS-micro dx
186,Biostatistician III,Screen neop-nervous syst
187,Director of Sales,Vivax malaria
188,General Manager,Oth spcf anmly jaw size
189,Administrative Assistant I,Postablat hypothyr NEC
190,Assistant Media Planner,Adherent leucoma
191,Budget/Accounting Analyst I,Superf inj hand NEC-inf
192,VP Accounting,Budd-chiari syndrome
193,Environmental Tech,TB of ureter-exam unkn
194,Systems Administrator III,Open wound of leg NEC
195,Structural Analysis Engineer,Inclusion body myositis
196,Operator,Carbuncle of leg
197,Web Designer IV,Fet damg d/t virus-unsp
198,Financial Analyst,Phlycten keratoconjunct
199,Biostatistician IV,Primary lacrimal atrophy
200,Sales Representative,Chr fibrous thyroiditis
201,Systems Administrator III,Soft tissue disord NOS
202,Help Desk Operator,Dislocat foot NOS-closed
203,Software Engineer I,Family hx-skin condition
204,Electrical Engineer,Periph disem choroiditis
205,Executive Secretary,Run water w/o sub fall
206,Structural Engineer,Delay p/part hem-postpar
207,Programmer Analyst II,Ankylosis ear ossicl NEC
208,Financial Advisor,"Panniculitis, unsp site"
209,Database Administrator IV,Minor opacity of cornea
210,Civil Engineer,Benign neo cervix uteri
211,Teacher,Removal int fixation dev
212,VP Quality Control,Ac miliary tb-exam unkn
213,Software Engineer III,Observe-abuse & neglect
214,Technical Writer,Residual angl-clos glauc
215,Structural Engineer,Opposition defiant disor
216,Data Coordinator,Congenital cystic lung
217,Financial Analyst,Lat schizo-subchr/exacer
218,Actuary,Cervical root injury
219,Senior Financial Analyst,Dendritic keratitis
220,Senior Quality Engineer,Pelvic organ inj NOS-opn
221,Electrical Engineer,Cutan leishmanias asian
222,Structural Analysis Engineer,Conjunctiva pigmentation
223,Junior Executive,Abn react-anastom/graft
224,Media Manager II,"Gend iden dis,adol/adult"
225,Web Designer III,Genital herpes NEC
226,Financial Advisor,Macular cornea dystrophy
227,Marketing Assistant,Cor ath artry bypas grft
228,Director of Sales,Hdgk prg unsp xtrndl org
229,Director of Sales,Malig neo skin trunk NEC
230,Tax Accountant,Chr sphenoidal sinusitis
231,Administrative Officer,Consln ot sex trnsmt dis
232,Programmer I,Chr post-trauma headache
233,Sales Representative,Pulm alveolar microlith
234,Statistician I,Fx upper humerus NEC-opn
235,Senior Developer,Inflam/tox neuropthy NOS
236,Environmental Tech,3rd deg burn elbow
237,Speech Pathologist,Colstomy/enter comp NOS
238,Cost Accountant,Nonpsych mntl disord NEC
239,Biostatistician II,Angioneurotic edema
240,Data Coordinator,Cervical disc displacmnt
241,Executive Secretary,Dis urea cycle metabol
242,Recruiting Manager,Amphetamin depend-episod
243,Human Resources Manager,Cavus deformity of foot
244,Media Manager II,Extrapyramidal dis NOS
245,Quality Control Specialist,Pyrexia in labor-antepar
246,Nurse,Mv coll w pedest-motcycl
247,Speech Pathologist,Prolong 1st stage-deliv
248,Product Engineer,Hx-hodgkin's disease
249,Analog Circuit Design manager,Traum arthropathy-mult
250,Assistant Manager,Non-abo incomp/HTR NEC
251,VP Marketing,Supervis normal 1st preg
252,Health Coach II,Opn skl base fx-brf coma
253,Quality Control Specialist,Chr follic conjunctivit
254,VP Marketing,Mild hyperemesis-antepar
255,Assistant Professor,Primary CNS lymph spleen
256,Geologist II,Strongyloidiasis
257,Programmer II,Contusion of finger
258,Software Consultant,Fragile x syndrome
259,Payment Adjustment Coordinator,B12 defic anemia NEC
260,Automation Specialist II,Idiopathic corneal edema
261,Dental Hygienist,Adv eff anti-parkinson
262,Help Desk Technician,Upper extremity embolism
263,Budget/Accounting Analyst IV,Boat acc inj NEC-passeng
264,Chemical Engineer,War inj:piercing object
265,Software Consultant,Spina bifida-dorsal
266,Software Test Engineer II,Abn stimul response NOS
267,Registered Nurse,Sinoatrial node dysfunct
268,Professor,After-cataract NEC
269,Computer Systems Analyst II,Pneumonia oth strep
270,Accounting Assistant I,Pseudobulbar affect
271,Structural Engineer,Fracture seven ribs-open
272,Human Resources Assistant II,Postop vaginal prolapse
273,Account Representative III,Inf arthrit NOS-forearm
274,Pharmacist,Cl skl w oth fx-mod coma
275,Nurse,Irritable bowel syndrome
276,Office Assistant III,W/crf stair fall-militry
277,Research Associate,Swimming accident NOS
278,Statistician IV,Dysplasia of cervix NOS
279,Tax Accountant,Joint symptom NEC-ankle
280,Marketing Assistant,Duodenum injury-open
281,VP Sales,Ca in situ fem gen NOS
282,Electrical Engineer,Mv brd/alight-anim rider
283,Senior Quality Engineer,Hx-cong malform-nervous
284,Media Manager I,Inlet contraction-deliv
285,GIS Technical Architect,Menopausal disorder NOS
286,Mechanical Systems Engineer,Hypersensit angiitis NOS
287,Cost Accountant,Testicular hypofunc NEC
288,Administrative Officer,Solitary cyst of breast
289,Data Coordinator,Acc poison-analgesic NOS
290,Business Systems Development Analyst,Avulsion of eye
291,Human Resources Assistant II,Overexert reptv mvmt NEC
292,Database Administrator II,Speech/language dis NEC
293,Senior Quality Engineer,Oliguria & anuria
294,Electrical Engineer,Cl skull base fx-concuss
295,Graphic Designer,Myoclonus
296,Senior Cost Accountant,War inj:marine weapn NEC
297,Financial Analyst,RR acc NOS-ped cyclist
298,Budget/Accounting Analyst III,Cnsl prnt-chld prob NOS
299,Information Systems Manager,Skin disorder NOS
300,Budget/Accounting Analyst III,Synovitis NEC
301,Dental Hygienist,Antepart hem NOS-antepar
302,Staff Accountant IV,"Low vision, 2 eyes NOS"
303,Assistant Professor,Pelvic organ inj NOS-opn
304,GIS Technical Architect,Disturbances of vision
305,Senior Editor,Hypersom w slp apnea NOS
306,Legal Assistant,Unc behav neo resp NEC
307,Executive Secretary,Sec mal neo brain/spine
308,Payment Adjustment Coordinator,Synovitis in oth dis
309,Help Desk Technician,Hemolytc trans react NOS
310,Administrative Assistant I,Rupture of synovium NOS
311,VP Accounting,Cannabis abuse-episodic
312,Executive Secretary,Oth spcf joint replaced
313,Information Systems Manager,Genetic carrier stat NEC
314,Recruiting Manager,Lactat dis NOS-del w p/p
315,Nuclear Power Engineer,H zoster complicated NEC
316,Quality Engineer,Salmonella arthritis
317,Assistant Media Planner,Fit/adj breast pros/impl
318,Staff Accountant IV,Degen dis eyelid NEC
319,Geological Engineer,War inj:marine weapn NEC
320,Environmental Tech,DMII keto nt st uncntrld
321,Senior Financial Analyst,Cl skul vlt fx-deep coma
322,Computer Systems Analyst II,Cong bowing tibia/fibula
323,Administrative Assistant III,Sexual precocity NEC
324,Professor,Corpus luteum cyst
325,Dental Hygienist,Fx metacarpal neck-close
326,Director of Sales,Reye's syndrome
327,Human Resources Assistant I,Acc pois-solid/liq NEC
328,Electrical Engineer,TB fem gen NEC-oth test
329,Safety Technician I,Other anthrax manifest
330,Internal Auditor,Arthropathy NEC-ankle
331,Accounting Assistant II,Hepatopulmonary syndrome
332,Nurse Practicioner,Multiple sclerosis
333,Environmental Tech,Joint dis NEC-pelvis
334,Compensation Analyst,TB of joint NEC-oth test
335,Help Desk Operator,Sezary's disease inguin
336,Nurse Practicioner,Papilledema w decr press
337,Geologist III,Respiratory abnorm NEC
338,Physical Therapy Assistant,Anterior synechiae
339,Nurse,Pedal cycle acc-pedest
340,Research Nurse,Twin gest-monochr/diamni
341,Computer Systems Analyst II,"Comp edentulism,class I"
342,VP Product Management,Ac frontal sinusitis
343,Compensation Analyst,Fx tibia shaft-open
344,Health Coach III,Acc pois-solid/liq NOS
345,Research Nurse,Cong pyloric stenosis
346,Food Chemist,Complic med care NEC/NOS
347,Actuary,Adv eff cns stimulnt NEC
348,Staff Accountant I,Adv eff androgens
349,VP Sales,Longitud defic phalanges
350,Operator,Acc poison-alcohol NEC
351,Senior Sales Associate,Hypertens encephalopathy
352,Senior Financial Analyst,Hiccough
353,VP Quality Control,3 deg brn w loss-low leg
354,Information Systems Manager,Unilat cleft palate-comp
355,Media Manager III,T1-t6 fx-cl/com cord les
356,Senior Developer,Chr factitious illness
357,Compensation Analyst,Somat dysfunc sacral reg
358,Administrative Assistant I,Orbital myositis
359,Systems Administrator I,Vitreous prolapse
360,Cost Accountant,Toxic effect strychnine
361,Systems Administrator I,Liver donor
362,Environmental Tech,Extreme immat 1750-1999g
363,Assistant Manager,Opn brain inj w/o coma
364,Product Engineer,Nonsp abn find-ms system
365,Geological Engineer,Biliary cirrhosis
366,Information Systems Manager,Ac laryngotrach w obstr
367,Office Assistant I,Aspergillosis
368,Civil Engineer,Hx benign neoplasm brain
369,Recruiting Manager,Open brain lacer-concuss
370,Programmer IV,Lung - kaposi's sarcoma
371,Recruiter,Clubbing of fingers
372,Research Associate,Crys arthrop NOS-forearm
373,Assistant Manager,Rh incompat/acute HTR
374,Staff Accountant IV,"Stricture, male gen orgn"
375,Database Administrator I,Urinary anomaly NOS
376,Automation Specialist I,Breast inf NEC-del w p/p
377,Developer III,Unsp hemiplga unspf side
378,Systems Administrator IV,K. pneumoniae pneumonia
379,Quality Control Specialist,Chronic petrositis
380,Safety Technician III,Hyperchylomicronemia
381,Developer III,Congenital hypothyroidsm
382,Marketing Manager,Ac infect extern ear NEC
383,Administrative Officer,Acute cor occlsn w/o MI
384,Biostatistician III,Fx low end femur NEC-cl
385,Junior Executive,Cellulitis of foot
386,Food Chemist,Battering by child
387,Sales Representative,Opn skul/oth fx-mod coma
388,Director of Sales,Opn skul fx NEC-coma NOS
389,Internal Auditor,Undeterm circ-scald
390,Mechanical Systems Engineer,Persistent vegtv state
391,VP Accounting,Benign neoplasm vagina
392,VP Marketing,"Pancreas, body inj-open"
393,Teacher,Periph focal retinitis
394,Electrical Engineer,Essen hyperten preg-unsp
395,Junior Executive,Secondary corneal edema
396,Human Resources Manager,Anim drawn veh-pers NEC
397,Marketing Manager,Broken tooth-uncomplic
398,Financial Advisor,Legal blindness-usa def
399,Environmental Tech,Hx-peanut allergy
400,Chemical Engineer,Mal second hyperten NEC
401,Civil Engineer,Hypertonicity of bladder
402,Geologist I,Madelung's deformity
403,Programmer I,Hodgkins granulom abdom
404,Executive Secretary,Poison-antivaricose drug
405,Compensation Analyst,Dental caries - pulp
406,Civil Engineer,Chagas dis of oth organ
407,Software Test Engineer I,Acute swimmers' ear
408,Programmer I,Vitamin A deficiency NOS
409,Mechanical Systems Engineer,Forcep deliv NOS-unspec
410,Senior Financial Analyst,W/craft fall NEC-unpow
411,Senior Editor,Ac epiglottitis no obstr
412,Administrative Assistant IV,Glauc w ant seg anom NEC
413,Chief Design Engineer,"Varic vein leg,comp NEC"
414,General Manager,Alcoh dep NEC/NOS-unspec
415,Senior Developer,Exhibitionism
416,Nuclear Power Engineer,Placenta previa-antepart
417,VP Accounting,Varus deformity wrist
418,Account Representative I,Postmastoid granulations
419,Chief Design Engineer,Anemia in neoplastic dis
420,Social Worker,Rheumatic heart failure
421,Project Manager,Excessive attrition-pulp
422,Analyst Programmer,Cramp in limb
423,Chemical Engineer,Malig neo parathyroid
424,Research Assistant I,Anal fistula
425,Media Manager I,Fall from skateboard
426,Staff Accountant I,Follow-up vag pap smear
427,Financial Advisor,Arthrop w oth dis NEC
428,VP Product Management,Lt ef oth parals non-dom
429,Registered Nurse,3rd deg burn low leg
430,Software Engineer III,Abnormal RBC NEC
431,Legal Assistant,Diphtheria NOS
432,Biostatistician IV,Late syphilis NOS
433,Budget/Accounting Analyst IV,Mal neo soft tissue arm
434,Paralegal,Acc poison-shellfish
435,Business Systems Development Analyst,"Dysphagia, oral phase"
436,Administrative Assistant IV,Abn chromosomal analysis
437,Graphic Designer,Abnorm echoencephalogram
438,Human Resources Assistant I,Status amput thumb
439,Cost Accountant,Hodgkins dis NOS axilla
440,Help Desk Operator,Sprain metatarsophalang
441,VP Product Management,Transient refract change
442,Engineer II,"Fx cuneiform, foot-open"
443,Director of Sales,Tight hymenal ring
444,Food Chemist,Breast engorge-del w p/p
445,Electrical Engineer,Benign neoplasm bladder
446,Sales Associate,Osteomyelit NOS-oth site
447,Clinical Specialist,Free weights
448,Staff Accountant I,70-79% bdy brn/30-39% 3d
449,Project Manager,Renal dis NOS-antepartum
450,Business Systems Development Analyst,Ac diastolic hrt failure
451,Software Engineer II,Optic nerve injury
452,Research Associate,Palindrom rheum-forearm
453,Internal Auditor,Chr duoden ulc hem/perf
454,Media Manager II,Lymphosarcoma abdom
455,Nurse,Ben hyp ht/kd I-IV w hf
456,Senior Financial Analyst,Ac DVT/embl low ext NOS
457,Account Representative I,Adj cerebral vent shunt
458,Teacher,Plantar fibromatosis
459,Librarian,Embl suprfcl ves low ext
460,Business Systems Development Analyst,1st deg burn knee
461,Internal Auditor,Preterm NEC 2000-2499g
462,Sales Representative,Vocal paral bilat part
463,GIS Technical Architect,Bronchitis NOS
464,Senior Sales Associate,Malig neo pancreas NOS
465,Environmental Specialist,Eosinophilc gastrt w hem
466,Compensation Analyst,Juxtapap foc choroiditis
467,Director of Sales,Fall from skateboard
468,Account Representative I,Diseases of appendix NEC
469,Professor,"Part edentulsm,class III"
470,Recruiting Manager,Transv/obliq lie-antepar
471,Community Outreach Specialist,Schizoafftv dis-chr/exac
472,Human Resources Assistant IV,TB of bladder-oth test
473,Quality Engineer,Disrup-external op wound
474,Professor,Acc poison-sedatives NEC
475,Senior Editor,Screen-trypanosomiasis
476,Geological Engineer,Hymenolepiasis
477,Administrative Officer,Squamous blepharitis
478,Recruiting Manager,Pemphigoid
479,VP Accounting,Scarring of conjunctiva
480,Structural Analysis Engineer,Venous compl NEC-deliver
481,VP Accounting,Simpl schizophren-subchr
482,Human Resources Assistant I,Brain inj NEC-mod coma
483,Director of Sales,Ac rheumatic myocarditis
484,Associate Professor,Injury femoral nerve
485,Speech Pathologist,TB organ NEC-exam unkn
486,Human Resources Assistant III,Mv-train coll-anim rid
487,Programmer Analyst III,Iridoschisis
488,Cost Accountant,Cl skull vlt fx-mod coma
489,Assistant Media Planner,Hiccough
490,Tax Accountant,TB of bladder-no exam
491,Administrative Officer,Ankylosis ear ossicl NEC
492,Information Systems Manager,Adv eff spinal anesthet
493,Nurse Practicioner,Internal injury NOS-open
494,Geological Engineer,TB sp crd absc-micro dx
495,Senior Sales Associate,Ischemic optic neuropthy
496,Payment Adjustment Coordinator,Post-term infant
497,VP Marketing,High vaginal lac-postpar
498,Senior Sales Associate,Prolong 1st stage-deliv
499,Senior Editor,Somat dysfunc rib cage
500,Junior Executive,Benign neo mouth floor
501,Software Consultant,Peptic ulcer NOS-obstruc
502,Assistant Manager,Convalescence NOS
503,Paralegal,Sprain interphalangeal
504,Electrical Engineer,TB esophagus-cult dx
505,VP Marketing,60-69% bdy brn/10-19% 3d
506,Research Assistant IV,Anomalies of aortic arch
507,Office Assistant III,Transient arterial occlu
508,Financial Advisor,Kidney laceration-open
509,Software Engineer IV,Late eff fire acc
510,Actuary,Mycotic arthritis-shlder
511,Office Assistant II,Respiratory comp NEC
512,Senior Sales Associate,Varicose vulva-antepart
513,Nurse,Spinocerebellar dis NOS
514,VP Marketing,Cl skl w oth fx-mod coma
515,Actuary,Benign neoplasm choroid
516,Senior Editor,Mv-train coll-driver
517,Sales Associate,Retained glass fragments
518,Civil Engineer,Sleep disturbances NEC
519,Food Chemist,Brain injury NEC
520,Nurse Practicioner,"Barotrauma, sinus"
521,Software Test Engineer II,NB hypothermia NEC
522,Biostatistician IV,Fx arm mult/NOS-open
523,Account Representative II,Acc due to lightning
524,Staff Scientist,Underwater dive/snorkel
525,Human Resources Manager,Gonococcal arthritis
526,Environmental Tech,Mult gest malpres-deliv
527,Programmer Analyst I,Disl interphaln hand-cl
528,Nurse,Benign neoplasm NEC
529,Business Systems Development Analyst,Anterior cord syn/t7-t12
530,Staff Scientist,Irregular menstruation
531,Research Nurse,Reentrant coll-motcycl
532,Structural Analysis Engineer,Deep 3rd brn mult finger
533,Senior Financial Analyst,Reading disorder NOS
534,Senior Editor,Op skl base fx-prol coma
535,General Manager,Cochlear otosclerosis
536,Geologist II,Tooth devel/erup dis NOS
537,Senior Sales Associate,Poison-antithyroid agent
538,Help Desk Technician,"Deliver-twins, both live"
539,Internal Auditor,Heat exhaustion NOS
540,Food Chemist,Panniculitis of neck
541,Product Engineer,Vaccin for dtp + tab
542,Help Desk Operator,Hodgkins dis NOS spleen
543,Legal Assistant,Elev ca antigen 125
544,Product Engineer,Alopecia NEC
545,Quality Engineer,Abn glucose-postpartum
546,Desktop Support Technician,Joint effusion-shlder
547,Dental Hygienist,Panuveitis
548,Safety Technician III,Superfic inj periocular
549,GIS Technical Architect,Post term preg-antepar
550,Clinical Specialist,Endocrine anomaly NEC
551,Accountant IV,Edema in preg-antepartum
552,Computer Systems Analyst I,Mal neo long bones leg
553,Information Systems Manager,Hx-uterus malignancy NEC
554,VP Sales,Optic nerve hypoplasia
555,Mechanical Systems Engineer,Pyogen arthritis-mult
556,Clinical Specialist,Boat acc inj NEC-swim
557,Structural Engineer,Legal blindness-usa def
558,Statistician III,Acc poison-food NEC
559,Information Systems Manager,Ant disloc prox tibia-cl
560,Marketing Manager,Adv eff smallpox vaccine
561,Desktop Support Technician,Depersonalization disord
562,Administrative Assistant I,Vasc comp renal artery
563,Nuclear Power Engineer,War inj:explosion NEC
564,Social Worker,Sprain of knee & leg NOS
565,Staff Scientist,Cerebellar ataxia NEC
566,Quality Control Specialist,Dislocat foot NEC-closed
567,Research Assistant I,Amputation finger-compl
568,Health Coach IV,Deep 3 deg brn mult site
569,Human Resources Manager,Lung involv in oth dis
570,Librarian,Ac kidny fail w del-unsp
571,Information Systems Manager,Delay p/p hem-del w p/p
572,Design Engineer,NB late anemia:isoimmun
573,Help Desk Operator,Disorder of pinna NOS
574,Actuary,Chyluria
575,Staff Accountant IV,Mal neo stomach fundus
576,Account Executive,Prophylac fluoride admin
577,Occupational Therapist,Housing/econo circum NEC
578,Business Systems Development Analyst,Sebaceous cyst
579,Health Coach I,Hx-contct/expos asbestos
580,Nurse,Dosag fail-shock therapy
581,Senior Editor,Neuralgia/neuritis NOS
582,Senior Editor,Septicem in labor-deliv
583,Staff Scientist,Urinary obstruction NOS
584,Legal Assistant,Longitud defic phalanges
585,Teacher,Oth off-road mv acc-psgr
586,Computer Systems Analyst II,Lack norm physio dev NOS
587,Tax Accountant,Inf arthrit NOS-forearm
588,Safety Technician III,Edema of larynx
589,Tax Accountant,Comp-ren dialys dev/grft
590,Office Assistant IV,Transver/obliq lie-deliv
591,VP Marketing,Fx neck of femur NOS-cl
592,Senior Cost Accountant,Atten to gastrostomy
593,General Manager,Adv eff mixed viral-bact
594,Assistant Manager,Tetanus
595,Analog Circuit Design manager,Fat embolism
596,Nurse,Jt derangmnt NEC-unsp jt
597,Food Chemist,Illeg ab w embolism-unsp
598,VP Quality Control,Ulcertve prctosigmoidtis
599,Dental Hygienist,Periostitis-l/leg
600,Paralegal,2nd deg burn mult site
601,Accounting Assistant II,Varicose vulva-delivered
602,Compensation Analyst,Bacteria dis carrier NEC
603,Software Engineer II,Fit orthopedic devices
604,Compensation Analyst,Hodgkins paragran thorax
605,Biostatistician IV,Poison-capillary act agt
606,Office Assistant III,Post traumatic seizures
607,Database Administrator II,Abscess of thymus
608,Editor,Joint pain-shlder
609,Food Chemist,Optic neuritis NEC
610,Nurse,Paral polio NEC-type NOS
611,Nuclear Power Engineer,Air pressure change NEC
612,Budget/Accounting Analyst II,Pyoderma NEC
613,Software Consultant,Ben hyp kid w cr kid V
614,Dental Hygienist,Metalworking machine acc
615,Professor,Convergence excess
