payroll_id ,payroll_period ,calculated_earnings ,deductions,netpay ,overtime_hours ,payroll_date ,tax_deduction ,compensation_id 
37,10/23/2023,77.8,46.6,85.4,87.3,9/2/2023,4,10
38,9/9/2023,10.3,74.5,83.4,43.9,3/14/2023,45,37
39,2/15/2023,1.5,52.3,15.4,56.8,3/30/2023,67,92
40,2/27/2023,24.3,72.2,23.8,79.9,6/30/2023,97,37
41,4/5/2023,56.2,44.8,6.9,89.1,9/11/2023,57,28
42,10/16/2023,13.8,30.3,63.5,33.4,5/3/2023,60,37
43,3/10/2023,24.7,65.5,9.9,75.4,7/18/2023,89,16
44,8/3/2023,7.6,99.0,73.2,22.6,6/9/2023,41,96
45,11/8/2023,64.1,70.0,71.3,88.6,5/24/2023,63,12
46,11/9/2023,81.6,69.3,36.2,97.3,10/13/2023,71,43
47,1/25/2023,14.2,99.2,57.8,87.9,9/16/2023,54,5
48,4/21/2023,51.9,52.5,95.9,99.0,5/13/2023,98,11
49,11/7/2023,91.9,42.8,33.3,88.1,6/2/2023,22,21
50,6/25/2023,16.2,97.8,93.4,3.1,9/9/2023,84,89
51,7/13/2023,19.2,14.6,18.9,52.3,9/11/2023,34,49
52,12/2/2022,52.9,90.2,69.6,70.9,1/28/2023,74,19
53,5/2/2023,32.9,21.9,87.0,69.3,1/22/2023,31,25
54,8/8/2023,72.8,56.1,54.6,44.8,10/31/2023,45,22
55,4/8/2023,87.0,89.7,69.3,86.9,5/1/2023,97,34
56,2/7/2023,77.6,47.8,56.2,1.8,1/14/2023,75,9
57,5/17/2023,26.8,38.8,56.0,38.2,5/3/2023,89,69
58,11/24/2023,86.5,95.3,90.4,8.5,1/4/2023,67,82
59,6/21/2023,21.7,16.6,98.0,10.3,12/22/2022,64,58
60,9/16/2023,56.0,1.4,55.0,31.3,3/5/2023,21,84
61,12/20/2022,88.8,74.9,98.7,76.7,6/20/2023,31,2
62,1/29/2023,54.0,16.7,60.0,4.4,12/1/2022,16,41
63,9/16/2023,18.1,90.4,76.4,59.7,9/19/2023,13,92
64,1/9/2023,32.8,94.5,62.1,74.2,6/13/2023,86,37
65,4/25/2023,19.2,54.4,15.4,62.1,12/6/2022,90,85
66,2/27/2023,45.0,41.6,15.3,4.1,1/29/2023,13,94
67,8/23/2023,25.0,74.5,13.8,41.0,3/21/2023,35,37
68,2/27/2023,30.2,28.2,52.8,45.1,7/10/2023,12,45
69,1/14/2023,22.7,38.5,72.1,43.6,5/24/2023,96,6
70,5/20/2023,59.5,51.9,58.8,37.4,12/10/2022,7,69
71,3/28/2023,45.3,71.0,21.7,72.2,4/15/2023,96,34
72,9/23/2023,47.6,22.9,50.0,86.1,11/16/2023,2,92
73,1/19/2023,13.2,46.5,40.4,59.5,10/10/2023,75,33
74,4/6/2023,95.0,15.0,60.3,88.5,8/30/2023,3,62
75,3/26/2023,95.2,7.9,18.6,11.0,12/11/2022,72,94
76,1/10/2023,33.4,70.8,21.1,97.0,12/27/2022,57,59
77,3/10/2023,43.0,40.7,51.0,18.9,2/4/2023,38,35
78,1/27/2023,61.1,63.5,83.6,76.4,2/21/2023,58,28
79,10/25/2023,14.2,17.0,32.9,85.1,8/18/2023,63,2
80,1/22/2023,86.0,13.5,90.6,22.2,1/29/2023,57,88
81,12/7/2022,7.5,1.3,78.5,23.8,7/22/2023,75,70
82,1/8/2023,60.1,94.2,87.7,26.9,3/31/2023,8,54
83,8/30/2023,57.7,78.5,66.5,59.3,12/17/2022,81,87
84,11/2/2023,45.1,91.7,30.0,33.7,5/8/2023,21,8
85,12/19/2022,45.6,87.6,15.6,2.2,4/10/2023,36,53
86,4/16/2023,56.2,69.9,85.2,49.3,3/12/2023,91,17
87,9/27/2023,95.8,50.3,97.3,50.0,4/26/2023,35,40
88,5/11/2023,83.2,7.8,51.3,61.6,7/30/2023,52,59
89,5/20/2023,10.3,45.3,30.5,30.4,6/21/2023,52,34
90,4/7/2023,71.6,76.2,56.8,17.1,7/15/2023,46,15
91,10/28/2023,89.6,30.5,43.0,72.4,6/5/2023,37,89
92,2/13/2023,23.9,98.0,26.2,33.9,4/16/2023,4,37
93,5/8/2023,74.6,40.0,27.6,38.2,7/4/2023,40,27
94,3/21/2023,29.9,36.1,39.9,88.4,2/1/2023,67,33
95,7/10/2023,89.9,41.3,61.7,96.0,10/17/2023,50,61
96,8/21/2023,32.8,29.9,55.6,76.1,3/20/2023,98,79
97,4/1/2023,42.4,81.3,20.5,76.9,10/9/2023,91,22
98,12/26/2022,66.5,38.8,11.0,27.1,7/20/2023,81,93
99,6/7/2023,50.3,7.0,42.1,65.2,1/1/2023,48,62
100,4/20/2023,34.7,96.7,92.6,20.4,3/3/2023,80,54
101,12/5/2022,97.8,31.1,61.5,23.0,11/9/2023,66,19
102,12/20/2022,22.7,26.6,67.3,46.8,4/15/2023,79,92
103,3/13/2023,49.0,81.2,71.6,69.5,1/31/2023,71,61
104,2/21/2023,83.7,22.6,82.7,99.1,9/18/2023,22,51
105,3/27/2023,10.6,8.8,68.2,19.6,2/10/2023,85,67
106,11/28/2022,32.1,8.8,37.2,22.6,12/6/2022,100,21
107,9/22/2023,21.3,51.2,83.1,78.4,5/11/2023,62,18
108,8/3/2023,87.7,69.4,46.5,98.6,1/14/2023,96,54
109,4/14/2023,96.4,78.2,33.8,97.9,7/3/2023,11,26
110,4/14/2023,85.0,72.2,21.7,4.5,8/19/2023,70,27
111,5/4/2023,69.7,6.1,10.7,89.8,7/20/2023,94,91
112,2/21/2023,48.0,20.2,50.1,15.5,3/22/2023,54,60
113,10/13/2023,94.8,8.5,62.0,93.3,9/2/2023,50,49
114,3/2/2023,73.7,94.2,33.7,46.0,5/28/2023,75,4
115,4/25/2023,93.1,95.0,96.6,19.5,1/26/2023,89,13
116,12/27/2022,15.1,55.0,20.8,75.0,10/24/2023,19,36
117,4/15/2023,1.8,1.1,16.6,99.7,9/23/2023,46,74
118,8/3/2023,40.1,33.1,59.1,60.1,3/25/2023,3,100
119,2/24/2023,85.8,82.4,42.8,68.3,6/18/2023,41,91
120,8/8/2023,38.0,44.8,96.2,17.8,2/6/2023,5,61
121,2/12/2023,1.8,79.8,72.3,80.4,9/14/2023,100,10
122,2/9/2023,14.4,58.0,19.5,33.6,4/16/2023,62,74
123,7/20/2023,8.8,80.1,49.2,68.0,11/8/2023,54,41
124,6/17/2023,59.7,27.2,98.3,3.7,12/2/2022,41,30
125,5/27/2023,95.4,99.6,56.5,78.8,4/24/2023,36,80
126,9/15/2023,90.7,62.4,99.3,30.9,6/10/2023,56,21
127,3/30/2023,34.8,24.0,46.8,24.4,10/26/2023,1,40
128,2/19/2023,18.1,27.3,72.4,68.5,1/27/2023,27,48
129,4/13/2023,64.3,92.1,84.3,69.9,9/21/2023,87,72
130,4/7/2023,98.6,48.4,72.5,15.9,1/24/2023,51,87
131,11/9/2023,41.0,59.1,98.6,78.1,3/21/2023,76,83
132,1/8/2023,82.2,44.0,53.0,90.1,6/3/2023,15,97
133,7/24/2023,1.0,37.9,29.9,68.2,12/21/2022,82,21
134,5/13/2023,15.7,93.5,96.1,94.8,1/5/2023,37,84
135,10/24/2023,11.0,41.4,10.1,50.3,1/11/2023,97,93
136,10/12/2023,7.8,71.8,57.5,64.9,11/10/2023,49,68
137,6/22/2023,35.1,6.8,22.0,60.5,4/24/2023,87,86
138,12/27/2022,58.2,8.3,66.7,85.1,3/22/2023,60,48
139,10/8/2023,93.6,49.5,74.9,40.3,1/11/2023,78,83
140,10/3/2023,32.3,59.5,38.3,88.2,1/16/2023,37,90
141,4/2/2023,92.2,42.2,16.8,59.5,6/19/2023,86,65
142,8/20/2023,16.4,5.2,15.1,63.5,3/23/2023,50,35
143,7/1/2023,91.2,71.5,40.2,17.1,12/3/2022,4,20
144,1/26/2023,60.5,20.1,29.8,13.2,9/2/2023,1,65
145,4/29/2023,38.6,44.8,21.6,81.1,3/12/2023,83,88
146,10/9/2023,40.9,72.3,51.4,65.7,9/26/2023,49,71
147,4/22/2023,61.4,52.0,58.4,5.8,1/22/2023,69,96
148,2/26/2023,22.8,68.7,69.1,36.8,9/29/2023,21,27
149,5/31/2023,80.1,98.8,57.7,88.3,5/21/2023,47,33
150,6/14/2023,70.9,73.2,8.3,23.3,10/10/2023,55,27
151,11/22/2023,18.1,46.1,87.4,77.3,1/16/2023,56,47
152,2/2/2023,22.2,42.0,61.3,89.6,9/20/2023,71,24
153,1/16/2023,47.9,81.2,41.8,26.7,10/8/2023,90,53
154,3/11/2023,96.3,52.4,84.6,43.2,6/21/2023,43,48
155,6/16/2023,73.3,2.5,17.8,98.8,6/25/2023,65,3
156,8/25/2023,77.9,31.3,56.7,67.0,7/27/2023,98,43
157,7/4/2023,77.6,52.2,94.5,59.3,8/26/2023,55,36
158,8/27/2023,10.7,96.1,56.0,56.2,1/8/2023,15,21
159,11/10/2023,48.4,95.6,68.9,59.0,11/10/2023,27,88
160,7/18/2023,53.3,1.1,7.2,64.7,5/27/2023,85,70
161,5/12/2023,32.1,11.4,48.9,62.9,4/25/2023,32,16
162,2/5/2023,45.0,3.3,39.0,12.4,1/2/2023,91,47
163,8/7/2023,43.6,27.6,34.9,67.2,12/8/2022,73,33
164,4/26/2023,93.8,71.2,26.8,75.5,12/24/2022,86,53
165,4/21/2023,59.2,28.1,54.1,12.8,12/14/2022,76,68
166,6/11/2023,77.3,62.5,28.6,54.2,12/30/2022,22,7
167,10/5/2023,51.6,41.4,34.5,23.1,12/9/2022,15,63
168,6/17/2023,92.6,49.7,20.0,93.7,2/28/2023,65,4
169,7/23/2023,72.2,65.4,74.7,73.0,5/11/2023,59,62
170,10/27/2023,57.7,21.7,59.6,28.4,8/16/2023,96,63
171,2/7/2023,10.8,86.0,57.0,50.6,8/1/2023,69,66
172,5/18/2023,5.2,13.7,52.9,48.1,12/23/2022,39,91
173,7/21/2023,69.6,95.1,45.5,46.8,10/7/2023,13,45
174,12/4/2022,85.8,52.3,75.0,68.4,8/13/2023,82,11
175,9/10/2023,96.9,47.4,65.0,79.2,3/20/2023,32,28
176,2/9/2023,61.8,83.1,96.7,1.9,3/29/2023,10,87
177,3/28/2023,4.0,25.3,59.3,7.5,4/16/2023,36,94
178,5/5/2023,95.4,78.1,63.9,9.6,6/3/2023,99,20
179,12/1/2022,97.6,46.7,11.5,12.1,6/17/2023,89,80
180,8/1/2023,42.4,89.1,65.2,48.4,1/1/2023,31,1
181,5/27/2023,25.6,45.6,45.7,22.1,6/9/2023,11,67
182,4/28/2023,40.7,40.3,30.0,80.4,4/29/2023,47,23
183,7/6/2023,62.2,67.5,30.4,37.7,10/20/2023,53,97
184,1/17/2023,44.4,83.0,34.8,47.3,8/12/2023,88,87
185,3/26/2023,44.8,82.2,92.7,98.0,4/6/2023,20,90
186,1/22/2023,22.5,88.2,42.2,79.6,3/15/2023,83,43
187,5/13/2023,85.4,79.9,95.3,23.1,11/15/2023,26,11
188,12/20/2022,89.1,70.4,16.8,88.9,2/26/2023,44,83
189,6/2/2023,57.4,11.2,85.8,74.6,5/9/2023,25,69
190,4/15/2023,31.2,21.8,71.6,59.1,8/30/2023,39,63
191,6/14/2023,74.8,52.4,17.1,94.3,9/22/2023,77,50
192,11/26/2022,98.7,91.5,11.9,27.1,12/7/2022,80,13
193,3/9/2023,90.1,23.3,60.7,32.9,4/24/2023,73,83
194,11/1/2023,62.1,91.4,38.9,45.7,5/3/2023,49,20
195,10/5/2023,6.7,53.7,56.5,40.3,9/2/2023,35,38
196,1/26/2023,91.2,95.0,31.4,11.1,5/6/2023,23,19
197,6/26/2023,17.6,63.4,42.0,50.8,2/28/2023,100,93
198,10/15/2023,28.3,54.9,54.2,41.6,12/13/2022,91,62
199,10/21/2023,96.9,88.4,11.4,41.1,5/15/2023,91,37
200,11/6/2023,53.9,91.4,27.9,46.8,8/19/2023,32,39
201,1/5/2023,94.2,10.5,20.7,48.9,5/28/2023,3,40
202,5/25/2023,58.5,65.5,68.4,21.6,11/24/2023,69,74
203,12/5/2022,5.6,15.7,12.4,24.8,8/20/2023,79,80
204,3/7/2023,90.0,48.9,58.2,79.1,10/2/2023,31,73
205,9/26/2023,67.0,66.1,70.8,69.2,9/17/2023,28,75
206,6/17/2023,40.2,41.6,13.5,95.2,10/23/2023,33,39
207,9/12/2023,40.7,56.7,45.8,16.3,2/28/2023,72,40
208,1/12/2023,83.8,75.1,5.8,66.8,4/20/2023,28,84
209,11/10/2023,71.0,84.8,33.6,66.1,12/22/2022,33,11
210,8/3/2023,43.6,33.9,25.2,2.8,11/4/2023,30,43
211,2/4/2023,47.1,36.8,66.0,69.3,5/5/2023,77,2
212,8/13/2023,97.0,18.2,86.7,8.2,5/15/2023,67,48
213,11/29/2022,27.9,66.6,95.4,40.7,8/9/2023,95,41
214,6/5/2023,64.8,43.6,12.8,47.1,9/25/2023,80,41
215,11/21/2023,54.4,98.2,16.5,58.2,5/3/2023,95,2
216,12/24/2022,45.9,55.9,2.9,5.9,2/16/2023,96,80
217,1/22/2023,35.7,43.9,47.4,4.8,4/6/2023,90,52
218,9/3/2023,12.2,38.6,95.0,94.4,10/4/2023,78,74
219,8/29/2023,30.2,40.5,56.6,64.3,12/2/2022,15,50
220,7/24/2023,87.3,86.4,99.1,66.2,3/7/2023,49,97
221,9/1/2023,51.7,32.3,46.3,86.8,8/6/2023,64,55
222,4/13/2023,77.8,1.0,56.9,14.5,5/1/2023,4,37
223,11/13/2023,21.8,30.0,96.8,63.6,10/14/2023,9,93
224,8/26/2023,9.3,53.8,55.8,41.9,8/25/2023,15,99
225,6/11/2023,57.8,32.0,42.7,15.3,8/16/2023,12,84
226,8/5/2023,71.3,57.4,18.1,95.8,11/11/2023,41,91
227,12/3/2022,61.9,45.0,24.3,71.1,2/15/2023,27,10
228,12/26/2022,98.2,41.1,78.5,16.5,12/14/2022,82,73
229,7/19/2023,35.9,96.2,91.7,12.9,5/6/2023,9,76
230,1/1/2023,52.9,50.0,6.3,87.7,6/25/2023,35,14
231,12/25/2022,20.3,43.2,98.8,93.8,5/17/2023,23,61
232,1/6/2023,88.6,48.7,28.7,50.0,9/3/2023,30,85
233,9/24/2023,96.7,44.1,11.5,52.9,12/9/2022,26,75
234,2/11/2023,90.5,23.6,63.2,40.5,9/22/2023,83,75
235,4/23/2023,25.9,13.7,79.3,13.1,7/19/2023,36,37
236,9/2/2023,91.2,77.9,59.6,92.5,5/21/2023,36,99
237,3/14/2023,55.1,78.0,86.1,77.3,4/16/2023,25,38
238,6/19/2023,40.3,34.9,53.9,16.7,11/6/2023,12,71
239,7/6/2023,42.4,16.5,64.8,18.7,2/16/2023,4,68
240,6/21/2023,15.5,4.0,74.8,45.9,9/10/2023,78,11
241,5/13/2023,75.2,45.5,54.5,83.4,4/15/2023,45,3
242,3/31/2023,8.3,33.5,45.5,32.9,1/25/2023,20,69
243,5/27/2023,66.7,83.2,71.3,76.6,3/13/2023,55,31
244,3/12/2023,64.4,31.6,54.9,44.8,3/16/2023,57,48
245,6/10/2023,22.8,33.5,42.2,1.9,7/2/2023,44,21
246,9/8/2023,81.2,29.8,54.2,12.0,11/11/2023,49,53
247,7/30/2023,13.7,75.5,39.5,5.3,12/16/2022,18,71
248,7/17/2023,55.8,85.9,31.1,75.2,12/27/2022,1,10
249,7/12/2023,58.5,78.5,61.2,30.0,6/13/2023,3,17
250,7/1/2023,50.6,63.6,93.5,40.1,3/20/2023,96,99
251,11/30/2022,17.1,50.0,62.5,16.2,7/27/2023,2,39
252,2/4/2023,53.4,88.0,22.6,58.0,2/11/2023,14,61
253,4/26/2023,53.3,6.9,11.3,16.7,7/21/2023,7,66
254,5/2/2023,76.7,39.2,14.5,42.7,1/20/2023,62,86
255,1/14/2023,12.0,3.4,90.8,79.0,1/28/2023,42,80
256,7/11/2023,29.2,77.9,40.9,22.0,11/27/2022,60,30
257,6/11/2023,5.5,7.3,13.6,72.5,6/1/2023,63,12
258,9/11/2023,89.4,6.8,93.4,91.9,11/18/2023,34,76
259,6/3/2023,37.0,67.5,29.1,47.7,3/4/2023,42,86
260,5/7/2023,97.9,23.8,94.6,75.1,2/10/2023,5,94
261,1/9/2023,93.7,15.9,52.7,40.7,11/11/2023,8,61
262,3/2/2023,43.9,18.2,54.8,84.5,2/23/2023,57,46
263,10/27/2023,43.4,96.3,66.2,39.0,4/26/2023,6,98
264,12/6/2022,4.7,83.0,87.5,7.6,1/10/2023,83,60
265,9/29/2023,96.0,55.1,80.2,95.9,8/2/2023,69,34
266,7/17/2023,14.6,21.7,7.8,71.5,5/9/2023,20,67
267,4/4/2023,72.6,97.5,52.9,21.7,3/19/2023,14,24
268,5/17/2023,90.8,41.2,29.2,75.8,2/6/2023,91,43
269,3/23/2023,30.2,98.3,26.6,96.3,3/12/2023,80,44
270,9/23/2023,49.6,9.0,6.5,95.5,3/18/2023,6,44
271,6/13/2023,96.0,53.3,36.1,35.2,10/15/2023,59,73
272,10/10/2023,6.7,5.4,48.4,29.0,7/4/2023,18,44
273,5/13/2023,88.6,76.7,90.3,10.5,11/5/2023,62,39
274,9/2/2023,14.8,24.7,97.5,9.2,1/16/2023,83,61
275,6/25/2023,71.9,59.1,65.8,6.8,1/2/2023,10,38
276,5/21/2023,62.6,74.0,29.8,85.6,4/5/2023,52,43
277,6/28/2023,10.3,29.4,16.0,41.2,3/11/2023,68,21
278,11/10/2023,67.7,39.1,65.6,84.3,6/23/2023,76,77
279,6/23/2023,89.5,60.6,14.2,11.3,8/13/2023,42,43
280,2/25/2023,56.1,95.9,65.7,79.0,4/1/2023,4,17
281,11/7/2023,26.5,43.1,4.7,55.6,9/3/2023,12,89
282,8/6/2023,52.5,68.1,6.8,22.6,2/15/2023,26,55
283,10/7/2023,5.7,34.6,26.4,2.7,3/16/2023,43,11
284,3/5/2023,68.2,84.5,12.5,4.7,2/7/2023,21,40
285,3/24/2023,65.7,56.9,18.5,13.4,4/9/2023,30,63
286,9/23/2023,21.6,24.7,52.3,21.7,8/6/2023,46,29
287,12/7/2022,23.5,30.4,5.6,88.1,6/5/2023,71,94
288,7/13/2023,5.3,46.3,67.7,8.8,3/26/2023,8,76
289,3/25/2023,17.0,91.6,60.7,54.8,11/5/2023,96,24
290,3/3/2023,94.2,70.2,73.5,89.0,10/2/2023,59,1
291,10/9/2023,91.6,7.7,51.9,57.0,11/9/2023,38,77
292,9/17/2023,88.1,84.7,84.7,29.6,10/5/2023,58,92
293,10/31/2023,51.2,40.4,69.9,56.2,7/11/2023,53,15
294,6/2/2023,60.9,65.9,45.8,83.2,1/20/2023,41,45
295,12/5/2022,88.8,8.1,7.6,99.5,4/11/2023,69,9
296,12/13/2022,96.9,94.6,86.5,52.6,2/12/2023,50,29
297,7/9/2023,36.7,94.9,84.2,61.9,10/23/2023,95,40
298,4/17/2023,72.1,87.1,26.2,27.2,12/29/2022,79,84
299,2/2/2023,96.5,43.1,69.3,34.9,6/30/2023,72,48
300,1/30/2023,27.3,69.6,89.0,32.6,4/25/2023,6,53
301,6/16/2023,73.1,41.3,69.4,83.0,5/3/2023,74,9
302,9/14/2023,15.3,61.8,85.7,46.1,2/13/2023,50,26
303,5/19/2023,100.0,65.9,75.3,19.3,6/18/2023,12,76
304,10/28/2023,31.1,77.6,63.6,77.8,5/17/2023,53,56
305,6/28/2023,75.9,20.4,38.1,30.5,9/28/2023,13,41
306,11/7/2023,23.7,77.9,99.8,69.0,8/28/2023,95,59
307,1/26/2023,95.6,30.9,52.4,78.9,5/18/2023,72,52
308,12/9/2022,13.8,70.0,48.9,29.6,6/20/2023,55,9
309,5/20/2023,74.3,13.0,32.0,60.9,6/20/2023,28,10
310,5/11/2023,91.1,9.3,59.5,19.6,3/9/2023,2,25
311,8/24/2023,17.8,28.4,41.6,57.1,1/23/2023,33,41
312,3/22/2023,23.1,36.9,56.3,12.6,9/28/2023,1,27
313,2/11/2023,36.2,51.4,12.4,69.4,2/10/2023,41,87
314,7/14/2023,63.5,87.8,78.5,48.5,5/2/2023,26,67
315,10/30/2023,80.6,68.6,9.3,15.3,5/7/2023,20,91
316,2/11/2023,33.2,47.2,88.7,19.4,1/20/2023,76,55
317,5/17/2023,96.8,86.9,65.3,38.6,11/10/2023,77,90
318,11/1/2023,10.9,62.7,26.5,7.7,11/22/2023,70,46
319,9/13/2023,85.4,86.5,59.0,13.0,11/1/2023,90,28
320,2/19/2023,46.6,71.0,22.5,53.0,1/31/2023,34,75
321,7/2/2023,92.8,28.7,60.4,1.7,10/23/2023,69,12
322,1/20/2023,53.7,32.0,60.2,60.0,2/2/2023,11,57
323,11/14/2023,72.0,51.0,71.3,97.8,7/31/2023,34,43
324,8/15/2023,74.7,90.6,48.8,74.7,9/23/2023,76,15
325,12/25/2022,12.6,42.4,50.6,68.8,5/25/2023,17,72
326,2/8/2023,17.6,93.4,70.9,31.1,11/15/2023,84,7
327,9/30/2023,37.5,49.5,2.5,22.0,7/21/2023,7,63
328,9/2/2023,13.4,73.8,36.2,70.8,8/24/2023,53,69
329,4/21/2023,21.4,54.1,17.1,71.3,5/28/2023,61,59
330,4/16/2023,98.5,79.6,68.7,78.8,8/14/2023,93,91
331,7/9/2023,98.2,85.1,91.5,90.7,3/6/2023,40,63
332,3/24/2023,87.6,11.6,71.1,56.9,1/14/2023,88,52
333,12/25/2022,50.3,33.1,3.4,1.9,5/30/2023,65,90
334,7/14/2023,71.7,94.5,87.9,77.5,7/17/2023,39,38
335,3/19/2023,44.3,82.2,40.3,56.5,1/12/2023,22,63
336,7/17/2023,26.8,3.5,66.9,21.2,12/15/2022,100,71
337,7/8/2023,37.2,40.5,16.1,1.7,1/30/2023,54,56
338,10/28/2023,54.5,7.8,67.5,30.3,4/25/2023,20,40
339,7/6/2023,43.2,75.1,6.5,96.7,4/17/2023,50,66
340,5/17/2023,19.3,32.2,73.2,87.2,11/13/2023,93,72
341,3/29/2023,91.2,82.9,69.0,56.6,4/23/2023,4,1
342,7/18/2023,41.5,52.2,21.4,58.7,7/6/2023,46,62
343,8/8/2023,36.3,87.1,3.4,74.3,8/4/2023,53,28
344,6/17/2023,22.3,44.0,24.1,73.9,4/4/2023,18,42
345,9/26/2023,83.8,48.0,37.2,5.5,9/25/2023,44,62
346,8/9/2023,81.3,35.5,47.5,44.0,7/17/2023,15,65
347,5/8/2023,3.9,7.6,12.7,64.7,2/3/2023,42,4
348,7/16/2023,57.2,28.8,59.8,55.0,8/16/2023,68,41
349,8/16/2023,65.3,70.8,27.4,83.6,4/8/2023,95,35
350,6/21/2023,2.1,29.5,99.0,73.5,5/2/2023,53,71
351,9/27/2023,47.0,22.2,20.2,27.3,3/15/2023,68,35
352,1/3/2023,53.7,2.5,86.2,52.7,12/4/2022,72,19
353,10/1/2023,51.1,19.3,37.4,62.2,11/1/2023,41,18
354,6/17/2023,91.8,47.1,80.2,2.0,4/3/2023,73,35
355,7/7/2023,1.1,73.6,68.3,93.8,5/18/2023,35,58
356,8/2/2023,22.6,63.7,91.8,2.2,9/15/2023,33,71
357,6/26/2023,1.5,80.7,45.2,15.6,9/5/2023,74,34
358,8/24/2023,27.6,20.9,99.3,81.8,7/24/2023,65,86
359,7/10/2023,69.0,98.2,18.0,10.6,8/25/2023,52,52
360,10/30/2023,28.9,52.4,23.8,54.6,3/22/2023,87,3
361,7/9/2023,51.4,28.4,30.3,17.1,12/20/2022,44,100
362,6/3/2023,94.3,87.6,72.2,94.6,2/20/2023,95,42
363,11/14/2023,97.9,86.4,9.2,94.6,10/26/2023,38,6
364,9/30/2023,85.3,75.4,73.8,17.6,11/10/2023,98,48
365,3/8/2023,51.5,61.7,14.1,35.9,3/23/2023,71,17
366,7/4/2023,72.2,95.2,70.2,59.0,2/23/2023,71,72
367,8/17/2023,17.7,30.3,68.9,27.0,5/1/2023,8,92
368,8/26/2023,30.4,84.6,6.8,84.2,1/7/2023,55,72
369,11/17/2023,22.4,4.3,56.6,7.3,1/3/2023,94,57
370,8/2/2023,31.4,22.3,22.9,56.8,1/16/2023,98,65
371,11/20/2023,49.0,80.1,94.3,30.7,12/27/2022,10,13
372,5/22/2023,77.4,89.6,34.6,92.7,11/27/2022,22,2
373,10/26/2023,39.4,19.2,55.1,21.9,5/23/2023,34,64
374,8/15/2023,4.0,93.0,61.4,54.8,9/18/2023,78,68
375,3/4/2023,3.2,24.9,48.8,13.3,9/10/2023,35,80
376,3/23/2023,87.5,99.5,72.3,55.4,4/16/2023,90,23
377,1/16/2023,31.5,70.7,77.9,40.4,7/7/2023,74,23
378,1/19/2023,37.4,47.3,26.3,38.7,2/14/2023,82,19
379,4/29/2023,77.5,75.4,15.6,3.2,6/14/2023,46,32
380,2/6/2023,42.4,25.6,67.5,79.2,8/31/2023,35,42
381,11/21/2023,86.0,86.3,25.5,78.2,1/9/2023,94,28
382,12/9/2022,53.6,22.1,59.1,68.1,9/9/2023,96,61
383,7/17/2023,85.1,86.7,51.7,20.4,10/21/2023,47,61
384,3/17/2023,86.9,12.7,49.4,82.4,2/23/2023,6,48
385,7/29/2023,76.5,25.8,20.0,23.4,8/15/2023,14,38
