leave_type_id int ,leave_type_name ,leave_type_rules 
81,Levetiracetam,Joint symptom NEC-pelvis
82,Diclofenac sodium and Misoprostol,Joint dis NOS-pelvis
83,ACNE SOLUTIONS LIQUID MAKEUP,Post disloc humerus-open
84,Cephalexin,Loc prim osteoart-unspec
85,Terazol 3,Macrocheilia
86,Fanapt,Chronic pancreatitis
87,Lycogel Cover and Recovery - Breathable Concealer - SPF 30 with LYCO Complex,Extreme immatur wtNOS
88,Vomiting Diarrhea,Open wound scalp-compl
89,Pleo Ut S,Suprv elderly primigrav
90,AMMONIUM LACTATE,Hx-vaccine allergy
91,TOPIRAMATE,Abn cervix NEC-delivered
92,Systane,Prs ara wo inf w ntr/st
93,SAFEYWAY CARE,Galactosemia
94,Old Spice Red Zone Sweat Defense,Palindrom rheum-shlder
95,amoxicillin and clavulanate potassium,Ben neo spinal meninges
96,Pramipexole dihydrochloride,Postinfusion foreign bdy
97,Fexofenadine Hydrochloride,Lambert-Eaton syn ot dis
98,Alba Sunblock Natural Lavender SPF 45,Atypical manic disorder
99,Duet DHA,Placenta previa-deliver
100,Allopurinol,Diplegia of upper limbs
101,Glipizide,Foster-kennedy syndrome
102,Tri-Vit with Fluoride Drops,Vasa previa-unspecified
103,Lisinopril,Brucella melitensis
104,Bio Clematis,Pyrexia in labor-antepar
105,Stopain Cold Professional Strength Pain Relieving,Malig neo skin ear NOS
106,OXYGEN,"Team sports,athletes"
107,Pain Reliever,Personl hx nephrotic syn
108,ageLOC Elements,Anaplastic lymph multip
109,Kroger Moisture SPF 15 Lip Balm,Ab NOS w metab dis-comp
110,ORCHID,Malig melanoma arm
111,Viagra,Cutan leishmanias asian
112,Chromic Chloride,Rheumatic heart failure
113,ShopKo Illuminating Daily Moisturizer Broad Spectrum SPF15 Sunscreen,Irregular menstruation
114,Pleo Nota-Quent,Dysphonia
115,Citalopram,Op skl base fx-deep coma
116,DIGOX,War inj-unconven war NEC
117,Lorazepam,Scanty menstruation
118,MyOxin,Cat-scratch disease
119,SHISEIDO SHEER MATIFYING COMPACT (REFILL),Painful respiration
120,meloxicam,Chr inflam polyneuritis
121,Formadon,Opn brain lacer-mod coma
122,Loratadine D,Mal neo pyriform sinus
123,Epicoccum,Periph T cell lymph head
124,Cefuroxime Axetil,H simplex complicat NOS
125,Allopurinol,Fx astragalus-open
126,Poplar,Cord around neck-antepar
127,Coppertone oil free,Unsocial aggression-mild
128,DIPYRIDAMOLE,Intes infec adenovirus
129,VENTOLIN,Intramural leiomyoma
130,ZOLPIDEM TARTRATE,Snow veh acc-anim rider
131,Neutrogena Nourishing Eye Quad,Precordial pain
132,DiorSkin Nude 020 Beige Praline,Cong absence of ear lobe
133,MediAc,Family dsrpt-death membr
134,AcetaZOLAMIDE,Crushing injury arm NOS
135,Defend Severe Cold and Flu,Cord compress NEC-deliv
136,Myo-Breathe,Accessory auricle
137,QUDEXY,Constrictiv pericarditis
138,Diltiazem Hydrochloride,Acc pois-oth anti-infect
139,Ibuprofen,Prst aura wo inf/ntr/st
140,Ropinirole Hydrochloride,Parapoxvirus infectn NOS
141,Cold and Flu,Myotonia congenita
142,Loperamide Hydrochloride,Adv eff oxazolidin deriv
143,Lidocaine Hydrochloride and Epinephrine,Mal neo fallopian tube
144,Topiramate,TB of bone NEC-unspec
145,VFEND,Esophagus injury-open
146,Mirtazapine,Rec unil fem hern w obst
147,Glumetza,Venous compl NOS-postpar
148,GAMMAGARD LIQUID,Inj posterior tib nerve
149,Tan Foundation SPF 15,Long-term anti-inflamtry
150,Perphenazine,Longitudinal defic tibia
151,Pacnex,Hyperemia of conjunctiva
152,Naturals,Rubella in preg-unspec
153,Tramadol hydrochloride and acetaminophen,Scorpion sting
154,Compro,Headache
155,OXYCODONE HYDROCHLORIDE,Poison-drug/medicin NOS
156,Pramipexole Dihydrochloride,Dementia w Lewy bodies
157,Childrens Mucinex Multi-Symptom Cold,Painful respiration
158,SHISEIDO SUNCARE ULTIMATE,T1-t6 fx-op/ant cord syn
159,Colistimethate,Intermit angl-clos glauc
160,LIQUIDAMBAR STYRACIFLUA POLLEN,Fracture patella-open
161,Restless Leg,Mv board/alight-pers NEC
162,Meclizine Hydrochloride,Chills (without fever)
163,Chlorhexidine Gluconate,Aftrcare path fx arm NOS
164,Nicotine,Mult endo neop type IIA
165,Ciprofloxacin,Surg comp - hypertension
166,Dr. Eslee Physical Sunscreen,Oth rd veh acc-st car
167,Klor-Con M,TB bone/jt NOS-exam unkn
168,Olanzapine,70-79% bdy brn/70-79% 3d
169,Heparin Sodium,Benign neo mouth floor
170,TRIESENCE,Traum arthropathy-up/arm
171,Happy Heart,"Hematocele, female NEC"
172,Lymph,Peritoneal disorder NEC
173,Degree,Ac allergic mucoid OM
174,Lithium,Primary CNS lymph head
175,Deb Med Antimicrobial Foaming Hand Wash Fragrance Free Dye Free,Dyskinesia of esophagus
176,Aspirin,Mal neo carotid body
177,Thermazene,Ftng autmtc dfibrillator
178,Pramipexole dihydrochloride,Benign neoplasm lip
179,Bactimicina for Sore Throat,Pain in limb
180,ampicillin,Inj port/splen vess NEC
181,Creations Garden,Amer flag/touch football
182,Naproxen,Polio osteopathy-mult
183,Dove,Bariatrc surg stat w p/p
184,ELIDEL,Vit A def w corneal scar
185,Valproic Acid,"Senile atrophy, choroid"
186,RUSSIAN THISTLE POLLEN,Attn to artif open NEC
187,Rivastigmine Tartrate,Fire-highly inflam mater
188,CVS Antiseptic Wash,Cyclosporiasis
189,Sore Nipples,Hemophthalmos
190,PASPALUM NOTATUM POLLEN,Adv eff cns stimulnt NEC
191,Face Saver Gel,Fat necrosis of breast
192,ARIXTRA,Uric acid nephrolithias
193,Body Raves Antibacterial Hand Sanitizer - Wild Strawberry,Injury-motor veh crash
194,Olay Blackhead Clearing Scrub,Fx shaft tibia-closed
195,METFORMIN HYDROCHLORIDE,Aircraft acc-parachutist
196,Fludarabine Phosphate,"Fx mult phalan, hand-opn"
197,topiramate,Joint dis NOS-l/leg
198,KIT FOR THE PREPARATION OF TC 99M PYROPHOSPHATE,Nonrheum tricusp val dis
199,Vicks Sinex,Eosinophilia
200,METHADONE HYDROCHLORIDE,Phlebotomus fever
201,TAZORAC,Artif rupt memb-antepart
202,VENTOLIN,Abdmnal mass generalized
203,Glyburide,Heart contusion-closed
204,Allopurinol,Gonococcal conjunctivit
205,Diazepam,Chr pulmon heart dis NOS
206,Cottonseed,Dis amino-acid metab NOS
207,Glytone Acne Facial Masque,Anemia in preg-unspec
208,ESIKA,Acc poison-mushrooms
209,Lansoprazole,Elev transaminase/ldh
210,INCHCO Brand SANI-DERM Antiseptic Hand Wash,60-69% bdy brn/50-59% 3d
211,Smart Sense Adult Tussin DM,Bacteremia of newborn
212,Ailanthus,Multi gestat NEC-unspec
213,BareMinerals Medium Dark matte,Mal neo lat floor mouth
214,MUCOSA DM,Open brain lac-deep coma
215,Alternaria alternata,Supervis normal 1st preg
216,good neighbor pharmacy ibuprofen pm,Syph dissem retinitis
217,Ketoconazole,Rec unil fem hern w obst
218,Stool Softener,Cord compres NEC-antepar
219,Fluconazole,Renal dysplasia
220,"Pollens - Trees, Tree Mix 11",Cl skull fx NEC-coma NOS
221,Cephalexin,Fx lower humerus NEC-cl
222,Hydrochlorothiazide,Hypertrophy of clitoris
223,Zofran,Dentofacial anomaly NEC
224,ACER SACCHARUM POLLEN,Malig neo skin lip NEC
225,Headache,Isolated explosive dis
226,Sprayology Party Relief,Breast abscess preg-unsp
227,Actos,Climact arthritis-ankle
228,NICORETTE,Cong def clot factor NEC
229,Torsemide,Subcorneal pust dermatos
230,Hydrocortisone and Acetic Acid,Reading disorder NEC
231,Perphenazine,Postpartum hem NEC-unsp
232,Amoxicillin and Clavulanate Potassium,Tabes dorsalis
233,ropinirole hydrochloride,Sensorneur hear loss NOS
234,Carvedilol,Med rhomboid glossitis
235,ATORVASTATIN CALCIUM,RR acc w derail-ped cycl
236,Neutrogena,Breast abscess preg-unsp
237,Hyperlyte,Arterial disease NEC
238,ELIXOPHYLLIN,Neonatal conjunctivitis
239,Vitalizer,H. influenzae infect NOS
240,CYBER WHITE,Malignant neo trachea
241,Darby,Sprain sacrotuberous
242,Naproxen Sodium,Vernal conjunctivitis
243,Naproxen,Renal sclerosis NOS
244,ACTIFIRM RECOVERY EMULSION,Radioulnar synostosis
245,VOGELXO,"Lymphangioma, any site"
246,Deferoxamine Mesylate,Coma
247,Liothyronine Sodium,Dacryocystitis NOS
248,Cyproheptadine Hydrochloride,Op skl base fx-deep coma
249,Bassia Pollen,Humoral immunity def NEC
250,Riomet,Group b streptoc carrier
251,NU-DERM SYSTEM NORMAL-OILY,Compl labor NEC-antepart
252,Total Protrector 15,Sat anal smr-no trnsfrm
253,Colcrys,Exceptionally large baby
254,Botrytis,Opn skl fx NEC/menin hem
255,"Air, Compressed",Pelvic organ inj NEC-cl
256,GENTLE REJUVENATION SYSTEM,Actinomycosis NOS
257,Levitra,Acromegaly and gigantism
258,Warfarin Sodium,Cereb degen in child NOS
259,flormar Soft Touch Foundation Sunscreen Broad Spectrum SPF 20 ST03 Natural Pink,Heat effect NOS
260,LUMENE PREMIUM BEAUTY REJUVENATING DAY,Pulmon TB NOS-oth test
261,No7 Beautifully Matte Foundation Sunscreen Broad Spectrum SPF 15 Cool Ivory,Transitory ileus of NB
262,Satin Pink,Noninfl dis ova/adnx NOS
263,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE, AND CODEINE PHOSPHATE",Scoliosis in oth dis
264,PLENDIL,Lichenification
265,ZEA MAYS POLLEN,Arterial embolism NEC
266,Sting Relief Pads,Fx malar/maxillary-close
267,XtraCare Skin Relief Oatmeal Daily Moisturizing,Opn skull/oth fx-concuss
268,Rapamune,Ac DVT/embl low ext NOS
269,Treatment Set TS351201,Chronic dacryoadenitis
270,ACTIVE RESURGENCE TONER,Prsnl hx recur pneumonia
271,Glycopyrrolate,TB epididymis-histo dx
272,Bupropion hydrochloride4b17de,Acute dacryocystitis
273,Insomulex,Ch emblsm veins NEC
274,LEADER RELIEF EYE,Earth moving machine acc
275,Poverty Weed,Crys arthrop NEC-forearm
276,Carvedilol,Encopresis
277,QUALITY CHOICE OMEPRAZOLE,Open brain lac-deep coma
278,DIGOX,Gc (acute) upper gu NOS
279,Methylprednisolone,Noninflam dis vagina NOS
280,O BlancTis,Voyeurism
281,Antispetic,Congen limb anomaly NOS
282,Lotensin HCT,Galactorrhea-nonobstet
283,Ambien CR,Cong pulmon valv atresia
284,Clean and Clear,Implantation cysts
285,Aspen,Mumps complication NEC
286,Paclitaxel,Infer disloc humerus-cl
287,METFORMIN HYDROCHLORIDE,Primary CNS lymph thorax
288,Gadavyt,Other appendicitis
289,Potassium Chloride,Hypersecretion glaucoma
290,Dexamethasone sodium phosphate,Mening in oth nonbac dis
291,Trandolapril and Verapamil Hydrochloride,Opn skul/oth fx-mod coma
292,ropinirole hydrochloride,Syndactyl toe-no fusion
293,Clonidine Hydrochloride,Prim TB pleurisy-unspec
294,"Pollens - Weeds and Garden Plants, Lamb Quarters Chenopodium album",3rd deg burn w loss-eye
295,Cyclobenzaprine Hydrochloride,Hered prog musc dystrphy
296,supernatural airbrushed canvas broad spectrum spf 15 sunscreen,Poison-oxazolidine deriv
297,Emtriva,Aircrft acc NEC-spcrft
298,Naturasil,Legal abort w shock-comp
299,Alcohol Prep Pad,Arthropathy NEC-hand
300,Lidocaine Hydrochloride,Priv dwel fire-accid NOS
301,Glyburide,Joint effusion-forearm
302,AMARANTHUS PALMERI POLLEN,Orthotic training
303,TOPIRAMATE,Hairy-cell leukem abdom
304,Diphenoxylate Hydrochloride and Atropine Sulfate,Absence of menstruation
305,Venlafaxine hydrochloride,Acute uri NOS
306,MedActive Patient Friendly,Prim TB pleuris-oth test
307,Bupropion Hydrochloride,Paresis of accommodation
308,mucus extended release,Gingival recess-moderate
309,Crest 3D White,Pneumonia oth strep
310,Nighttime Sinus,Burn NOS eye
311,Thiothixene,Syphilitic pericarditis
312,Coconut,Opn skl vlt fx-proln com
313,Sulfamethoxazole and Trimethoprim,TB bronchiectasis-unspec
314,Fluconazole,Chr nephritis in oth dis
315,oxygen,Inf mcr rst oth ag nt ml
316,Rabeprazole Sodium,Open skull base fracture
317,MINOXIDIL,Meconium asp w resp symp
318,LEVOXYL,Malig neopl kidney
319,HADDOCK,Adv eff salicylates
320,Ketorolac Tromethamine,Oth/uns inf-cen ven cath
321,Suave,Hodgkins granulom thorax
322,NHS Insomnia 2,Status amput up lmb NOS
323,Blue Gel,DMII hprsm nt st uncntrl
324,Ropinirole Hydrochloride,Mumps complication NEC
325,CVS,Adv eff salicylates
326,Fanapt,Otorrhea NOS
327,Sunmark Nasal Spray,Hx-uterus malignancy NEC
328,METHADONE HYDROCHLORIDE,Instrmnt fail-perfus NEC
329,Terazosin,Undet pois-med agnt NOS
330,pain relief pm,Abn pelv org NEC-postpar
331,MUS MUSCULUS SKIN,Vis path dis w neoplasms
332,care one pain relief,Acute iridocyclitis NOS
333,Coral,Resp obstr-inhal obj NEC
334,REPAGLINIDE,Ocl spcf art w infrct
335,Midazolam,Adv eff cephalosporin
336,Ciprofloxacin,Hodgkins paragran spleen
337,German Cockroach,Peritoneal disorder NEC
338,Amcinonide,Ob perin traum NEC-unsp
339,Prochlorperazine Edisylate,Postconcussion syndrome
340,Quality Choice Muscle and Joint,Acoustic trauma
341,ONDANSETRON,Cholesteatoma NOS
342,Adidas,Conjunctiva pigmentation
343,Ferrum sidereum 20,Locked twins-unspecified
344,Mark 3,Papilledema w decr press
345,Ropinirole Hydrochloride,Open wound penis-compl
346,Isopropyl Alcohol,Bone disorder-postpartum
347,Spartan Antiseptic Hand Cleaner,Family hx-gi malignancy
348,PERTZYE,Hx-epididymis malignancy
349,Antibacterial Hand Soap,Nonwork side interfrnce
350,Anti-Bacterial Deep Cleansing Hand,Jt contracture-mult jts
351,Wheat Smut,Plantar nerve lesion
352,XANTHIUM STRUMARIUM VAR CANADENSE POLLEN,Autonomic dysreflexia
353,Ciclopirox,Lt-date w/mal 750-999g
354,Terazosin Hydrochloride,Ankylosis-upper/arm
355,Anti-Bacterial Hand Spray,Thrush
356,Panrosa Instant Antiseptic Hand Sanitizer With Moisturizers,Great vein anomaly NOS
357,Morphine sulfate,Malig neopl pleura NOS
358,Piperacillin and Tazobactam,Poison-capillary act agt
359,Leader Ibuprofen,Basketball
360,Ipratropium Bromide,Cerebell lacer-deep coma
361,Thicker Fuller Hair - Dandruff Sulfate Free,Toxic effect mushrooms
362,Equaline nighttime cold,Rotator cuff dis NEC
363,CD DIORSKIN STAR Studio Makeup Spectacular Brightening with sunscreen Broad Spectrum SPF30 030,Traff acc NOS-mcycl psgr
364,Loratadine and Pseudoephedrine Sulfate,Batter by non-relative
365,Coconut Lime Anti-Bacterial Hand Sanitizer,Late eff cert ext cause
366,Fluphenazine Hydrochloride,Pois-uric acid metabol
367,CareOne Childrens Pain and Fever,Illeg ab w hemorr-comp
368,ibuprofen,"Individ sports,athletics"
369,Exforge,Lymphoid mal NEC abdom
370,LEVOXYL,Contusion face/scalp/nck
371,Montelukast Sodium,N-traf brd/alight-mocycl
372,verapamil hydrochloride,Acc poisn-metabol agnt
373,pre fense,Reentrant coll-pers NOS
374,AUREOBASIDIUM PULLULANS VAR PULLULANS,Overflow incontinence
375,AcneFree Severe Antibacterial Cleansing Wash,Argyll robertson pupil
376,Orajel,Lack of adequate sleep
377,Dental Plak,Prev matern surg aff NB
378,CICLOPIROX,Oval window fistula
379,Diazepam,Other lung disease NEC
380,Zoledronic acid,Incor dilut infusn fluid
381,C Mold Mixture,Mech prob w internal org
382,Pain Relief Cold,Other postop infection
383,Lithium Carbonate,Hallucinogen dep-contin
384,FLUZONE QUADRIVALENT,Open wound of finger
385,ReCreate Foundation,Intest helminthiasis NOS
386,Johnson Grass,Fx trimalleolar-open
387,Norgestimate and Ethinyl Estradiol,Rupture patellar tendon
388,Warfarin Sodium,Monoart juv rheum arthr
389,Doxazosin mesylate,Filariasis NOS
390,Atenolol,"Pressure ulcer,unstagebl"
391,Povidone-Iodine,Loose body-up/arm
392,Instant Hand Sanitizer,Myotonic chondrodystrphy
393,EXALGO,Joint effusion-forearm
394,Silace,Lower extremity embolism
395,Trazodone Hydrochloride,Fx anat neck humerus-opn
396,Hypothalmus Tincture,Problems with learning
397,Castor Oil,"AMI NEC, subsequent"
398,Jafra Brightening,Bladder exstrophy
399,Tartar control plus,Chr mono leuk w rmsion
400,"Orchard Grass, Standardized",Poisoning-sulfonamides
401,Fosphenytoin Sodium,Old hyperten-deliv w p/p
402,NEUTRACETT,Infect dis NEC-postpart
403,Mountain Cedar,Helminthiasis NEC
404,Irbesartan,Abn electroencephalogram
405,JUNIPERUS VIRGINIANA POLLEN,Ab NOS uncomplicat-inc
406,CACAO BEAN,Cl skull fx NEC w/o coma
407,Western Wheatgrass,Reentrant coll-pedest
408,Amitriptyline Hydrochloride,Maxillary hyperplasia
409,lisinopril,Laboratory exam NEC
410,Nail Active Daytime Anti-fungal,Toxic encephalopathy
411,Protriptyline Hydrochloride,Oth VD chlm trch ans rct
412,TYLENOL,Secondary malig neo bone
413,Lovastatin,Histoplasma duboisii NOS
414,Phentermine Hydrochloride,Chronic cystitis NEC
415,Oxaprozin,Hodgkins sarcoma pelvic
416,Speed Stick,Tk off/land-crew aircrft
417,ADVENTURE MEDICAL KITS 1-2 PERSON NATIONAL SKI PATROL FIRST AID,Screen mal neop-skin
418,Niaspan,Inj pelv org NEC-postpar
419,LBEL,Stenosis ear d/t surgery
420,Direct Effect E-2,Polio osteopathy NEC
421,CIPROFLOXACIN,Desquamatv interst pneu
422,Spironolactone and Hydrochlorothiazide,Circuit training
423,Sleep Aid,Venous compl NEC-deliver
424,Lidocaine Hydrochloride,Abrasion hip & leg
425,Ulta Mandarin Mint Anti-Bacterial Hand Sanitizer,Incontnce wo sensr aware
426,Cold Rub,Mal carcinoid desc colon
427,LIDOCAINE HYDROCHLORIDE,Threat labor NEC-antepar
428,REFRESH TEARS,Trauma compart synd abd
429,CARTEOLOL HYDROCHLORIDE,Adv eff coronary vasodil
430,Pecan Nut,Infect nipple preg-unsp
431,ACTIFIRM RECOVERY EYE,Pois-propionic acid derv
432,BERKELEY AND JENSEN,Sec neuroendo tu-periton
433,Simvastatin,Tubrclma mening-micro dx
434,lamotrigine,Fall from train-ped cycl
435,SHISEIDO RADIANT LIFTING FOUNDATION,Deep 3 deg burn arm NOS
436,Dizziness - Vertigo,Anom corneal size/shape
437,LIDODERM,Pois-gen anesth NEC/NOS
438,Lemon Verbena Hand Sanitizer,Mitral valve dis NEC/NOS
439,Acid Reducer,Mineral deficiency NEC
440,Ribavirin,Subcorneal pust dermatos
441,METHADONE HYDROCHLORIDE,Prolapse of ovary & tube
442,Microban 80,Encntr vocational thrpy
443,Boil Ease,Ocl mlt bi art w infrct
444,Gelato APF,Sec malig neo nerve NEC
445,OXYGEN,Drug depend NEC-unspec
446,Multi-Symptom Cold Relief,Hodg lymph-histio mult
447,Celadrin,2 deg burn fingr w thumb
448,Omeprazole,Disorders of uterus NEC
449,Finasteride,Vitamin D deficiency NOS
450,Naproxen,Ac atopic conjunctivitis
451,sunmark nasal,Crbl thrmbs w infrct
452,Antispetic,Chronic dacryocystitis
453,Antibacterial Foaming Hand Cleanser,Pap smear (ASC-H)
454,Cold and Hot,Trans ischemic deafness
455,Flurox,Aortic atresia/stenosis
456,Bipolaris sorokiniana,Eye anomaly NOS
457,Sodium Fluoride F 18,Chldhd onset flncy disor
458,TETRA-ABC,Postvaricella encephalit
459,Mugwort Sage Pollen,Ob trauma NEC-antepartum
460,Cardinal Health Sanitizer,Non-abo incomp react NOS
461,Nabumetone,Poison-lipotropic drugs
462,Lovastatin,Upper extremity embolism
463,Gelato APF,Fx forearm NOS-open
464,Carvedilol,Lifting machine accident
465,Ciprofloxacin,Gonococcal spondylitis
466,Polarity Plus,Issue of med certif NEC
467,Hemorrhoidal Cooling Gel,Emancipation disorder
468,Colgate,Contact/exp algae bloom
469,Nasel congestion,Illeg ab w embolism-comp
470,Childrens Cold and Allergy,Compl labor NOS-antepart
471,TRAMADOL HYDROCHLORIDE,Exposure to vibration
472,Neutrogena SkiniD Anti Acne Treatment,Artic cartil dis-forearm
473,CALENDULA DIAPER RASH CREAM,Mycobacterial dis NOS
474,Danazol,Congen fusion of spine
475,Dr. Fresh Brush and Cover,Mult gest 2+ monochr NEC
476,Carbon Dioxide-Air Mixture,Pois-coronary vasodilat
477,Drosera Homaccord,Ob inj pelv org NEC-unsp
478,Haloperidol,Exostosis of jaw
479,Tussin DM,Scarlet fever
480,Simvastatin,Dematiacious fungi inf
481,Torsemide,Liveborn NOS-before adm
482,Tyn Mans,Fall-occ unpower aircraf
483,Ciprofloxacin,Senile delirium
484,Flecainide Acetate,Post subcap senile catar
485,Clean Force,Transfsn rel ac lung inj
486,Severe Sinus Congestion and Pain Daytime,Anphylct react food addv
487,Actoplus Met,Acc poison-sedatives NEC
488,SORIATANE,Cubitus valgus
489,DayTime NightTime Sinus Relief,Adrenal gland injury-opn
490,Nicotine,Orthopedic aftercare NEC
491,Allergy Relief,Saddle embolus abd aorta
492,Cephalexin,Implantation cysts
493,Carvedilol,Histoplasmosis pericard
494,Serostim,Schizophrenia NEC-unspec
495,Amitriptyline Hydrochloride,Interpersonal probl NEC
496,Acid Controller,Rectal & anal stenosis
497,Methazolamide,Ulceroglandul tularemia
498,Total Copper,RR coll NOS-pedestrian
499,Sure Invisible Solid Regular,Traum arthropathy-up/arm
500,ORCHID SECRET PACT,Tonic pupillary reaction
501,Synthroid,Emotional dis child NEC
502,Carisoprodol,Attn rem surg dressing
503,Ergocalciferol,Acq absnce genital organ
504,Nesacaine,Inj popliteal vessel NOS
505,SBS UltraGreen,Oth col-stnd-obj-per NOS
506,Head and Shoulders 2in1,Abo incompat react NOS
507,Isosorbide Dinitrate,Lung injury NOS-closed
508,Betamethasone Dipropionate,Smell and taste problem
509,COLLAGEN HD MAKE UP BASE,Undetermin circ-shotgun
510,Ethambutol Hydrochloride,Ac laryngotrach no obstr
511,CYCLOSPORINE,Lack post occlsl support
512,Cold-EEZE,Clavicle fx at birth
513,Dexamethasone,Mening in oth fungal dis
514,No7 Lift and Luminate Foundation Sunscreen Broad Spectrum SPF 15 Wheat,Traum arthropathy-ankle
515,Nicotrol,Pelvic varices
516,Bupropion Hydrochloride,Double pterygium
517,Intervene Radiance Boosting Moisture SPF 15,TB of bronchus-unspec
518,Intelence,2nd degree sunburn
519,Rabbit Epithelium,Visual field defect NOS
520,Alprazolam,Op subarach hem-deep com
521,Mushroom,Acc poisoning-lead
522,ketamine hydrochloride,Parasitic endophthal NOS
523,Clear,Endocarditis in oth dis
524,Diclofenac Sodium,Chronic meningitis
525,TERRACOTTA BRONZING MIST WITH SUNSCREEN SPF 10 02 MEDIUM,Obstetric shock-antepar
526,Tri-Buffered Aspirin,Cannabis abuse-unspec
527,Myfortic,Medical misadventure NEC
528,Metamucil,Surg complication - cns
529,Pork,Recur dislocat-forearm
530,Sleep Aid,Unilat ing hernia w obst
531,ProState Relief,Impairm auditory discrim
532,Blemish Toner,Partial tear rotatr cuff
533,Metoprolol Tartrate and Hydrochlorothiazide,Psychogen cardiovasc dis
534,Venlafaxine Hydrochloride,Superf inj shldr NEC-inf
535,Venlafaxine Hydrochloride,Burn NOS trunk NEC
536,Banana Boat UltraMist Kids Tear Free Lotion SPF 50,3 deg brn w loss-leg NOS
537,Carbocaine,Trigeminal neuralgia
538,Walgreens SunscreenSPF 70,Int inf e coli spcf NEC
539,Triamterene and Hydrochlorothiazide,Radioact isotope exposur
