attendance_record_id ,employee_id ,attendance_date ,clock_in_time ,total_hours_labor(clock_out_time - clock_in_time)
74,74,9/25/2023,4:20 AM,11.8
75,75,7/30/2023,1:16 PM,87.6
76,76,7/6/2023,2:23 PM,6.2
77,77,2/5/2023,3:35 PM,16.7
78,78,3/18/2023,1:47 PM,81.2
79,79,5/20/2023,7:50 AM,10.4
80,80,4/9/2023,8:46 PM,67.5
81,81,8/21/2023,2:39 AM,67.5
82,82,1/12/2023,5:46 PM,84.3
83,83,5/27/2023,9:24 PM,2.4
84,84,3/27/2023,1:45 PM,11.2
85,85,12/24/2022,11:20 AM,38.6
86,86,1/31/2023,11:50 AM,84.4
87,87,11/19/2023,5:46 PM,75.4
88,88,10/5/2023,7:00 PM,50.3
89,89,7/25/2023,1:43 PM,6.3
90,90,2/8/2023,3:07 PM,14.4
91,91,2/13/2023,10:21 PM,95.5
92,92,8/13/2023,6:04 PM,42.6
93,93,2/24/2023,10:22 AM,23.0
94,94,8/19/2023,4:14 AM,1.1
95,95,2/6/2023,9:41 PM,61.2
96,96,12/22/2022,3:19 PM,87.7
97,97,6/26/2023,3:15 AM,80.8
98,98,2/4/2023,10:50 PM,41.5
99,99,1/7/2023,1:51 PM,54.7
100,100,1/29/2023,9:03 AM,57.4
101,101,1/1/2023,2:17 AM,59.4
102,102,5/30/2023,1:51 PM,3.3
103,103,4/17/2023,4:37 PM,54.0
104,104,1/29/2023,6:35 PM,37.7
105,105,5/3/2023,9:47 PM,57.5
106,106,11/21/2023,9:26 AM,52.1
107,107,5/16/2023,6:10 PM,97.2
108,108,9/10/2023,7:54 AM,20.1
109,109,1/19/2023,5:17 PM,10.5
110,110,12/8/2022,6:28 PM,44.6
111,111,4/29/2023,10:46 PM,63.6
112,112,6/9/2023,10:19 PM,87.1
113,113,6/17/2023,1:35 AM,93.3
114,114,4/12/2023,6:52 PM,15.8
115,115,10/20/2023,11:48 AM,92.5
116,116,11/15/2023,7:45 PM,99.6
117,117,7/16/2023,12:33 AM,8.1
118,118,9/19/2023,10:45 PM,94.9
119,119,8/8/2023,11:43 PM,28.5
120,120,1/3/2023,5:39 PM,94.8
121,121,9/23/2023,5:35 PM,34.3
122,122,6/28/2023,5:40 AM,7.3
123,123,9/14/2023,11:55 PM,92.3
124,124,1/9/2023,4:10 PM,35.8
125,125,5/12/2023,5:01 PM,77.5
126,126,12/27/2022,10:41 AM,47.4
127,127,9/29/2023,9:47 PM,65.8
128,128,12/19/2022,2:09 PM,18.7
129,129,8/2/2023,6:54 AM,29.5
130,130,3/22/2023,6:18 AM,12.3
131,131,11/7/2023,2:29 PM,79.2
132,132,10/17/2023,6:31 PM,56.7
133,133,1/19/2023,1:56 PM,23.4
134,134,8/20/2023,4:01 PM,91.9
135,135,11/11/2023,11:06 PM,38.5
136,136,3/26/2023,1:12 AM,14.9
137,137,3/6/2023,10:50 AM,17.3
138,138,12/12/2022,12:38 PM,72.6
139,139,3/15/2023,10:13 AM,40.7
140,140,2/3/2023,3:46 AM,36.3
141,141,12/30/2022,8:02 AM,23.3
142,142,5/2/2023,11:20 AM,2.1
143,143,5/16/2023,6:57 AM,76.8
144,144,12/7/2022,2:54 PM,2.5
145,145,3/23/2023,7:53 AM,3.7
146,146,3/19/2023,1:10 AM,2.5
147,147,1/17/2023,7:22 AM,45.8
148,148,8/3/2023,12:07 PM,28.9
149,149,4/13/2023,4:27 AM,79.4
150,150,4/6/2023,7:34 PM,78.6
151,151,7/3/2023,12:05 PM,63.9
152,152,6/4/2023,2:12 PM,91.4
153,153,5/17/2023,7:22 AM,2.2
154,154,12/28/2022,4:24 PM,40.7
155,155,10/18/2023,8:30 AM,10.9
156,156,2/27/2023,9:39 PM,44.8
157,157,9/22/2023,7:46 AM,26.4
158,158,3/22/2023,8:04 PM,15.5
159,159,3/4/2023,11:55 AM,14.1
160,160,7/20/2023,3:40 AM,48.6
161,161,1/6/2023,2:54 AM,62.9
162,162,8/8/2023,4:49 PM,46.7
163,163,4/30/2023,10:40 AM,77.9
164,164,6/26/2023,8:34 AM,54.1
165,165,1/3/2023,8:52 AM,14.0
166,166,12/12/2022,2:46 PM,24.7
167,167,5/18/2023,10:21 PM,15.2
168,168,9/15/2023,10:47 AM,64.0
169,169,3/12/2023,3:49 PM,10.4
170,170,6/30/2023,10:52 PM,83.2
171,171,4/10/2023,3:47 AM,28.3
172,172,3/9/2023,11:39 AM,98.4
173,173,8/27/2023,2:02 AM,97.8
174,174,5/13/2023,2:56 AM,33.0
175,175,6/28/2023,5:48 PM,93.3
176,176,7/25/2023,5:32 AM,36.7
177,177,10/17/2023,8:52 AM,7.2
178,178,11/22/2023,12:07 PM,88.5
179,179,8/15/2023,2:45 PM,79.9
180,180,12/10/2022,11:38 AM,59.4
181,181,12/6/2022,6:58 AM,67.4
182,182,7/13/2023,7:12 AM,31.4
183,183,5/12/2023,5:19 PM,72.7
184,184,7/22/2023,3:25 PM,2.8
185,185,12/13/2022,10:40 PM,12.8
186,186,5/24/2023,9:12 AM,27.8
187,187,2/20/2023,5:18 PM,21.2
188,188,3/15/2023,4:32 AM,40.5
189,189,7/12/2023,5:55 PM,71.4
190,190,1/28/2023,8:36 PM,21.7
191,191,7/13/2023,3:59 PM,39.3
192,192,9/9/2023,7:40 PM,12.2
193,193,6/15/2023,11:35 PM,78.0
194,194,6/20/2023,5:53 AM,92.4
195,195,10/27/2023,11:19 AM,29.0
196,196,10/2/2023,8:27 AM,54.4
197,197,2/6/2023,1:12 AM,15.2
198,198,11/4/2023,11:42 PM,4.4
199,199,2/8/2023,7:37 PM,26.2
200,200,6/28/2023,12:57 PM,79.3
201,201,5/4/2023,1:40 PM,31.7
202,202,2/23/2023,7:31 AM,10.8
203,203,3/16/2023,6:35 AM,30.5
204,204,8/31/2023,9:41 AM,91.6
205,205,2/16/2023,12:56 AM,55.0
206,206,5/3/2023,5:20 PM,33.5
207,207,1/17/2023,6:12 AM,45.4
208,208,12/16/2022,4:02 PM,26.7
209,209,9/6/2023,8:08 AM,42.2
210,210,3/10/2023,2:18 PM,19.2
211,211,11/26/2022,1:03 AM,61.9
212,212,9/16/2023,6:42 AM,67.9
213,213,2/26/2023,5:53 PM,91.4
214,214,3/12/2023,8:19 PM,23.3
215,215,1/14/2023,9:31 PM,73.7
216,216,11/14/2023,1:33 AM,47.2
217,217,3/26/2023,11:22 AM,77.1
218,218,11/6/2023,6:12 PM,89.5
219,219,10/24/2023,9:51 PM,76.9
220,220,1/8/2023,1:32 AM,77.1
221,221,1/25/2023,8:22 PM,28.3
222,222,1/23/2023,6:32 PM,11.3
223,223,11/2/2023,6:10 AM,72.7
224,224,10/29/2023,1:48 AM,59.0
225,225,8/7/2023,2:05 AM,75.2
226,226,7/18/2023,9:37 AM,26.1
227,227,11/1/2023,5:40 PM,83.7
228,228,3/30/2023,7:54 PM,75.5
229,229,4/1/2023,8:34 PM,52.5
230,230,2/20/2023,7:20 AM,97.4
231,231,1/27/2023,3:36 AM,88.9
232,232,2/5/2023,4:09 AM,60.0
233,233,3/6/2023,11:38 AM,19.9
234,234,7/30/2023,7:00 AM,1.7
235,235,8/11/2023,11:20 PM,71.9
236,236,3/27/2023,11:25 AM,32.2
237,237,6/26/2023,4:41 PM,56.7
238,238,3/29/2023,1:30 AM,27.4
239,239,12/7/2022,6:36 PM,69.8
240,240,10/15/2023,12:44 AM,5.4
241,241,11/23/2023,12:59 PM,58.7
242,242,8/4/2023,11:56 AM,2.7
243,243,4/27/2023,12:35 AM,28.1
244,244,11/8/2023,5:51 AM,33.0
245,245,4/30/2023,9:53 PM,41.9
246,246,1/29/2023,4:29 AM,72.3
247,247,7/18/2023,11:33 PM,24.3
248,248,6/6/2023,10:22 PM,59.6
249,249,11/26/2022,12:12 AM,85.3
250,250,5/16/2023,4:25 PM,84.5
251,251,12/7/2022,6:54 PM,13.7
252,252,1/28/2023,11:58 AM,35.0
253,253,7/20/2023,8:09 PM,9.6
254,254,6/25/2023,3:48 AM,94.5
255,255,8/13/2023,2:23 AM,35.6
256,256,9/1/2023,10:38 PM,58.7
257,257,1/28/2023,5:17 PM,11.1
258,258,8/14/2023,4:39 PM,87.0
259,259,3/17/2023,4:38 PM,86.5
260,260,5/27/2023,1:44 AM,57.3
261,261,8/11/2023,5:56 AM,13.5
262,262,6/30/2023,11:56 AM,72.0
263,263,6/14/2023,8:53 AM,71.9
264,264,2/2/2023,1:16 PM,65.7
265,265,7/8/2023,3:27 AM,66.2
266,266,11/30/2022,2:23 AM,94.5
267,267,12/7/2022,9:36 PM,43.6
268,268,6/11/2023,7:47 AM,96.2
269,269,1/1/2023,10:52 AM,17.9
270,270,12/22/2022,6:58 AM,97.2
271,271,8/31/2023,6:17 AM,2.6
272,272,10/28/2023,4:41 AM,24.8
273,273,1/31/2023,9:27 PM,99.2
274,274,9/3/2023,4:27 AM,54.0
275,275,7/10/2023,10:39 AM,11.8
276,276,4/13/2023,5:34 AM,22.6
277,277,4/22/2023,8:32 AM,35.9
278,278,11/18/2023,12:41 PM,55.4
279,279,12/30/2022,3:27 AM,15.6
280,280,11/4/2023,6:16 PM,98.2
281,281,12/21/2022,5:15 PM,93.5
282,282,6/27/2023,11:08 PM,41.2
283,283,8/29/2023,10:29 PM,42.5
284,284,8/28/2023,2:25 PM,79.4
285,285,11/16/2023,2:32 PM,91.4
286,286,6/29/2023,3:41 AM,96.0
287,287,1/6/2023,3:07 AM,96.2
288,288,5/5/2023,5:17 PM,23.2
289,289,4/3/2023,4:44 AM,64.2
290,290,3/9/2023,4:32 AM,15.1
291,291,9/30/2023,5:25 PM,34.5
292,292,12/3/2022,7:37 AM,35.6
293,293,8/12/2023,6:51 AM,10.9
294,294,1/4/2023,2:37 AM,81.0
295,295,9/1/2023,2:36 PM,72.3
296,296,5/17/2023,9:01 AM,62.1
297,297,5/29/2023,3:53 AM,73.9
298,298,9/19/2023,6:19 PM,14.7
299,299,9/17/2023,8:05 AM,7.7
300,300,9/20/2023,1:37 PM,94.2
301,301,5/27/2023,4:09 PM,54.9
302,302,8/11/2023,5:52 AM,62.4
303,303,5/4/2023,10:50 PM,83.4
304,304,6/7/2023,11:06 PM,56.3
305,305,11/27/2022,4:29 PM,69.4
306,306,3/22/2023,4:31 PM,92.1
307,307,10/13/2023,9:16 AM,27.1
308,308,11/8/2023,9:43 AM,5.2
309,309,1/13/2023,3:11 AM,88.2
310,310,8/5/2023,11:09 AM,97.4
311,311,1/6/2023,9:01 PM,77.3
312,312,3/8/2023,7:11 AM,99.8
313,313,12/4/2022,10:07 PM,63.8
314,314,5/15/2023,10:58 AM,94.3
315,315,8/19/2023,5:08 AM,6.9
316,316,4/1/2023,11:21 PM,51.0
317,317,10/30/2023,11:00 PM,78.2
318,318,1/7/2023,6:19 AM,73.6
319,319,8/9/2023,2:58 PM,73.1
320,320,8/25/2023,5:44 AM,93.6
321,321,9/6/2023,3:54 PM,10.7
322,322,9/5/2023,6:16 AM,55.3
323,323,2/20/2023,11:04 AM,23.6
324,324,3/15/2023,7:20 AM,31.3
325,325,4/3/2023,2:58 PM,83.3
326,326,11/9/2023,12:00 PM,5.1
327,327,3/11/2023,12:45 PM,48.0
328,328,4/14/2023,7:23 PM,66.2
329,329,1/2/2023,8:16 AM,78.8
330,330,11/26/2022,3:39 AM,19.2
331,331,6/9/2023,11:17 AM,14.8
332,332,7/21/2023,11:49 PM,56.3
333,333,9/28/2023,12:11 AM,40.7
334,334,4/16/2023,10:32 PM,99.1
335,335,9/5/2023,5:44 PM,89.3
336,336,5/15/2023,12:17 AM,15.0
337,337,11/4/2023,4:07 AM,75.6
338,338,1/25/2023,6:24 PM,8.7
339,339,11/30/2022,7:07 PM,95.1
340,340,8/25/2023,3:59 PM,6.9
341,341,7/30/2023,2:56 AM,49.7
342,342,1/31/2023,6:18 AM,45.9
343,343,12/19/2022,6:06 PM,26.8
344,344,2/3/2023,2:27 AM,29.8
345,345,7/10/2023,10:07 AM,72.9
346,346,5/31/2023,2:07 PM,78.2
347,347,10/1/2023,1:16 AM,23.4
348,348,8/18/2023,2:06 AM,84.6
349,349,12/27/2022,1:50 PM,75.0
350,350,12/9/2022,7:24 PM,1.1
351,351,12/14/2022,8:04 PM,48.4
352,352,10/17/2023,11:48 PM,22.6
353,353,10/21/2023,7:11 PM,7.0
354,354,2/28/2023,5:54 AM,31.1
355,355,8/10/2023,10:28 PM,79.9
356,356,8/30/2023,11:45 PM,6.9
357,357,9/18/2023,9:31 AM,28.0
358,358,7/26/2023,1:17 PM,17.1
359,359,12/22/2022,7:19 AM,90.3
360,360,7/23/2023,2:23 PM,91.8
361,361,6/27/2023,1:43 AM,10.0
362,362,4/22/2023,12:46 PM,18.1
363,363,4/6/2023,6:13 PM,22.3
364,364,6/9/2023,3:01 AM,87.5
365,365,1/11/2023,8:27 PM,36.3
366,366,10/22/2023,9:30 PM,78.0
367,367,9/28/2023,8:54 AM,54.2
368,368,8/28/2023,4:45 AM,27.7
369,369,1/9/2023,10:29 PM,36.7
370,370,7/23/2023,7:15 AM,17.2
371,371,3/4/2023,11:52 PM,43.9
372,372,1/29/2023,8:00 PM,79.6
373,373,6/8/2023,5:41 PM,52.7
374,374,6/29/2023,2:38 AM,80.2
375,375,11/30/2022,5:19 PM,86.5
376,376,1/21/2023,9:25 PM,67.2
377,377,10/15/2023,7:56 AM,18.3
378,378,12/11/2022,4:52 AM,76.2
379,379,3/16/2023,9:57 PM,80.2
380,380,4/9/2023,1:39 AM,35.7
381,381,4/20/2023,3:33 AM,14.8
382,382,11/4/2023,12:20 PM,37.1
383,383,7/6/2023,8:25 AM,15.4
384,384,4/10/2023,4:37 PM,20.8
385,385,8/30/2023,11:53 PM,69.9
386,386,6/24/2023,2:19 AM,60.0
387,387,11/5/2023,12:48 PM,3.6
388,388,4/20/2023,10:26 PM,19.5
389,389,12/8/2022,4:16 PM,63.0
390,390,9/30/2023,2:14 AM,7.9
391,391,3/10/2023,11:38 AM,59.9
392,392,10/13/2023,8:37 PM,89.9
393,393,1/5/2023,4:18 AM,51.1
394,394,8/20/2023,8:42 PM,96.2
395,395,5/10/2023,4:17 AM,97.6
396,396,3/13/2023,3:55 AM,42.4
397,397,6/2/2023,12:51 PM,93.2
398,398,11/8/2023,2:39 PM,78.5
399,399,8/10/2023,11:27 PM,36.3
400,400,3/17/2023,11:36 PM,50.1
401,401,10/9/2023,11:19 PM,34.9
402,402,10/4/2023,4:30 PM,55.7
403,403,4/24/2023,10:37 PM,70.7
404,404,11/11/2023,9:44 AM,11.8
405,405,12/18/2022,5:21 PM,83.3
406,406,6/21/2023,7:33 AM,33.4
407,407,3/13/2023,3:28 AM,48.3
408,408,4/14/2023,12:58 AM,59.9
409,409,2/13/2023,1:45 AM,43.1
410,410,11/5/2023,12:00 AM,1.3
411,411,11/7/2023,5:25 AM,34.6
412,412,5/5/2023,9:32 PM,45.7
413,413,8/1/2023,12:08 PM,77.6
414,414,2/9/2023,5:15 AM,97.7
415,415,7/12/2023,8:31 AM,71.5
416,416,10/27/2023,4:52 AM,59.6
417,417,9/25/2023,2:27 PM,70.4
418,418,7/13/2023,1:22 PM,29.1
419,419,11/12/2023,9:08 AM,38.4
420,420,6/17/2023,2:53 PM,15.5
421,421,12/1/2022,7:44 PM,59.8
422,422,5/7/2023,11:06 AM,27.3
423,423,5/25/2023,10:17 AM,28.6
424,424,5/4/2023,2:52 PM,31.3
425,425,9/2/2023,1:02 PM,3.9
426,426,8/29/2023,5:49 AM,52.2
427,427,6/8/2023,3:57 PM,15.1
428,428,6/4/2023,9:23 AM,97.0
429,429,6/2/2023,4:30 AM,93.5
430,430,10/25/2023,6:54 PM,4.8
431,431,6/10/2023,6:05 PM,34.8
432,432,11/4/2023,12:53 PM,94.4
433,433,2/17/2023,7:29 AM,77.8
434,434,8/14/2023,12:50 AM,12.2
435,435,3/8/2023,6:44 PM,9.9
436,436,6/9/2023,12:17 PM,60.6
437,437,9/4/2023,6:55 PM,89.1
438,438,10/15/2023,3:01 AM,10.5
439,439,1/13/2023,12:11 AM,67.1
440,440,10/11/2023,12:02 AM,90.1
441,441,5/6/2023,12:28 PM,42.9
442,442,1/10/2023,6:36 PM,93.4
443,443,10/3/2023,7:21 AM,47.9
444,444,9/7/2023,4:20 PM,17.4
445,445,11/25/2023,8:33 AM,41.9
446,446,4/18/2023,2:07 AM,9.3
447,447,10/9/2023,7:56 AM,61.3
448,448,5/21/2023,12:45 AM,70.7
449,449,10/4/2023,10:00 AM,14.5
450,450,10/27/2023,1:33 AM,11.8
451,451,4/5/2023,6:26 PM,82.6
452,452,5/28/2023,3:02 PM,74.4
453,453,3/14/2023,1:28 AM,51.6
454,454,10/21/2023,9:02 PM,63.0
455,455,5/31/2023,8:10 PM,51.0
456,456,2/25/2023,2:14 AM,81.5
457,457,1/3/2023,2:13 AM,15.6
458,458,1/31/2023,3:24 PM,82.7
459,459,8/23/2023,12:38 AM,69.8
460,460,3/30/2023,4:48 AM,89.7
461,461,4/10/2023,5:24 AM,72.2
462,462,3/21/2023,5:48 PM,85.9
463,463,4/20/2023,12:04 AM,63.9
464,464,9/19/2023,12:35 AM,83.6
465,465,10/14/2023,6:25 PM,9.4
466,466,12/24/2022,1:56 AM,83.0
467,467,11/27/2022,12:43 PM,55.5
468,468,9/21/2023,9:27 AM,92.7
469,469,4/8/2023,12:17 AM,54.6
470,470,6/18/2023,5:34 AM,97.8
471,471,11/19/2023,9:00 AM,62.6
472,472,9/20/2023,4:34 PM,40.7
473,473,5/10/2023,8:24 PM,64.2
474,474,5/21/2023,9:01 AM,96.2
475,475,12/21/2022,8:19 AM,24.0
476,476,8/26/2023,7:31 PM,1.6
477,477,12/31/2022,7:36 PM,58.1
478,478,3/7/2023,4:30 AM,12.4
479,479,6/12/2023,2:25 PM,25.7
480,480,5/8/2023,12:37 AM,24.5
481,481,3/11/2023,5:25 AM,98.4
482,482,9/14/2023,8:45 AM,11.5
483,483,2/5/2023,8:44 PM,55.3
484,484,5/3/2023,5:42 PM,88.4
485,485,1/24/2023,9:59 AM,7.1
486,486,7/12/2023,6:42 AM,5.5
487,487,12/27/2022,9:54 AM,58.5
488,488,5/14/2023,1:12 PM,67.1
489,489,1/30/2023,9:15 AM,63.3
490,490,8/3/2023,2:20 AM,6.0
491,491,8/6/2023,1:47 PM,51.7
492,492,7/19/2023,5:58 AM,16.2
493,493,3/19/2023,8:28 PM,36.1
494,494,11/21/2023,2:18 PM,34.7
495,495,7/12/2023,9:14 AM,55.7
496,496,10/24/2023,5:02 PM,94.8
497,497,3/31/2023,10:33 AM,65.1
498,498,2/7/2023,4:18 PM,45.0
499,499,6/28/2023,12:33 AM,64.6
500,500,12/18/2022,5:47 PM,52.9
501,501,2/26/2023,9:40 AM,26.8
502,502,6/27/2023,11:38 PM,9.0
503,503,1/16/2023,12:19 AM,51.2
504,504,2/2/2023,11:52 AM,30.3
505,505,7/26/2023,6:52 AM,1.0
506,506,1/7/2023,4:28 PM,57.5
507,507,8/6/2023,3:51 AM,78.5
508,508,12/1/2022,7:45 PM,75.1
509,509,8/3/2023,12:48 AM,66.5
510,510,8/13/2023,11:08 AM,9.5
511,511,12/6/2022,2:18 AM,74.8
512,512,1/28/2023,8:59 AM,97.0
513,513,10/26/2023,6:19 PM,44.4
514,514,4/11/2023,6:15 AM,3.9
515,515,11/14/2023,2:53 AM,62.3
516,516,8/16/2023,3:01 PM,99.6
517,517,1/22/2023,8:18 AM,37.0
518,518,4/21/2023,2:16 AM,90.9
519,519,4/10/2023,4:55 PM,44.5
520,520,4/12/2023,10:58 PM,78.6
521,521,5/22/2023,10:50 AM,54.4
522,522,8/27/2023,6:57 AM,25.2
523,523,7/10/2023,7:07 AM,40.9
524,524,3/27/2023,6:14 PM,4.5
525,525,1/9/2023,8:16 PM,73.8
526,526,8/7/2023,1:27 AM,29.5
527,527,5/5/2023,2:15 PM,63.2
528,528,7/29/2023,6:30 AM,83.5
529,529,12/31/2022,10:07 PM,11.6
530,530,11/12/2023,2:21 AM,82.9
531,531,8/20/2023,10:33 AM,21.3
532,532,4/4/2023,10:30 PM,5.1
533,533,11/29/2022,7:37 AM,90.9
534,534,8/21/2023,2:22 PM,94.2
535,535,6/14/2023,6:04 AM,12.1
536,536,2/18/2023,11:22 AM,14.1
537,537,12/15/2022,11:09 AM,21.7
538,538,1/27/2023,8:47 AM,89.5
539,539,7/11/2023,11:33 AM,35.7
540,540,3/27/2023,3:02 PM,84.3
541,541,1/15/2023,10:16 PM,30.6
542,542,4/23/2023,9:49 PM,27.7
543,543,2/24/2023,5:01 PM,76.6
544,544,11/25/2023,11:13 PM,77.6
545,545,5/12/2023,1:33 AM,79.3
546,546,12/30/2022,3:45 PM,47.5
547,547,4/20/2023,1:23 AM,39.4
548,548,8/21/2023,4:46 PM,32.0
549,549,12/7/2022,9:08 AM,75.2
550,550,2/16/2023,12:33 AM,58.9
551,551,1/19/2023,10:06 AM,63.6
552,552,12/12/2022,5:56 PM,8.0
553,553,8/30/2023,11:23 AM,7.8
554,554,2/26/2023,9:32 PM,51.9
555,555,10/1/2023,8:53 AM,43.1
556,556,5/2/2023,5:08 PM,22.2
557,557,12/20/2022,6:15 AM,99.1
558,558,2/21/2023,3:32 PM,21.4
559,559,2/28/2023,2:10 AM,24.1
560,560,2/7/2023,8:57 PM,78.4
561,561,11/30/2022,4:22 AM,4.4
562,562,12/25/2022,7:54 AM,20.8
563,563,9/27/2023,9:44 PM,8.1
564,564,12/11/2022,10:07 PM,47.7
565,565,3/8/2023,9:08 AM,87.9
566,566,9/14/2023,5:30 AM,2.4
567,567,8/12/2023,5:39 PM,30.3
568,568,6/19/2023,6:42 AM,78.7
569,569,12/21/2022,3:36 PM,54.4
570,570,7/19/2023,6:51 AM,31.0
571,571,11/9/2023,8:24 AM,4.7
572,572,3/23/2023,12:54 AM,60.5
573,573,11/11/2023,12:55 PM,76.9
574,574,8/14/2023,3:06 AM,40.0
575,575,1/2/2023,7:59 AM,35.1
576,576,12/13/2022,7:42 PM,34.6
577,577,3/28/2023,2:39 PM,19.3
578,578,8/3/2023,4:45 PM,75.2
579,579,10/13/2023,1:56 AM,52.9
580,580,6/28/2023,6:32 PM,93.7
581,581,5/6/2023,12:16 AM,68.9
582,582,9/30/2023,7:00 PM,88.1
583,583,4/19/2023,1:47 AM,84.0
584,584,8/8/2023,6:11 AM,76.2
585,585,2/14/2023,12:52 AM,61.9
586,586,1/15/2023,10:49 PM,57.2
587,587,8/28/2023,6:56 AM,58.4
588,588,8/22/2023,3:12 PM,41.9
589,589,5/10/2023,6:57 AM,26.5
590,590,3/22/2023,10:25 AM,57.0
591,591,5/23/2023,12:16 AM,25.7
592,592,3/1/2023,1:38 AM,55.6
593,593,12/28/2022,7:47 AM,78.1
594,594,7/1/2023,7:07 PM,58.2
595,595,12/3/2022,10:03 PM,41.7
596,596,12/2/2022,5:47 PM,39.3
597,597,5/31/2023,1:00 AM,22.8
598,598,4/25/2023,5:45 AM,80.3
599,599,5/27/2023,2:49 PM,16.7
600,600,11/22/2023,6:33 PM,1.9
601,601,2/15/2023,6:33 AM,53.2
602,602,6/20/2023,12:48 AM,49.0
603,603,6/23/2023,8:40 AM,60.0
604,604,10/15/2023,9:15 AM,4.3
605,605,12/15/2022,6:41 PM,11.8
606,606,2/12/2023,5:31 PM,95.3
607,607,7/15/2023,10:27 AM,96.6
608,608,12/4/2022,5:53 AM,41.0
609,609,5/31/2023,12:11 PM,62.8
610,610,1/26/2023,5:56 PM,51.7
611,611,2/2/2023,6:04 AM,61.4
612,612,11/24/2023,8:52 AM,40.0
613,613,8/1/2023,3:43 PM,14.8
614,614,12/1/2022,6:18 AM,93.0
615,615,7/19/2023,11:07 PM,42.6
616,616,1/24/2023,6:01 PM,3.4
617,617,3/8/2023,5:29 AM,83.6
618,618,6/10/2023,11:39 PM,35.3
619,619,5/2/2023,5:52 AM,31.8
620,620,7/18/2023,6:37 AM,85.5
621,621,12/3/2022,9:42 PM,30.6
622,622,10/13/2023,11:30 PM,94.7
623,623,12/3/2022,5:54 AM,63.2
624,624,5/6/2023,12:24 PM,83.9
625,625,1/22/2023,4:32 PM,38.8
626,626,10/6/2023,7:04 AM,14.5
627,627,11/3/2023,6:36 AM,33.7
628,628,12/4/2022,9:22 PM,3.6
629,629,10/23/2023,1:15 AM,70.5
630,630,10/13/2023,6:06 PM,43.4
631,631,9/27/2023,1:58 PM,99.3
