employee_fixed_compensation_id ,compensation_event  ,pay_frequency ,"compensation_amount DECIMAL (p, s)"
154,Garden,Monthly,32.4
155,Electronics,Often,99.6
156,Beauty,Often,1.3
157,Beauty,Once,4.8
158,Clothing,Weekly,89.5
159,Movies,Yearly,34.3
160,Movies,Daily,37.7
161,Computers,Monthly,66.4
162,Tools,Never,85.2
163,Sports,Daily,96.2
164,Shoes,Seldom,46.3
165,Grocery,Seldom,39.8
166,Beauty,Yearly,31.0
167,Kids,Never,37.1
168,Garden,Seldom,7.2
169,Music,Daily,66.9
170,Sports,Once,32.0
171,Jewelry,Yearly,47.1
172,Tools,Seldom,34.1
173,Toys,Once,88.9
174,Tools,Yearly,73.5
175,Grocery,Never,61.4
176,Outdoors,Daily,59.1
177,Kids,Daily,32.1
178,Automotive,Monthly,3.8
179,Baby,Once,55.8
180,Electronics,Daily,29.2
181,Books,Often,36.7
182,Health,Yearly,23.3
183,Music,Daily,90.0
184,Electronics,Weekly,60.7
185,Tools,Weekly,95.1
186,Clothing,Never,85.9
187,Shoes,Never,14.5
188,Garden,Seldom,75.1
189,Clothing,Once,75.0
190,Beauty,Weekly,75.8
191,Tools,Monthly,95.6
192,Garden,Once,73.0
193,Jewelry,Never,44.1
194,Industrial,Often,23.4
195,Jewelry,Yearly,75.5
196,Toys,Yearly,50.7
197,Toys,Weekly,22.5
198,Health,Seldom,4.9
199,Sports,Once,5.6
200,Baby,Often,65.9
201,Books,Daily,93.6
202,Clothing,Never,56.0
203,Health,Yearly,62.7
204,Movies,Daily,7.6
205,Tools,Monthly,48.4
206,Tools,Once,98.3
207,Electronics,Weekly,4.2
208,Jewelry,Seldom,58.7
209,Electronics,Weekly,46.4
210,Tools,Often,99.4
211,Shoes,Never,42.8
212,Baby,Once,30.8
213,Home,Once,85.0
214,Automotive,Seldom,28.1
215,Garden,Monthly,45.4
216,Jewelry,Often,94.0
217,Automotive,Never,97.4
218,Grocery,Monthly,60.4
219,Grocery,Once,11.8
220,Tools,Yearly,25.6
221,Home,Once,60.2
222,Kids,Weekly,1.8
223,Electronics,Once,29.5
224,Baby,Once,2.5
225,Games,Daily,44.6
226,Kids,Weekly,9.7
227,Home,Daily,96.6
228,Tools,Once,16.5
229,Electronics,Once,83.4
230,Baby,Monthly,20.6
231,Automotive,Monthly,79.3
232,Garden,Yearly,65.4
233,Toys,Never,39.7
234,Electronics,Monthly,11.6
235,Books,Often,43.9
236,Music,Weekly,79.7
237,Industrial,Weekly,19.2
238,Electronics,Weekly,35.7
239,Electronics,Weekly,30.4
240,Toys,Monthly,4.8
241,Clothing,Never,64.8
242,Electronics,Once,68.2
243,Baby,Often,61.0
244,Shoes,Seldom,14.9
245,Kids,Often,74.8
246,Baby,Weekly,5.2
247,Outdoors,Never,28.6
248,Shoes,Monthly,48.6
249,Health,Monthly,11.5
250,Baby,Once,16.6
251,Music,Weekly,58.9
252,Games,Yearly,79.9
253,Jewelry,Yearly,95.6
254,Grocery,Once,29.0
255,Sports,Never,50.6
256,Tools,Once,34.9
257,Kids,Daily,62.2
258,Computers,Once,51.0
259,Beauty,Often,48.7
260,Shoes,Often,97.2
261,Movies,Yearly,26.5
262,Tools,Daily,88.0
263,Jewelry,Weekly,42.4
264,Baby,Monthly,68.9
265,Home,Seldom,91.1
266,Music,Monthly,24.8
267,Electronics,Monthly,90.1
268,Kids,Daily,5.3
269,Home,Once,53.2
270,Jewelry,Once,35.0
271,Movies,Often,5.0
272,Tools,Seldom,61.1
273,Tools,Never,75.6
274,Outdoors,Once,2.8
275,Garden,Once,44.6
276,Beauty,Often,80.0
277,Health,Weekly,21.1
278,Sports,Monthly,48.9
279,Home,Monthly,4.8
280,Outdoors,Yearly,97.8
281,Computers,Daily,68.0
282,Sports,Once,95.6
283,Movies,Weekly,75.4
284,Grocery,Often,39.8
285,Toys,Monthly,8.8
286,Games,Once,51.5
287,Movies,Seldom,54.7
288,Tools,Seldom,5.9
289,Sports,Yearly,62.3
290,Computers,Daily,77.1
291,Grocery,Never,65.6
292,Computers,Daily,82.3
293,Computers,Seldom,69.9
294,Kids,Often,23.6
295,Electronics,Yearly,29.0
296,Computers,Seldom,96.3
297,Health,Once,89.8
298,Baby,Once,58.2
299,Movies,Yearly,10.3
300,Baby,Yearly,46.2
301,Toys,Once,68.2
302,Beauty,Monthly,79.4
303,Movies,Daily,85.9
304,Kids,Often,68.0
305,Baby,Yearly,84.3
306,Tools,Seldom,40.6
307,Health,Weekly,24.0
308,Jewelry,Often,68.8
309,Tools,Seldom,1.5
310,Beauty,Yearly,18.3
311,Books,Weekly,1.6
312,Industrial,Seldom,61.9
313,Tools,Weekly,7.0
314,Computers,Never,54.3
315,Shoes,Seldom,48.3
316,Shoes,Often,66.1
317,Jewelry,Weekly,22.4
318,Sports,Yearly,91.6
319,Electronics,Seldom,70.0
320,Jewelry,Monthly,94.4
321,Clothing,Never,62.6
322,Computers,Never,55.6
323,Books,Often,19.8
324,Electronics,Yearly,57.9
325,Grocery,Monthly,75.7
326,Computers,Monthly,40.1
327,Kids,Once,36.5
328,Electronics,Never,57.9
329,Clothing,Weekly,87.2
330,Outdoors,Seldom,84.3
331,Home,Weekly,70.4
332,Automotive,Seldom,91.2
333,Baby,Weekly,79.2
334,Outdoors,Daily,12.3
335,Beauty,Weekly,56.9
336,Garden,Yearly,19.8
337,Sports,Weekly,35.6
338,Sports,Never,26.6
339,Computers,Often,30.4
340,Music,Daily,29.6
341,Industrial,Monthly,35.3
342,Garden,Weekly,86.5
343,Toys,Monthly,94.3
344,Movies,Daily,1.9
345,Kids,Once,43.3
346,Grocery,Once,55.9
347,Kids,Daily,12.1
348,Industrial,Yearly,80.7
349,Outdoors,Never,88.5
350,Health,Daily,92.0
351,Kids,Never,50.0
352,Grocery,Once,2.2
353,Grocery,Daily,38.0
354,Movies,Often,13.7
355,Baby,Weekly,91.9
356,Movies,Weekly,45.0
357,Industrial,Yearly,91.7
358,Music,Yearly,57.1
359,Outdoors,Yearly,36.6
360,Health,Weekly,63.9
361,Health,Often,99.5
362,Grocery,Weekly,29.2
363,Movies,Never,26.9
364,Movies,Once,78.7
365,Movies,Once,75.9
366,Toys,Once,5.0
367,Industrial,Weekly,65.5
368,Toys,Once,52.6
369,Garden,Weekly,65.9
370,Shoes,Never,34.9
371,Clothing,Often,36.9
372,Home,Yearly,25.0
373,Clothing,Daily,62.6
374,Books,Yearly,21.7
375,Clothing,Often,37.7
376,Baby,Never,3.7
377,Computers,Daily,79.0
378,Beauty,Daily,63.7
379,Grocery,Yearly,28.4
380,Sports,Often,46.2
381,Garden,Seldom,37.5
382,Kids,Never,71.9
383,Kids,Once,6.8
384,Automotive,Once,30.9
385,Kids,Never,34.7
386,Health,Once,49.9
387,Electronics,Once,49.0
388,Books,Monthly,19.0
389,Baby,Seldom,4.5
390,Jewelry,Often,9.2
391,Industrial,Seldom,15.2
392,Automotive,Seldom,70.6
393,Outdoors,Often,2.7
394,Baby,Monthly,32.0
395,Grocery,Monthly,78.2
396,Books,Daily,28.8
397,Industrial,Never,20.7
398,Kids,Often,4.6
399,Computers,Yearly,76.6
400,Kids,Daily,68.4
401,Sports,Yearly,6.7
402,Grocery,Weekly,68.2
403,Tools,Seldom,82.1
404,Industrial,Daily,58.2
405,Jewelry,Monthly,52.6
406,Health,Never,2.2
407,Kids,Weekly,18.0
408,Industrial,Yearly,85.3
409,Outdoors,Daily,7.8
410,Toys,Often,77.8
411,Home,Once,25.0
412,Computers,Seldom,30.5
413,Health,Seldom,89.6
414,Books,Monthly,93.7
415,Garden,Often,29.4
416,Automotive,Seldom,9.4
417,Tools,Often,87.4
418,Books,Daily,89.3
419,Movies,Yearly,89.1
420,Sports,Monthly,19.4
421,Automotive,Often,99.7
422,Movies,Seldom,25.0
423,Clothing,Weekly,26.2
424,Grocery,Once,39.1
425,Jewelry,Yearly,82.8
426,Sports,Daily,88.9
427,Toys,Yearly,13.0
428,Clothing,Often,41.4
429,Home,Seldom,64.5
430,Health,Daily,82.7
431,Beauty,Yearly,27.8
432,Music,Seldom,28.9
433,Industrial,Seldom,21.3
434,Industrial,Once,84.8
435,Health,Weekly,12.6
436,Electronics,Once,86.9
437,Shoes,Seldom,46.5
438,Shoes,Weekly,64.7
439,Kids,Seldom,81.0
440,Outdoors,Weekly,98.1
441,Baby,Daily,56.4
442,Health,Yearly,59.1
443,Books,Seldom,98.2
444,Outdoors,Yearly,84.9
445,Shoes,Monthly,97.7
446,Shoes,Seldom,17.7
447,Baby,Daily,69.0
448,Computers,Monthly,87.2
449,Health,Weekly,79.7
450,Electronics,Often,47.7
451,Games,Monthly,51.0
452,Sports,Weekly,36.4
453,Outdoors,Seldom,14.7
454,Garden,Often,18.8
455,Electronics,Daily,77.6
456,Outdoors,Yearly,77.5
457,Health,Once,69.4
458,Games,Weekly,96.4
459,Tools,Often,50.4
460,Games,Seldom,78.3
461,Games,Never,12.6
462,Sports,Yearly,9.9
463,Sports,Once,53.2
464,Clothing,Once,56.3
465,Sports,Often,79.8
466,Grocery,Seldom,100.0
467,Electronics,Once,87.6
468,Computers,Monthly,54.6
469,Games,Once,81.9
470,Tools,Once,42.0
471,Grocery,Yearly,4.0
472,Movies,Once,15.9
473,Toys,Seldom,93.5
474,Automotive,Yearly,71.7
475,Sports,Daily,43.4
476,Music,Often,57.2
477,Kids,Once,23.3
478,Automotive,Never,67.3
479,Games,Yearly,57.2
480,Beauty,Monthly,27.3
481,Computers,Often,96.7
482,Health,Monthly,35.5
483,Grocery,Never,25.8
484,Beauty,Weekly,11.6
485,Games,Monthly,4.0
486,Electronics,Monthly,9.1
487,Industrial,Yearly,75.2
488,Baby,Never,83.0
489,Music,Often,39.8
490,Sports,Seldom,74.4
491,Automotive,Once,66.9
492,Electronics,Often,83.3
493,Baby,Daily,84.2
494,Jewelry,Once,81.6
495,Books,Seldom,67.4
496,Grocery,Seldom,96.6
497,Toys,Never,40.4
498,Garden,Never,61.5
499,Music,Daily,84.1
500,Garden,Often,93.1
501,Computers,Monthly,83.4
502,Automotive,Once,94.3
503,Music,Once,10.3
504,Jewelry,Yearly,57.9
505,Outdoors,Daily,73.7
506,Jewelry,Monthly,57.9
507,Garden,Often,41.1
508,Games,Yearly,25.7
509,Toys,Daily,3.9
510,Toys,Monthly,79.2
511,Industrial,Weekly,9.3
512,Tools,Weekly,70.3
513,Computers,Seldom,50.4
514,Outdoors,Daily,74.5
515,Kids,Monthly,91.2
516,Health,Monthly,15.9
517,Toys,Monthly,44.6
518,Industrial,Monthly,93.9
519,Outdoors,Often,96.2
520,Shoes,Yearly,70.5
521,Clothing,Yearly,46.5
522,Kids,Never,26.8
523,Kids,Weekly,38.1
524,Tools,Weekly,26.1
525,Home,Weekly,65.1
526,Toys,Yearly,5.4
527,Shoes,Once,84.9
528,Toys,Often,39.4
529,Shoes,Never,77.5
530,Clothing,Weekly,27.7
531,Jewelry,Once,95.5
532,Games,Yearly,45.4
533,Clothing,Once,11.3
534,Kids,Daily,79.7
535,Electronics,Once,82.0
536,Music,Monthly,81.7
537,Outdoors,Never,68.4
538,Toys,Monthly,22.3
539,Sports,Yearly,56.7
540,Outdoors,Monthly,11.8
541,Industrial,Once,23.0
542,Electronics,Yearly,76.7
543,Toys,Weekly,4.2
544,Industrial,Daily,72.8
545,Clothing,Never,8.9
546,Music,Daily,22.6
547,Industrial,Yearly,33.2
548,Sports,Seldom,59.6
549,Books,Yearly,60.8
550,Tools,Never,15.0
551,Movies,Never,61.7
552,Shoes,Never,2.0
553,Sports,Once,19.8
554,Tools,Seldom,72.1
555,Shoes,Daily,4.4
556,Games,Weekly,75.5
557,Computers,Weekly,95.9
558,Books,Seldom,85.9
559,Beauty,Monthly,85.7
560,Books,Once,65.1
561,Clothing,Monthly,25.8
562,Toys,Never,94.7
563,Sports,Daily,90.9
564,Computers,Daily,45.3
565,Automotive,Yearly,66.7
566,Grocery,Seldom,63.7
567,Shoes,Often,71.9
568,Toys,Never,67.3
569,Industrial,Weekly,91.8
570,Music,Seldom,69.0
571,Automotive,Seldom,32.8
572,Beauty,Seldom,56.5
573,Sports,Monthly,24.9
574,Automotive,Never,71.4
575,Games,Once,75.3
576,Outdoors,Yearly,72.4
577,Industrial,Yearly,55.5
578,Sports,Never,11.2
579,Sports,Daily,84.6
580,Movies,Once,94.7
581,Movies,Monthly,32.7
582,Kids,Once,70.6
583,Health,Yearly,6.2
584,Toys,Never,83.4
585,Grocery,Never,9.3
586,Electronics,Weekly,55.9
587,Movies,Yearly,82.2
588,Industrial,Never,47.5
589,Garden,Monthly,69.6
590,Computers,Weekly,38.1
591,Clothing,Weekly,25.8
592,Jewelry,Seldom,15.9
593,Baby,Once,79.4
594,Games,Daily,3.9
595,Shoes,Never,56.8
596,Electronics,Often,30.1
597,Books,Seldom,75.3
598,Outdoors,Seldom,19.9
599,Books,Weekly,44.5
600,Industrial,Weekly,48.6
601,Home,Daily,99.5
602,Health,Often,36.8
603,Music,Seldom,38.5
604,Industrial,Monthly,91.9
605,Kids,Often,61.6
606,Games,Yearly,43.3
607,Outdoors,Monthly,72.4
608,Sports,Weekly,62.2
609,Grocery,Yearly,37.0
610,Home,Seldom,63.2
611,Home,Once,96.4
612,Beauty,Weekly,22.0
613,Sports,Often,29.5
614,Computers,Once,23.5
615,Games,Weekly,22.7
616,Books,Seldom,1.2
617,Automotive,Seldom,48.8
618,Beauty,Often,65.3
619,Shoes,Monthly,62.7
620,Beauty,Yearly,72.3
621,Clothing,Yearly,8.0
622,Baby,Daily,77.7
623,Automotive,Monthly,30.2
624,Baby,Weekly,87.2
625,Outdoors,Yearly,57.9
626,Automotive,Weekly,49.1
627,Books,Once,26.0
628,Electronics,Daily,61.1
629,Tools,Often,84.4
630,Games,Often,53.3
631,Computers,Once,16.7
632,Home,Monthly,99.8
633,Home,Yearly,11.9
634,Home,Never,67.6
635,Tools,Once,12.8
636,Movies,Monthly,8.4
637,Jewelry,Often,4.3
638,Music,Never,32.0
639,Music,Often,55.6
640,Toys,Once,56.7
641,Toys,Often,53.0
642,Kids,Monthly,54.5
643,Books,Yearly,20.0
644,Toys,Once,37.1
645,Industrial,Never,42.1
646,Games,Monthly,45.6
647,Shoes,Yearly,4.0
648,Industrial,Daily,87.4
649,Movies,Once,4.3
650,Shoes,Seldom,40.3
651,Automotive,Daily,34.5
652,Computers,Seldom,24.0
653,Shoes,Monthly,44.0
654,Health,Once,67.1
655,Games,Daily,30.5
656,Grocery,Once,78.1
657,Games,Yearly,5.3
658,Computers,Weekly,65.8
659,Home,Daily,7.7
660,Toys,Never,72.6
661,Outdoors,Never,83.7
662,Movies,Monthly,3.7
663,Computers,Often,52.0
664,Beauty,Often,48.1
665,Movies,Monthly,37.4
666,Electronics,Seldom,24.7
667,Kids,Yearly,86.9
668,Home,Often,5.7
669,Automotive,Never,2.6
670,Automotive,Yearly,5.6
671,Movies,Weekly,13.8
672,Home,Often,19.4
673,Automotive,Monthly,83.4
674,Industrial,Weekly,60.0
675,Outdoors,Weekly,25.7
676,Books,Weekly,82.0
677,Baby,Yearly,81.1
678,Electronics,Often,71.5
679,Kids,Once,62.4
680,Automotive,Never,86.2
681,Sports,Never,57.6
682,Shoes,Often,56.7
683,Clothing,Yearly,23.4
684,Computers,Weekly,87.1
685,Music,Monthly,50.3
686,Garden,Monthly,45.9
687,Computers,Daily,55.9
688,Electronics,Never,14.1
689,Baby,Seldom,93.9
690,Shoes,Once,84.8
691,Tools,Seldom,89.5
692,Games,Once,6.9
693,Music,Daily,26.5
694,Games,Never,73.4
695,Movies,Weekly,98.6
696,Music,Daily,72.7
697,Sports,Often,89.3
698,Outdoors,Weekly,32.0
699,Garden,Once,69.7
700,Jewelry,Weekly,24.4
701,Shoes,Monthly,62.9
702,Tools,Never,52.8
703,Home,Once,87.6
704,Jewelry,Often,22.3
705,Movies,Often,22.5
706,Kids,Daily,38.4
707,Garden,Seldom,96.5
708,Kids,Never,62.7
709,Toys,Never,75.6
710,Kids,Often,58.1
711,Jewelry,Seldom,73.8
712,Jewelry,Weekly,57.4
713,Jewelry,Weekly,44.0
714,Jewelry,Monthly,6.5
715,Shoes,Never,20.2
716,Jewelry,Daily,89.5
717,Jewelry,Once,83.0
718,Home,Monthly,95.0
719,Industrial,Weekly,90.5
720,Automotive,Yearly,9.6
721,Automotive,Once,74.0
722,Garden,Yearly,47.7
723,Home,Seldom,33.1
724,Jewelry,Daily,89.5
725,Jewelry,Seldom,48.3
726,Grocery,Seldom,14.9
727,Books,Monthly,80.6
728,Baby,Weekly,43.3
729,Clothing,Often,89.1
730,Industrial,Often,76.3
731,Computers,Once,9.8
732,Sports,Often,76.4
733,Clothing,Once,72.8
734,Outdoors,Seldom,37.9
735,Books,Never,46.0
736,Grocery,Often,50.3
737,Jewelry,Once,95.7
738,Clothing,Monthly,32.7
739,Home,Often,33.9
740,Movies,Monthly,14.1
741,Automotive,Monthly,13.5
742,Home,Once,36.1
743,Computers,Seldom,54.2
744,Music,Daily,23.9
745,Home,Once,77.3
746,Industrial,Weekly,28.4
747,Shoes,Often,99.5
748,Books,Weekly,38.6
749,Electronics,Seldom,36.0
750,Clothing,Often,80.0
751,Outdoors,Often,25.3
752,Jewelry,Monthly,36.1
753,Outdoors,Monthly,19.0
754,Toys,Seldom,34.5
755,Clothing,Daily,85.6
756,Jewelry,Once,23.1
757,Automotive,Once,32.6
758,Baby,Never,84.6
759,Beauty,Once,45.0
760,Garden,Weekly,65.0
761,Home,Monthly,75.0
762,Clothing,Often,39.9
763,Outdoors,Monthly,96.0
764,Automotive,Monthly,29.3
765,Music,Monthly,8.1
766,Clothing,Daily,88.4
767,Outdoors,Once,4.2
768,Sports,Never,16.1
769,Baby,Never,12.8
770,Jewelry,Never,34.1
771,Music,Yearly,74.0
772,Clothing,Weekly,12.2
773,Health,Monthly,30.2
774,Tools,Daily,91.0
775,Music,Often,83.0
776,Jewelry,Weekly,53.9
777,Grocery,Often,53.7
778,Automotive,Often,40.3
779,Shoes,Often,17.6
780,Sports,Weekly,20.1
781,Sports,Seldom,17.5
782,Beauty,Once,6.7
783,Industrial,Monthly,21.5
784,Garden,Once,47.1
785,Clothing,Seldom,73.7
786,Music,Seldom,48.6
787,Grocery,Yearly,15.5
788,Beauty,Seldom,18.4
789,Computers,Seldom,28.9
790,Tools,Never,41.1
791,Kids,Monthly,3.6
792,Garden,Weekly,30.0
793,Electronics,Daily,32.6
794,Outdoors,Seldom,94.1
795,Clothing,Often,32.9
796,Automotive,Often,47.7
797,Toys,Once,13.9
798,Sports,Often,60.4
799,Movies,Daily,87.7
800,Garden,Weekly,17.4
801,Garden,Daily,4.5
802,Tools,Daily,30.3
803,Jewelry,Never,86.3
804,Outdoors,Once,91.0
805,Jewelry,Never,53.7
806,Toys,Seldom,72.8
807,Clothing,Once,97.8
808,Games,Monthly,75.3
809,Beauty,Yearly,98.1
810,Electronics,Seldom,8.7
811,Toys,Weekly,24.4
812,Music,Monthly,93.7
813,Clothing,Yearly,10.0
814,Jewelry,Once,96.4
815,Garden,Yearly,59.9
816,Kids,Monthly,47.4
817,Kids,Once,51.8
818,Jewelry,Once,9.0
819,Garden,Monthly,44.9
820,Kids,Monthly,49.6
821,Outdoors,Daily,28.1
822,Tools,Yearly,14.5
823,Toys,Daily,38.7
824,Sports,Once,5.5
825,Clothing,Monthly,80.0
826,Clothing,Weekly,75.4
827,Tools,Once,83.9
828,Baby,Often,21.3
829,Movies,Daily,73.8
830,Grocery,Daily,40.2
831,Computers,Monthly,60.3
832,Home,Once,13.6
833,Shoes,Often,27.2
834,Garden,Weekly,87.1
835,Shoes,Yearly,6.8
836,Movies,Never,83.5
837,Automotive,Daily,83.3
838,Grocery,Never,72.1
839,Books,Once,70.2
840,Jewelry,Often,49.6
841,Games,Daily,78.9
842,Industrial,Daily,80.5
843,Beauty,Monthly,10.8
844,Garden,Seldom,70.1
845,Grocery,Weekly,32.2
846,Grocery,Often,60.3
847,Grocery,Daily,99.8
848,Computers,Once,52.7
849,Health,Daily,35.0
850,Toys,Yearly,5.9
851,Music,Daily,58.8
852,Computers,Daily,16.6
853,Beauty,Monthly,85.5
854,Tools,Often,53.4
855,Baby,Often,99.8
856,Jewelry,Monthly,54.6
857,Grocery,Daily,14.3
858,Computers,Never,28.8
859,Movies,Never,6.3
860,Jewelry,Never,27.6
861,Health,Yearly,44.2
862,Clothing,Never,8.3
863,Sports,Monthly,50.4
864,Shoes,Yearly,13.0
865,Kids,Monthly,64.9
866,Home,Often,92.8
867,Tools,Daily,39.7
868,Health,Yearly,9.4
869,Health,Yearly,53.6
870,Clothing,Seldom,91.5
871,Music,Never,53.0
872,Electronics,Never,61.6
873,Industrial,Daily,76.0
874,Garden,Weekly,4.0
875,Games,Once,66.4
876,Baby,Once,34.9
877,Clothing,Seldom,24.4
878,Health,Daily,53.5
879,Outdoors,Weekly,25.5
880,Clothing,Seldom,11.8
881,Beauty,Monthly,4.6
882,Clothing,Never,21.1
883,Automotive,Daily,23.3
884,Jewelry,Monthly,42.6
885,Health,Once,64.4
886,Computers,Weekly,80.8
887,Tools,Seldom,17.6
888,Electronics,Monthly,59.9
889,Baby,Weekly,59.3
890,Clothing,Once,7.8
891,Sports,Often,21.0
892,Shoes,Daily,44.0
893,Baby,Yearly,78.9
894,Clothing,Daily,70.4
895,Electronics,Often,29.5
896,Movies,Daily,71.7
897,Garden,Once,41.2
898,Home,Never,6.0
899,Sports,Daily,93.0
900,Kids,Monthly,89.1
901,Tools,Once,36.5
902,Music,Never,35.9
903,Garden,Daily,16.4
904,Kids,Yearly,99.9
905,Clothing,Yearly,60.7
906,Toys,Weekly,72.6
907,Outdoors,Weekly,82.3
908,Clothing,Daily,85.5
909,Grocery,Daily,71.7
910,Garden,Once,56.8
911,Sports,Yearly,2.1
912,Clothing,Never,17.3
913,Computers,Yearly,24.3
914,Books,Seldom,2.6
915,Sports,Monthly,50.9
916,Garden,Weekly,42.1
917,Grocery,Never,1.3
918,Shoes,Monthly,77.0
919,Games,Often,53.3
920,Clothing,Never,33.7
921,Shoes,Daily,57.2
922,Jewelry,Daily,74.2
923,Shoes,Weekly,66.6
924,Electronics,Often,14.9
925,Electronics,Monthly,64.7
926,Games,Daily,78.0
927,Tools,Once,82.7
928,Beauty,Never,66.5
929,Automotive,Often,76.1
930,Grocery,Monthly,24.3
931,Beauty,Never,20.8
932,Clothing,Monthly,98.6
933,Sports,Never,99.7
934,Jewelry,Weekly,65.6
935,Computers,Never,23.6
936,Computers,Daily,56.3
937,Jewelry,Once,85.9
938,Kids,Once,89.2
939,Kids,Weekly,58.9
940,Automotive,Weekly,77.9
941,Beauty,Yearly,29.6
942,Beauty,Yearly,84.5
943,Clothing,Never,61.6
944,Garden,Yearly,64.3
945,Computers,Daily,11.8
946,Games,Monthly,80.6
947,Shoes,Monthly,17.1
948,Industrial,Once,73.2
949,Sports,Never,71.3
950,Baby,Often,2.9
951,Industrial,Daily,62.7
952,Toys,Seldom,32.6
953,Movies,Often,73.6
954,Grocery,Yearly,1.6
955,Industrial,Monthly,53.3
956,Shoes,Yearly,44.9
957,Electronics,Weekly,74.3
958,Games,Often,69.8
959,Jewelry,Seldom,39.9
960,Computers,Never,8.9
961,Electronics,Daily,64.0
