duty_id ,duration ,duty_date 
179,29,11/11/2023
180,92,11/27/2022
181,16,8/25/2023
182,90,1/8/2023
183,8,4/29/2023
184,49,4/29/2023
185,11,12/26/2022
186,17,3/20/2023
187,63,7/12/2023
188,79,8/20/2023
189,66,7/1/2023
190,68,11/23/2023
191,87,4/30/2023
192,48,3/15/2023
193,51,12/13/2022
194,16,8/3/2023
195,73,3/5/2023
196,61,7/2/2023
197,31,11/25/2023
198,91,10/23/2023
199,3,10/6/2023
200,77,4/12/2023
201,1,11/22/2023
202,79,12/21/2022
203,32,1/28/2023
204,85,1/28/2023
205,16,5/2/2023
206,9,2/23/2023
207,84,3/26/2023
208,58,7/18/2023
209,92,2/5/2023
210,91,7/16/2023
211,35,8/27/2023
212,41,9/21/2023
213,79,5/1/2023
214,88,4/26/2023
215,12,7/24/2023
216,33,2/14/2023
217,48,6/17/2023
218,73,1/2/2023
219,92,3/8/2023
220,76,12/25/2022
221,32,7/5/2023
222,7,11/28/2022
223,77,1/31/2023
224,41,10/29/2023
225,92,2/15/2023
226,17,1/23/2023
227,86,1/24/2023
228,14,4/12/2023
229,75,6/8/2023
230,78,3/20/2023
231,56,7/27/2023
232,25,5/20/2023
233,13,2/10/2023
234,67,1/28/2023
235,87,6/29/2023
236,38,4/13/2023
237,4,5/16/2023
238,57,9/5/2023
239,81,10/11/2023
240,10,6/14/2023
241,11,12/3/2022
242,6,8/5/2023
243,58,1/16/2023
244,52,5/1/2023
245,11,3/12/2023
246,14,5/16/2023
247,86,4/2/2023
248,82,4/3/2023
249,22,7/10/2023
250,38,1/5/2023
251,95,12/16/2022
252,53,7/22/2023
253,43,9/8/2023
254,30,5/18/2023
255,53,3/10/2023
256,74,11/19/2023
257,59,9/25/2023
258,92,3/30/2023
259,44,8/22/2023
260,58,11/13/2023
261,34,9/29/2023
262,12,11/18/2023
263,98,6/11/2023
264,20,4/26/2023
265,89,1/25/2023
266,45,8/29/2023
267,96,11/14/2023
268,42,2/19/2023
269,1,5/16/2023
270,34,4/13/2023
271,94,3/15/2023
272,58,10/24/2023
273,93,1/26/2023
274,24,6/26/2023
275,87,8/26/2023
276,16,6/13/2023
277,16,3/30/2023
278,9,5/22/2023
279,28,12/23/2022
280,77,9/23/2023
281,18,2/1/2023
282,68,10/10/2023
283,26,9/30/2023
284,55,10/19/2023
285,13,3/30/2023
286,44,3/5/2023
287,56,8/3/2023
288,22,11/26/2022
289,5,7/30/2023
290,21,8/29/2023
291,58,4/8/2023
292,91,9/11/2023
293,17,12/11/2022
294,90,8/21/2023
295,31,1/13/2023
296,20,6/22/2023
297,56,2/15/2023
298,31,11/4/2023
299,17,10/16/2023
300,91,6/28/2023
301,85,10/23/2023
302,49,9/20/2023
303,4,2/1/2023
304,60,7/20/2023
305,36,3/22/2023
306,98,8/5/2023
307,90,12/5/2022
308,96,4/16/2023
309,76,4/19/2023
310,85,2/24/2023
311,44,12/21/2022
312,83,8/5/2023
313,59,8/21/2023
314,86,2/18/2023
315,3,4/18/2023
316,92,9/21/2023
317,33,9/4/2023
318,38,5/4/2023
319,85,6/5/2023
320,49,2/14/2023
321,6,4/7/2023
322,12,1/11/2023
323,6,10/8/2023
324,51,5/17/2023
325,69,8/21/2023
326,29,8/11/2023
327,56,12/22/2022
328,59,5/15/2023
329,77,12/12/2022
330,29,8/30/2023
331,82,1/15/2023
332,53,6/18/2023
333,13,10/5/2023
334,58,1/12/2023
335,80,5/27/2023
336,6,2/26/2023
337,34,6/8/2023
338,21,4/29/2023
339,43,3/7/2023
340,89,3/5/2023
341,97,9/4/2023
342,69,1/9/2023
343,99,5/4/2023
344,63,9/29/2023
345,56,10/26/2023
346,2,1/16/2023
347,1,2/12/2023
348,73,10/8/2023
349,79,4/17/2023
350,12,2/14/2023
351,86,7/29/2023
352,2,5/12/2023
353,45,9/30/2023
354,57,10/20/2023
355,99,8/18/2023
356,37,1/4/2023
357,67,5/19/2023
358,37,3/10/2023
359,89,11/19/2023
360,14,2/26/2023
361,48,10/1/2023
362,66,11/2/2023
363,11,10/26/2023
364,28,11/23/2023
365,3,5/20/2023
366,58,3/3/2023
367,63,12/15/2022
368,88,9/10/2023
369,77,2/12/2023
370,13,2/13/2023
371,24,11/4/2023
372,39,5/20/2023
373,52,1/3/2023
374,49,3/18/2023
375,2,3/22/2023
376,82,6/9/2023
377,17,5/18/2023
378,81,11/16/2023
379,39,11/7/2023
380,16,8/31/2023
381,41,11/10/2023
382,18,7/13/2023
383,33,10/23/2023
384,89,8/4/2023
385,94,4/25/2023
386,89,10/17/2023
387,31,11/12/2023
388,28,2/9/2023
389,67,9/6/2023
390,25,9/10/2023
391,55,4/8/2023
392,31,3/26/2023
393,21,9/2/2023
394,31,8/1/2023
395,54,1/9/2023
396,60,6/28/2023
397,76,7/1/2023
398,49,7/24/2023
399,67,2/6/2023
400,69,1/3/2023
401,12,5/27/2023
402,75,11/23/2023
403,45,12/23/2022
404,75,10/13/2023
405,8,3/22/2023
406,95,4/10/2023
407,66,7/1/2023
408,29,8/26/2023
409,87,1/8/2023
410,77,10/12/2023
411,86,1/12/2023
412,80,1/22/2023
413,16,8/1/2023
414,2,4/22/2023
415,15,8/28/2023
416,50,1/31/2023
417,99,1/14/2023
418,50,3/16/2023
419,95,3/16/2023
420,92,7/30/2023
421,71,8/28/2023
422,88,5/28/2023
423,93,5/22/2023
424,55,9/8/2023
425,3,7/21/2023
426,79,6/2/2023
427,67,3/10/2023
428,33,1/6/2023
429,56,12/25/2022
430,80,9/6/2023
431,67,8/5/2023
432,90,4/4/2023
433,32,2/7/2023
434,97,9/5/2023
435,44,10/17/2023
436,19,8/1/2023
437,35,12/26/2022
438,33,5/13/2023
439,20,1/10/2023
440,56,3/4/2023
441,56,11/7/2023
442,1,2/15/2023
443,87,5/9/2023
444,60,4/6/2023
445,29,4/23/2023
446,60,2/5/2023
447,61,7/9/2023
448,85,9/10/2023
449,99,11/27/2022
450,28,8/26/2023
451,32,1/21/2023
452,26,8/27/2023
453,37,3/26/2023
454,59,1/26/2023
455,59,8/5/2023
456,56,2/28/2023
457,61,12/26/2022
458,70,11/30/2022
459,1,4/9/2023
460,65,12/10/2022
461,48,3/25/2023
462,2,9/13/2023
463,5,7/25/2023
464,66,2/22/2023
465,58,8/13/2023
466,23,12/16/2022
467,48,1/6/2023
468,88,8/20/2023
469,20,9/22/2023
470,63,7/20/2023
471,81,11/3/2023
472,62,8/13/2023
473,25,9/24/2023
474,50,1/5/2023
475,44,10/17/2023
476,46,9/27/2023
477,6,3/6/2023
478,17,5/7/2023
479,28,8/25/2023
480,39,11/27/2022
481,38,8/18/2023
482,40,1/3/2023
483,35,12/9/2022
484,5,11/3/2023
485,45,4/1/2023
486,42,1/20/2023
487,35,2/10/2023
488,1,8/5/2023
489,88,10/30/2023
490,73,6/16/2023
491,28,7/30/2023
492,21,9/21/2023
493,63,3/15/2023
494,29,4/24/2023
495,83,3/24/2023
496,76,12/9/2022
497,64,2/2/2023
498,22,2/7/2023
499,82,10/5/2023
500,32,11/30/2022
501,32,9/15/2023
502,80,11/22/2023
503,76,6/1/2023
504,96,3/3/2023
505,78,12/13/2022
506,48,7/13/2023
507,94,12/12/2022
508,95,7/23/2023
509,85,9/11/2023
510,42,1/30/2023
511,82,7/28/2023
512,73,4/28/2023
513,2,8/7/2023
514,88,1/25/2023
515,29,12/30/2022
516,85,8/27/2023
517,36,4/29/2023
518,31,12/9/2022
519,95,4/7/2023
520,16,9/19/2023
521,9,8/18/2023
522,79,11/25/2023
523,47,5/26/2023
524,4,4/21/2023
525,42,5/8/2023
526,94,6/9/2023
527,58,12/12/2022
528,23,2/18/2023
529,94,12/18/2022
530,7,3/21/2023
531,59,8/18/2023
532,9,3/26/2023
533,58,4/5/2023
534,64,1/11/2023
535,38,4/20/2023
536,94,6/20/2023
537,13,5/29/2023
538,95,8/26/2023
539,92,6/11/2023
540,95,6/13/2023
541,28,2/27/2023
542,52,7/23/2023
543,15,7/31/2023
544,1,3/11/2023
545,84,4/21/2023
546,93,1/8/2023
547,35,3/31/2023
548,99,1/23/2023
549,6,2/27/2023
550,9,6/11/2023
551,70,5/27/2023
552,95,4/17/2023
553,37,5/18/2023
554,34,6/7/2023
555,2,12/18/2022
556,81,11/26/2022
557,50,12/18/2022
558,3,6/24/2023
559,88,9/6/2023
560,21,7/20/2023
561,90,12/28/2022
562,58,10/13/2023
563,89,3/15/2023
564,98,8/9/2023
565,62,5/5/2023
566,63,4/18/2023
567,96,10/6/2023
568,6,1/6/2023
569,73,11/20/2023
570,72,6/28/2023
571,21,1/18/2023
572,5,6/25/2023
573,7,11/3/2023
574,94,2/18/2023
575,86,4/8/2023
576,50,12/27/2022
577,17,6/6/2023
578,61,1/12/2023
579,46,12/8/2022
580,81,10/29/2023
581,42,8/8/2023
582,11,7/7/2023
583,33,8/17/2023
584,34,7/4/2023
585,7,6/30/2023
586,65,2/23/2023
587,22,10/9/2023
588,13,12/31/2022
589,100,3/22/2023
590,73,10/11/2023
591,21,7/16/2023
592,15,4/17/2023
593,92,10/10/2023
594,8,3/15/2023
595,97,12/30/2022
596,3,9/26/2023
597,23,4/14/2023
598,6,11/25/2023
599,13,10/28/2023
600,57,3/3/2023
601,98,10/31/2023
602,32,5/14/2023
603,50,8/24/2023
604,24,10/21/2023
605,22,6/3/2023
606,12,12/29/2022
607,6,10/26/2023
608,87,2/17/2023
609,100,1/10/2023
610,81,8/27/2023
611,66,2/12/2023
612,21,6/12/2023
613,66,6/5/2023
614,17,5/10/2023
615,47,1/2/2023
616,3,10/13/2023
617,88,8/25/2023
618,38,8/7/2023
619,49,10/15/2023
620,53,4/5/2023
621,75,3/10/2023
622,29,9/27/2023
623,78,9/1/2023
624,96,8/4/2023
625,26,3/8/2023
626,35,8/9/2023
627,94,6/15/2023
628,41,5/23/2023
629,49,2/28/2023
630,24,3/28/2023
631,35,1/23/2023
632,98,8/17/2023
633,3,8/7/2023
634,21,5/6/2023
635,84,4/15/2023
636,24,4/8/2023
637,49,5/14/2023
638,99,6/6/2023
639,16,9/9/2023
640,23,6/27/2023
641,5,11/27/2022
642,40,1/15/2023
643,61,6/21/2023
644,67,8/6/2023
645,19,11/22/2023
646,57,10/8/2023
647,28,1/5/2023
648,2,8/17/2023
649,91,5/29/2023
650,50,10/1/2023
651,9,1/1/2023
652,52,10/30/2023
653,34,1/9/2023
654,89,2/2/2023
655,75,11/23/2023
656,76,11/11/2023
657,78,7/1/2023
658,85,11/9/2023
659,67,5/3/2023
660,23,9/8/2023
661,94,6/13/2023
662,3,7/20/2023
663,25,5/1/2023
664,1,1/24/2023
665,29,1/20/2023
666,30,8/8/2023
667,47,9/30/2023
668,32,3/14/2023
669,40,7/14/2023
670,64,7/19/2023
671,50,5/17/2023
672,90,2/18/2023
673,42,8/17/2023
674,6,10/8/2023
675,40,4/25/2023
676,54,2/22/2023
677,73,3/22/2023
678,42,5/28/2023
679,43,11/6/2023
680,40,5/20/2023
681,84,5/27/2023
682,84,6/6/2023
683,13,12/13/2022
684,78,7/5/2023
685,13,3/12/2023
686,91,7/15/2023
687,2,4/20/2023
688,78,9/5/2023
689,47,7/16/2023
690,5,10/8/2023
691,73,10/17/2023
692,26,3/10/2023
693,48,2/3/2023
694,76,4/30/2023
695,43,3/22/2023
696,58,10/12/2023
697,33,4/25/2023
698,76,11/16/2023
699,48,1/20/2023
700,13,3/16/2023
701,94,10/12/2023
702,77,7/17/2023
703,36,5/3/2023
704,5,11/10/2023
705,18,3/21/2023
706,52,2/14/2023
707,75,5/6/2023
708,1,11/28/2022
709,37,7/12/2023
710,50,8/7/2023
711,37,8/29/2023
712,5,1/26/2023
713,6,2/21/2023
714,81,12/10/2022
715,28,10/30/2023
716,91,10/16/2023
717,38,10/11/2023
718,100,3/8/2023
719,31,9/28/2023
720,88,2/13/2023
721,90,12/7/2022
722,11,4/30/2023
723,94,10/5/2023
724,38,8/22/2023
725,88,5/11/2023
726,70,2/14/2023
727,1,12/15/2022
728,74,2/27/2023
729,34,10/7/2023
730,16,5/31/2023
731,10,3/26/2023
732,58,10/3/2023
733,97,3/26/2023
734,67,5/20/2023
735,60,8/2/2023
736,59,10/11/2023
737,44,11/21/2023
738,31,1/3/2023
739,2,2/4/2023
740,23,1/25/2023
741,5,6/30/2023
742,67,12/27/2022
743,43,12/7/2022
744,94,5/9/2023
745,16,4/6/2023
746,56,5/2/2023
747,40,8/1/2023
748,36,4/23/2023
749,55,1/6/2023
750,10,6/5/2023
751,23,7/1/2023
752,16,3/15/2023
753,31,12/9/2022
754,40,9/12/2023
755,98,4/24/2023
756,73,1/17/2023
757,91,6/18/2023
758,88,7/5/2023
759,21,7/21/2023
760,87,11/29/2022
761,17,11/24/2023
762,66,9/14/2023
763,71,7/3/2023
764,32,8/3/2023
765,84,10/12/2023
766,43,7/4/2023
767,60,4/10/2023
768,97,2/16/2023
769,53,6/19/2023
770,95,11/12/2023
771,8,8/4/2023
772,92,5/19/2023
773,7,8/1/2023
774,77,8/31/2023
775,73,9/24/2023
776,80,4/6/2023
777,29,11/1/2023
778,7,4/2/2023
779,2,4/24/2023
780,63,2/25/2023
781,72,4/14/2023
782,96,1/11/2023
783,25,3/20/2023
784,62,7/3/2023
785,64,5/22/2023
786,80,3/11/2023
787,91,1/7/2023
788,34,7/4/2023
789,51,12/8/2022
790,60,12/18/2022
791,31,8/14/2023
792,4,9/18/2023
793,71,7/10/2023
794,98,1/10/2023
795,58,3/31/2023
796,59,12/15/2022
797,53,12/8/2022
798,7,8/18/2023
799,40,5/18/2023
800,43,3/10/2023
801,8,2/22/2023
802,57,12/22/2022
803,33,2/3/2023
804,23,6/20/2023
805,92,11/29/2022
806,28,2/25/2023
807,27,11/21/2023
808,61,3/26/2023
809,58,12/4/2022
810,97,5/15/2023
811,36,10/18/2023
812,72,12/22/2022
813,64,12/28/2022
814,84,6/11/2023
815,100,8/30/2023
816,25,7/12/2023
817,64,10/14/2023
818,60,10/1/2023
819,93,2/4/2023
820,25,12/3/2022
821,38,9/28/2023
822,45,4/5/2023
823,96,11/29/2022
824,55,7/3/2023
825,37,11/1/2023
826,84,5/8/2023
827,36,7/1/2023
828,5,1/16/2023
829,56,10/22/2023
830,97,9/14/2023
831,49,12/21/2022
832,36,6/16/2023
833,90,3/31/2023
834,14,11/11/2023
835,25,2/23/2023
836,29,10/27/2023
837,91,7/4/2023
838,3,5/30/2023
839,94,5/28/2023
840,77,2/16/2023
841,74,10/7/2023
842,63,12/12/2022
843,69,6/21/2023
844,97,8/11/2023
845,38,11/7/2023
846,14,4/25/2023
847,62,6/20/2023
848,32,6/10/2023
849,94,6/1/2023
850,59,10/30/2023
851,40,10/12/2023
852,68,4/24/2023
853,31,2/18/2023
854,93,1/23/2023
855,44,3/27/2023
856,50,3/3/2023
857,41,3/28/2023
858,32,3/16/2023
859,40,9/7/2023
860,63,8/6/2023
861,73,9/23/2023
862,92,10/23/2023
863,85,8/24/2023
864,81,10/17/2023
865,37,12/2/2022
866,47,8/23/2023
867,53,3/15/2023
868,71,4/6/2023
869,65,3/16/2023
870,56,10/22/2023
871,26,6/27/2023
872,9,7/12/2023
873,31,7/28/2023
874,98,12/6/2022
875,44,7/25/2023
876,32,10/13/2023
877,37,7/24/2023
878,40,9/8/2023
879,15,1/30/2023
880,71,7/26/2023
881,88,4/7/2023
882,16,7/15/2023
883,39,12/13/2022
884,28,6/11/2023
885,28,7/25/2023
886,90,8/14/2023
887,62,1/26/2023
888,43,7/18/2023
889,38,9/12/2023
890,46,10/27/2023
891,65,2/27/2023
892,47,7/16/2023
893,71,3/17/2023
894,5,6/27/2023
895,92,4/14/2023
896,68,10/5/2023
897,61,9/26/2023
898,74,5/16/2023
899,45,8/5/2023
900,92,5/25/2023
901,15,10/13/2023
902,79,12/31/2022
903,39,9/22/2023
904,15,2/20/2023
905,8,11/16/2023
906,84,4/19/2023
907,79,12/18/2022
908,1,1/14/2023
909,36,10/26/2023
910,60,5/10/2023
911,26,9/24/2023
912,21,10/16/2023
913,51,8/9/2023
914,40,12/23/2022
915,76,6/18/2023
916,96,10/10/2023
917,19,3/6/2023
918,51,11/4/2023
919,64,7/10/2023
920,45,5/5/2023
921,72,2/7/2023
922,10,3/11/2023
923,3,7/16/2023
924,92,6/30/2023
925,63,8/5/2023
926,16,6/29/2023
927,8,4/28/2023
928,5,1/29/2023
929,45,4/10/2023
930,79,4/13/2023
931,25,6/23/2023
932,19,3/12/2023
933,28,11/19/2023
934,82,7/23/2023
935,93,8/23/2023
936,74,6/21/2023
937,55,7/25/2023
938,57,2/22/2023
939,63,8/28/2023
940,11,2/6/2023
941,51,6/29/2023
942,79,6/7/2023
943,35,10/26/2023
944,57,9/25/2023
945,17,7/16/2023
946,45,12/23/2022
947,8,6/25/2023
948,38,2/28/2023
949,22,8/27/2023
950,49,4/17/2023
951,58,1/11/2023
952,59,7/12/2023
953,53,12/10/2022
954,53,1/19/2023
955,81,7/17/2023
956,7,9/14/2023
957,9,11/22/2023
958,65,7/27/2023
959,95,1/12/2023
960,71,11/11/2023
961,63,3/8/2023
962,16,10/6/2023
963,77,10/18/2023
964,50,9/25/2023
965,11,4/9/2023
966,31,2/25/2023
967,8,7/16/2023
968,69,6/23/2023
969,12,9/4/2023
970,26,1/24/2023
971,24,12/13/2022
972,46,3/23/2023
973,22,2/3/2023
974,82,12/27/2022
975,58,9/11/2023
976,73,12/2/2022
977,59,7/21/2023
978,98,12/15/2022
979,53,2/16/2023
980,60,9/23/2023
981,28,9/2/2023
982,59,6/22/2023
983,11,4/6/2023
984,67,5/11/2023
985,41,9/27/2023
986,70,5/22/2023
987,100,2/10/2023
988,83,2/19/2023
989,59,9/17/2023
990,42,11/23/2023
991,6,9/14/2023
992,22,4/16/2023
993,62,7/26/2023
994,81,8/6/2023
995,43,5/5/2023
996,16,5/7/2023
997,30,9/11/2023
998,2,6/7/2023
999,39,3/11/2023
1000,100,8/15/2023
