course_category_name ,course_category_explain 
Food Chemist,Ac apical periodontitis
Administrative Assistant I,TB of bronchus-cult dx
Nurse,Fetal abnorm NOS-deliver
VP Product Management,Pneum in infect dis NEC
General Manager,Bell's palsy
Physical Therapy Assistant,Chr membranoprolif nephr
Physical Therapy Assistant,Ulcerative ileocolitis
Automation Specialist III,Pois-respir drug NEC/NOS
Biostatistician IV,Injury-hanging
Nuclear Power Engineer,Person feigning illness
VP Quality Control,Pulm compl in del-deliv
Quality Control Specialist,Mitr/aortic mult involv
Assistant Manager,Maternal distress-unspec
Financial Analyst,Open wound of palate
Business Systems Development Analyst,Second hypertension NEC
Cost Accountant,Scr fetl malfrm-ultrasnd
Cost Accountant,Contracept surveill NOS
Office Assistant IV,Mult brth NOS-before adm
Financial Analyst,Oth prblms rltd lfstyle
Senior Developer,Chr inflam polyneuritis
Dental Hygienist,Leg varicosity w inflam
Librarian,Lt ef oth paral dom side
VP Sales,Injury ovarian vein
Statistician II,Ch myl leuk wo achv rmsn
Systems Administrator III,Cryst arthrop NOS-ankle
Product Engineer,Malign neopl cornea
Compensation Analyst,Othr migrne w ntrc mgrne
Senior Developer,Fracture acetabulum-open
Senior Financial Analyst,Assault-fire
VP Accounting,One eye-severe/oth-total
Marketing Manager,Disproportion NOS-unspec
Administrative Assistant III,Umbilical artery absence
Graphic Designer,Coagulation def-postpart
Research Nurse,Crys arthrop NEC-forearm
Staff Scientist,Hx malig neoplasm NOS
Health Coach II,Disc dis NEC/NOS-lumbar
Marketing Manager,Opn skl/oth fx-deep coma
Staff Accountant II,Polyarthritis NOS-mult
Computer Systems Analyst II,Alopecia NEC
Occupational Therapist,Ac supp OM w drum rupt
Computer Systems Analyst II,Vitreomacular adhesion
Engineer III,Vertebral artery syndrom
Systems Administrator I,Balanoposthitis
Nurse Practicioner,Injury-cut instrument
Database Administrator III,Puerp pyrexia-postpartum
Accountant III,Puerp septc thromb-unsp
Recruiter,Administrtve encount NOS
Tax Accountant,Quad gest 2+ monoamniotc
Health Coach IV,Chagas disease NOS
Project Manager,Cerebel contus-prol coma
Help Desk Operator,Major osseous defects
Information Systems Manager,Mal neo pharynx NOS
Legal Assistant,Dysphonia
Chemical Engineer,Fracture treatmnt conval
Research Nurse,Building & construction
Occupational Therapist,Sec DM wo comp uncontrld
Dental Hygienist,Joint symptom NEC-shlder
Automation Specialist IV,Inf arthrit NOS-forearm
Systems Administrator III,Prophyl or tx meas NEC
Staff Scientist,Burn NOS mult fingers
Marketing Assistant,Disloc tarsal NOS-open
Senior Quality Engineer,3rd brn w loss-fngr/thmb
Quality Engineer,Part detach-mult defect
Sales Representative,Cl skl base fx-prol coma
Junior Executive,Twin-mate sb-hosp w/o cs
Safety Technician IV,Tympanoscl-tympanic memb
Product Engineer,Circadian rhythm-jetlag
Dental Hygienist,Borderline personality
Human Resources Manager,Chr margin ulc w hem-obs
Social Worker,Orchitis/epididymit NOS
Staff Accountant II,Adjustmnt dis w depressn
Recruiter,Person feigning illness
Senior Developer,Peritonitis (acute) gen
VP Sales,Paranoid state NOS
Librarian,Oth ob compl-deliv w p/p
Chemical Engineer,Hypersom w slp apnea NOS
Senior Sales Associate,Acq finger deformity NOS
Librarian,C1-c4 fx-op/cord inj NOS
Food Chemist,React-nerv sys dev/graft
Software Test Engineer IV,Pathologic alcohol intox
Marketing Assistant,Peripart cardiomy-unspec
Professor,Tongue disorder NEC
Professor,Anaplastic lymph xtrndl
Environmental Tech,Renal hyperten-postpart
Nurse Practicioner,Varicose vulva-antepart
Marketing Assistant,Org or tissue donor NOS
Sales Associate,Hodg lymph-histio inguin
VP Accounting,Acc pois-solid/liq NOS
Systems Administrator III,Asy bacteriuria-antepart
Cost Accountant,Heredit hemochromatosis
Registered Nurse,Op skl base fx-deep coma
Clinical Specialist,H simplex meningitis
Web Developer II,Benign neoplasm NEC
Web Developer IV,Idiopath inters pneu NOS
Sales Representative,Opn cerebel lac-brf coma
Actuary,Poisoning-pyrazole deriv
Web Developer II,React-oth genitourin dev
Tax Accountant,Hypoglossal nerve dis
Financial Advisor,Family dsrpt-death membr
Occupational Therapist,"Excessive heat, man-made"
Civil Engineer,TB laryngitis-histo dx
Professor,Injury to nerve NOS
Community Outreach Specialist,War inj:nucl weapon NOS
Research Assistant III,Breast inf NOS-antepart
Quality Engineer,Mal neo parietal pleura
Chemical Engineer,Disloc 5th cerv vert-cl
Staff Scientist,Anphyl react oth sp food
Environmental Specialist,Late eff nonmed substanc
Administrative Officer,1st deg burn finger
Executive Secretary,Psoas muscle abscess
Cost Accountant,Chr fibrous thyroiditis
Tax Accountant,Failure in suture
Software Consultant,Ch DVT/embl prox low ext
Senior Cost Accountant,Human herpesvirs inf NEC
Physical Therapy Assistant,Benign neo mouth NEC/NOS
Programmer Analyst III,TB periph lymph-exam unk
Human Resources Manager,Congenital eyelid deform
Product Engineer,Trichuriasis
Legal Assistant,Alastrim
Cost Accountant,Cystic kidney diseas NOS
Human Resources Assistant III,Feeding problem
Geologist IV,Somat dys head region
Nurse Practicioner,Mal neo descend colon
Senior Sales Associate,Cl skul base fx-coma NOS
Nurse Practicioner,Pain in limb
Staff Accountant II,Blister head
Social Worker,Exotropia NOS
Marketing Assistant,Family hx-gi malignancy
Research Assistant II,Fet damg d/t virus-unsp
Structural Engineer,Arthropod virus NEC
Budget/Accounting Analyst IV,Total third nerve palsy
Senior Sales Associate,Asept necrosis bone NOS
Sales Representative,Gastrointest hemorr NOS
Data Coordinator,Dermatitis due to plant
Data Coordinator,Torus fx radius-cl/alone
Software Test Engineer I,Forearm deformity NOS
Staff Scientist,Female orgasmic disorder
VP Accounting,Balance autosom transloc
Marketing Assistant,Gu TB NOS-exam unkn
Geological Engineer,Urethral caruncle
Physical Therapy Assistant,Facial nerve dis NOS
Executive Secretary,"Fx phalanx, foot-closed"
Electrical Engineer,Screen-mycotic infect
Teacher,Fam hx musculosk dis NEC
Executive Secretary,Pain in or around eye
Help Desk Operator,Jt stiffness NEC-unspec
Librarian,Probl w special func NOS
Health Coach IV,Blister hip & leg
VP Quality Control,Genital organ anom NEC
Database Administrator I,Toxic encph & encephlomy
Librarian,Childhd disintegr-resid
Statistician III,Abort NOS w hemorr-unsp
Mechanical Systems Engineer,Peritoneal dialysis test
Account Coordinator,Varus deformity wrist
Dental Hygienist,Ulcer other part of foot
Compensation Analyst,Var mgr NEC wo ntc mgr
Statistician II,Lymphoid mal NEC abdom
Operator,Self inj-paintball gun
Desktop Support Technician,Brain hem NEC-proln coma
Help Desk Operator,Urethral fistula
Biostatistician I,Prolong rupt memb-unspec
Office Assistant III,Late eff head/neck burn
Accounting Assistant II,Jt contracture-jt NEC
General Manager,Surg compl-heart
Automation Specialist IV,Pois-emol/demul/protect
Social Worker,Venereal dis carrier NEC
Dental Hygienist,"BMI 36.0-36.9,adult"
Compensation Analyst,Mal histiocytosis mult
GIS Technical Architect,Hemolytic hemoglobinuria
Marketing Manager,Anemia in neoplastic dis
Senior Financial Analyst,C1-c4 fx-op/com cord les
Staff Accountant I,Heart contusion-open
Assistant Manager,Cong heart anomaly NOS
Mechanical Systems Engineer,Chr nephritis in oth dis
Office Assistant II,Joint dis NEC-mult jts
Nuclear Power Engineer,Corneal pannus
Developer III,Meth sus pneum d/t Staph
Community Outreach Specialist,Joint pain-up/arm
Associate Professor,Syphil pulmonary valve
Help Desk Technician,Atriovent block NOS
Assistant Manager,Lung injury NOS-open
Human Resources Assistant IV,Onchocerciasis
Account Executive,Gastrojejun ulc NOS-obst
Sales Associate,Hemochromatosis NEC
Software Test Engineer II,Prophyl or tx meas NOS
Information Systems Manager,Gross hematuria
Safety Technician II,War injury:lasers
Design Engineer,Observ-suspect cond NOS
Research Associate,Hypoactive sex desire
Librarian,No vaccination-religion
Sales Representative,Arterial embolism NEC
Design Engineer,Nodular lymphoma axilla
Sales Associate,Nerv root/plexus dis NEC
Clinical Specialist,Kidney laceration-closed
Sales Representative,Behcet arthritis-unspec
Professor,Unc beh neo brain/spinal
Analyst Programmer,Burn internal organ NOS
Biostatistician I,Vaccin for disease NEC
Paralegal,Late effect of trachoma
Geological Engineer,Mech comp respirator
Programmer I,Hematospermia
Geological Engineer,Hy ht/kd NOS st V w/o hf
Budget/Accounting Analyst IV,Accessory salivary gland
Software Engineer II,40-49% bdy brn/20-29% 3d
Chief Design Engineer,Lat disloc prox tibia-cl
Food Chemist,Dev dislocat joint-shldr
Safety Technician III,Chr blood loss anemia
Research Nurse,Headache syndrome NEC
Technical Writer,Mastitis-postpartum
Software Consultant,Sprain NOS
Nuclear Power Engineer,Heterophoria NOS
Health Coach I,Benign neo larynx
Database Administrator IV,Sinoatrial node dysfunct
Registered Nurse,Staphylcocc septicem NOS
Web Developer III,Sprain of jaw
Internal Auditor,"Retinoph prematr,stage 1"
Office Assistant II,Prim stabbing headache
Geologist IV,1st deg burn forearm
Structural Analysis Engineer,"Fx navicular, foot-clos"
Research Assistant I,Voyeurism
Food Chemist,Elbow enthesopathy NOS
Senior Cost Accountant,Benign neo uterus NEC
Electrical Engineer,Rheumatic chorea NOS
Editor,Ac emblsm axillary veins
Technical Writer,Malig melanoma ear
Nurse Practicioner,"Nevus, non-neoplastic"
Junior Executive,Joint dis NEC-unspec
Administrative Officer,Unil femoral hern w gang
Operator,War inj:blunt object
Technical Writer,Open wound finger-compl
Actuary,Monoc esotrop w a pattrn
Automation Specialist III,Carbuncle of leg
Administrative Assistant II,Sprain of knee & leg NOS
Staff Scientist,Fm hx-trach/bronchog mal
Community Outreach Specialist,Cholelithiasis NOS
Compensation Analyst,Stomach cont asp w resp
Chief Design Engineer,Orthodontics aftercare
Director of Sales,Hodgkins granulom mult
Internal Auditor,Coma
Web Developer III,TB fem gen NEC-micro dx
VP Accounting,Opn skul vlt fx w/o coma
Actuary,Bungee jumping
Nuclear Power Engineer,Encysted hydrocele
Graphic Designer,Fx femur intrcaps NOS-cl
Programmer IV,Kidney disruption-open
Account Coordinator,RR acc NEC-ped cyclist
Human Resources Assistant III,Dislocat knee NOS-open
Account Representative II,"Pancreas, head inj-close"
Recruiting Manager,Toxic myocarditis
VP Sales,Paralysis of bladder
Project Manager,Injury trunk nerve NEC
Programmer Analyst III,Foreign body penis
Staff Accountant III,Histoplasm caps pneumon
Compensation Analyst,Dosag fail-shock therapy
Editor,Trichiasis w/o entropion
Recruiting Manager,Traumatic anuria
Cost Accountant,Iris/ciliary disord NEC
Junior Executive,Laboratory exam NOS
Assistant Professor,Anal sphincter tear NOS
Software Consultant,Person consult for anoth
VP Sales,Aneurysm NOS
Actuary,Polyarthritis NOS-l/leg
Tax Accountant,War injury:lasers
Media Manager III,Cerebell contus w/o coma
Research Nurse,TB fem gen NEC-no exam
Recruiting Manager,Obesity hypovent synd
Community Outreach Specialist,Scrn intellect disabilty
Teacher,Osteoarthros NOS-pelvis
Tax Accountant,Sec neuroend tu oth site
Web Designer III,Ot VD chlm trch prtoneum
Office Assistant I,Pathol dislocat-jt NEC
Technical Writer,Eff air press by explos
Data Coordinator,Brain hem opn-brf coma
Budget/Accounting Analyst III,Microgenia
VP Marketing,Tox multnod goit no cris
Internal Auditor,Endometriosis in scar
Programmer III,Hypertrophic elong cervx
Technical Writer,"Old magnet fb, iris"
VP Marketing,"Fx phalanx, hand NOS-cl"
Physical Therapy Assistant,Fx capitate bone-closed
Geological Engineer,React-cardiac dev/graft
Research Associate,Fum/vap ac resp cond NEC
Research Associate,Abnorm labor NOS-antepar
Structural Analysis Engineer,Mal neo post oropharynx
Speech Pathologist,Upper limb anomaly NEC
Computer Systems Analyst I,Pneumonia strptococcus a
Chief Design Engineer,Watercraft fall NEC-crew
Systems Administrator II,"Sed,hyp,anxiolyt dep-rem"
VP Quality Control,Acc poisoning-antimony
Food Chemist,Staph pneumonia NEC
Recruiting Manager,Primary hypotony
Structural Engineer,RR coll w oth obj-employ
Physical Therapy Assistant,Cl skull vlt fx-coma NOS
Accountant I,Dicalc phos cryst-up/arm
Administrative Officer,Assault-letter bomb
VP Quality Control,"Keratoconus, ac hydrops"
VP Quality Control,Lower urin calcul NOS
Senior Financial Analyst,Fusion w def stereopsis
Librarian,FB respiratory tree NOS
Web Developer I,Synovial cyst NOS
Junior Executive,"Terrorism,dest aircraft"
Research Assistant II,DMI neuro uncntrld
Actuary,2nd deg burn ankle
Senior Sales Associate,Medical misadventure NEC
Associate Professor,Cl skull fx NEC-concuss
Paralegal,Cervical root lesion NEC
Internal Auditor,Ventricular sept defect
Staff Scientist,Pois-cephalosporin group
Sales Representative,Mat comp in utero-ante
Food Chemist,Inf arthritis NEC-mult
Structural Engineer,Diplopia
General Manager,Mv coll NOS-anim rid
Pharmacist,Sensorneur hear loss uni
Statistician IV,Subarach hem-concussion
Project Manager,Cystic kidney diseas NEC
Human Resources Manager,Prolong 2nd stage-antepa
Design Engineer,Burn cornea/conjunct NEC
Nurse,Great vein anomaly NEC
Financial Analyst,Int inf norwalk virus
Associate Professor,Vocal cord/larynx polyp
Web Developer IV,Loss labyrn react unilat
Technical Writer,"Liver laceration, minor"
Compensation Analyst,Fx shaft rad w ulna-open
Analyst Programmer,Acc poison-cosmetics
Dental Hygienist,Path fx tibia fibula
Teacher,Scar & fibrosis of skin
Developer I,Conduction disorder NEC
Senior Financial Analyst,Abdmnal pain generalized
General Manager,Leg ab w compl NOS-comp
Social Worker,Claw hand
Health Coach IV,Irregular menstruation
Automation Specialist II,Acc poison-piped gas
Database Administrator II,Abn reac-organ rem NEC
Nuclear Power Engineer,90% + bdy brn/3d deg NOS
Graphic Designer,Tics of organic origin
Mechanical Systems Engineer,Cong macroglossia
Project Manager,Hpt B chrn coma w dlta
GIS Technical Architect,Chondroectoderm dysplas
Systems Administrator IV,Abdmnal mass generalized
Assistant Professor,High vaginal lacer-deliv
Community Outreach Specialist,Opn skull vault fracture
Research Assistant IV,Benign neoplasm eye NOS
Media Manager I,Spinal cord inj at birth
Occupational Therapist,Osteochondrit dissecans
Sales Associate,Hx of neurosis
Human Resources Manager,Cong cntrl hypovent synd
Staff Accountant I,Edema pharynx/nasopharyx
Assistant Manager,Immune thrombocyt purpra
Business Systems Development Analyst,Septicemic plague
Graphic Designer,Abn pelv org NEC-deliver
Senior Quality Engineer,Ac miliary tb-exam unkn
Senior Financial Analyst,Screen-endoc/nut/met NEC
Physical Therapy Assistant,Periapical abscess
Geological Engineer,Spon ab w metab dis-comp
Actuary,Tympanosclerosis NOS
Help Desk Operator,Burn NOS lower leg
Executive Secretary,Anal hi risk HPV-DNA pos
Media Manager I,Cortex contus-coma NOS
Paralegal,Poisoning-iron/compounds
Desktop Support Technician,Sleep stage dysfunctions
Web Designer II,Abdmnal tndr rt upr quad
Budget/Accounting Analyst III,Alastrim
Web Developer III,Kaschin-beck dis-pelvis
Actuary,Acc poison-plants NEC
Assistant Media Planner,Adenoid vegetations
Librarian,Old vaginal laceration
Analyst Programmer,Elev ca-embryoic antigen
Geological Engineer,Disloc finger NOS-open
Developer I,Vis/ultraviol lght expos
Actuary,Bnign shuddering attacks
Statistician II,Acariasis NOS
Administrative Assistant II,Ben neo soft tissue head
Legal Assistant,Extravasn vesicant NEC
Product Engineer,Margin zone lymph spleen
Web Designer I,Ectp preg NOS w int preg
Staff Accountant III,Acc poison-methadone
Speech Pathologist,Visceral leishmaniasis
Analog Circuit Design manager,Cracked nipple-postpart
Nurse Practicioner,Heredit hemorr telangiec
Account Coordinator,Boat submers-swimmer
VP Quality Control,2nd deg burn hand-mult
Statistician II,Anencephalus
Senior Financial Analyst,Coxsackie endocarditis
Food Chemist,Peyronie's disease
Nurse Practicioner,Hematemesis
Compensation Analyst,Lt-for-dates 1250-1499g
Web Designer I,Pois-eye anti-infec/drug
Senior Sales Associate,Ac miliary tb-micro dx
Database Administrator I,Effect reduced temp NEC
Marketing Assistant,Cong face/neck anom NEC
Accounting Assistant IV,Fetal malnutrition <500g
Quality Engineer,Fx arm mult/NOS-closed
Recruiter,Ac cerebrovasc insuf NOS
Design Engineer,Benign neoplasm prostate
Senior Developer,Thrd-stage hem-del w p/p
Operator,Prim stabbing headache
Community Outreach Specialist,Pois-antacid/antigastric
Analyst Programmer,Lacrim canalic stenosis
Geological Engineer,Corneal foreign body
Speech Pathologist,Blepharitis NOS
Teacher,Malig neo skin site NOS
Administrative Assistant III,Postproc aspiration pneu
Computer Systems Analyst IV,Pseudomonal pneumonia
Accountant I,Rh incompat/acute HTR
Staff Accountant I,Family hx-breast malig
Civil Engineer,Hemarthrosis-shlder
Tax Accountant,Allerg arthritis-shlder
Chemical Engineer,Benign neo skin face NEC
Social Worker,Fx shaft tibia-closed
Assistant Media Planner,Fem genital symptoms NOS
Paralegal,Second hypertension NEC
Web Designer II,Oth curr cond-del w p/p
Computer Systems Analyst IV,Pois-viral/rick vacc NEC
Biostatistician II,Insect bite NEC
Information Systems Manager,Both eyes blind-who def
Technical Writer,Cong hip deformity NEC
Structural Analysis Engineer,Visceral aneurysm NEC
Nurse Practicioner,Kaschin-beck dis-ankle
Recruiter,Opn skl fx NEC-deep coma
Statistician IV,Colostomy status
Sales Associate,Retain plastic fragments
Administrative Officer,3rd deg burn eye
Office Assistant III,Open wnd eustachian tube
Help Desk Operator,Orthoptic training
Assistant Media Planner,Open skull base fracture
Dental Hygienist,Adhesion tympanum-incus
Account Coordinator,Pois-yellow fever vaccin
Engineer III,Obesity-delivered w p/p
Internal Auditor,Infected hydrocele
Automation Specialist IV,Cl skull fx NEC-mod coma
Senior Sales Associate,Hpt dlt wo b wo hpt coma
Sales Associate,Poisoning-anthelmintics
Programmer Analyst III,1st deg burn upper arm
Civil Engineer,Amphetamine abuse-unspec
Assistant Manager,Gingival recess-minimal
GIS Technical Architect,Synovial cyst NOS
Senior Sales Associate,Uterine inflam dis NOS
Junior Executive,Congen bronchiectasis
Structural Engineer,Prsnl hst peptic ulcr ds
Speech Pathologist,Branch cleft sinus/fistu
Help Desk Technician,Food poisn d/t v. vulnif
Human Resources Assistant III,Mal neo lower 3rd esoph
Engineer III,Acute lung edema NOS
Engineer III,Deep 3rd deg burn foot
Graphic Designer,Chronic sinusitis NEC
Senior Sales Associate,TB lung nodular-oth test
Senior Sales Associate,TB of ear-oth test
Staff Scientist,"Terrorism, biologicals"
Senior Cost Accountant,"Retinoph prematr,stage 1"
Nurse,Nutr/metab/devel sym NEC
Internal Auditor,Ridden animal acc-st car
Web Designer II,Hypertens NOS-del w p/p
Teacher,Extreme immatur 750-999g
Database Administrator III,Influenza with pneumonia
Media Manager I,"Comp edentulism,class I"
Research Nurse,Mild hypox-ischem enceph
Compensation Analyst,Dev disloc jt-lower leg
Software Test Engineer II,Pois-purine diuretics
Occupational Therapist,Mal second hyperten NEC
Compensation Analyst,Bone transplant status
Environmental Tech,Acc poisn-isopropyl alc
VP Product Management,Benign neo skin ear
VP Sales,Fx surg neck humerus-opn
Research Nurse,Poisoning-acidifying agt
Physical Therapy Assistant,Dis amino-acid metab NEC
Research Nurse,Int inf e coli entrpath
Media Manager IV,Severe preeclamp-unspec
Actuary,Mouth anomaly NEC
Geologist I,Embl suprfcl ves low ext
Clinical Specialist,Watercraft explos-swim
Operator,Ben carcinoid sig colon
VP Accounting,Cystitis in oth dis
Web Designer II,Streptococcus unspecf
Data Coordinator,FB post heart catheter
Staff Scientist,Measles complication NEC
Actuary,TB of mastoid-unspec
Web Developer I,Congen urethral stenosis
Web Designer II,Infect dis NEC-delivered
Senior Sales Associate,Sprain shoulder/arm NOS
Paralegal,W/craft stair fall-swim
Software Test Engineer I,Herpetic gingivostomat
Professor,Cl skl vlt fx/cerebr lac
Human Resources Manager,Post disloc elbow-open
Community Outreach Specialist,Congen syph meningitis
Nuclear Power Engineer,Agoraphobia w panic dis
Business Systems Development Analyst,Chlmyd trachomatis ureth
Senior Cost Accountant,Acute laryngopharyngitis
Quality Engineer,TB laryngitis-cult dx
Junior Executive,Late eff of self-injury
Computer Systems Analyst IV,Foreign body trunk-infec
General Manager,Pyoderma gangrenosum
Administrative Officer,Allergy dental res mat
Design Engineer,Fall from chair
Web Designer II,Delay p/part hem-postpar
Cost Accountant,Adv eff measles vaccine
Help Desk Operator,Fx upper end tibia-open
Programmer II,Dis carbohydr metab NEC
Research Nurse,TB of mastoid-exam unkn
Help Desk Technician,Postphl syn w ulc&inflam
Recruiting Manager,Gonococcal synovitis
Environmental Tech,Lt ef oth parals non-dom
Human Resources Manager,Schizoaffectv dis-subchr
Librarian,Routine gyn examination
Paralegal,Erythem nodos tb-cult dx
Graphic Designer,Fem genital symptoms NEC
Librarian,Calculus of ureter
Sales Representative,Vit A keratomalacia
Account Representative IV,Abnormal vulva-antepart
VP Marketing,Ac allerg sanguinous OM
Associate Professor,Unilat ing hernia w obst
VP Marketing,Hx military deployment
Nurse Practicioner,Benign neo esophagus
Quality Engineer,Gonorrhea-antepartum
Junior Executive,Mech loosening pros jt
Analog Circuit Design manager,Cor ath d/t lpd rch plaq
Analyst Programmer,Recurrnt sleep paralysis
Legal Assistant,Sebaceous gland dis NEC
Environmental Tech,Depr psychos-part remiss
Paralegal,Anom digestive syst NEC
Research Nurse,High vaginal lac-postpar
Financial Advisor,Renal hyperten-antepart
Web Developer I,Gonococcal eye NEC
Software Consultant,Maj prp infec NEC-unspec
Developer I,Other apnea of newborn
Tax Accountant,Issue of med certif NEC
Office Assistant III,Tubrcloma brain-oth test
Web Designer III,Chondrocalc NOS-forearm
Internal Auditor,Fasciitis NOS
Research Associate,Fit/adjust intestinl dev
Structural Analysis Engineer,Opn skull fx NEC-concuss
Design Engineer,Part epil w intr epil
Quality Engineer,TB of joint NEC-no exam
Financial Advisor,Fit contact lens/glasses
Help Desk Operator,Foreign body forearm-inf
Chief Design Engineer,Aircrft acc NEC-military
Administrative Officer,Stiff-man syndrome
Senior Financial Analyst,Burn NOS chest wall
Operator,Joint replaced ankle
