performance_review_id,employee_id,performance_review_date,reviewer,performance_rating,reviewer_comments,development_plans,training_areas
62,62,8/30/2023,25,2,posuere,lacus at velit vivamus vel nulla eget eros,donec posuere
63,63,12/27/2023,57,2,curabitur in,primis in faucibus orci luctus,eget massa tempor
64,64,7/20/2023,34,6,morbi,ac nulla sed vel enim sit amet,ut suscipit
65,65,9/15/2023,98,3,imperdiet,nulla suspendisse potenti cras in purus eu,tristique fusce
66,66,10/26/2023,23,3,neque sapien placerat,molestie sed justo pellentesque viverra pede ac,sem fusce
67,67,7/11/2023,60,1,sit,in sagittis dui vel nisl duis,in lectus pellentesque
68,68,3/20/2023,89,8,leo odio,ullamcorper augue a suscipit nulla,donec pharetra magna
69,69,4/13/2023,46,1,vestibulum,et ultrices posuere cubilia curae nulla,cursus vestibulum proin
70,70,10/7/2023,94,6,sed vel,magna bibendum imperdiet nullam orci pede,at turpis
71,71,4/29/2023,70,9,eget vulputate,pede ullamcorper augue a suscipit nulla elit ac,a feugiat
72,72,1/4/2023,78,1,purus aliquet at,turpis adipiscing lorem vitae mattis,interdum
73,73,4/20/2023,92,9,maecenas tincidunt lacus,ut massa quis augue luctus tincidunt nulla mollis,morbi
74,74,2/6/2023,79,1,neque vestibulum eget,nullam sit amet turpis elementum ligula vehicula,nam congue
75,75,9/4/2023,8,10,in,phasellus in felis donec semper sapien a,vel pede morbi
76,76,8/29/2023,42,3,porttitor,nonummy maecenas tincidunt lacus at,duis faucibus accumsan
77,77,11/23/2023,69,2,vehicula,habitasse platea dictumst etiam faucibus cursus urna,luctus rutrum
78,78,5/10/2023,12,6,odio,nonummy maecenas tincidunt lacus at velit vivamus vel,accumsan
79,79,7/27/2023,24,5,in faucibus orci,nunc purus phasellus in felis donec semper sapien,justo sollicitudin
80,80,7/22/2023,87,8,ipsum praesent blandit,tellus nulla ut erat id,nulla elit
81,81,9/17/2023,29,4,dolor sit amet,elit proin risus praesent lectus vestibulum quam sapien,nisl
82,82,1/19/2023,85,2,dui luctus rutrum,dui maecenas tristique est et tempus semper,aenean
83,83,2/9/2023,37,6,consectetuer,eu nibh quisque id justo sit amet sapien,nulla tellus
84,84,8/14/2023,63,3,id pretium iaculis,praesent blandit lacinia erat vestibulum sed magna,auctor sed tristique
85,85,3/24/2023,68,4,placerat ante nulla,lobortis vel dapibus at diam nam tristique tortor,massa
86,86,11/17/2023,73,7,posuere cubilia,pellentesque at nulla suspendisse potenti cras in purus,euismod scelerisque
87,87,11/5/2023,63,7,curae nulla,enim in tempor turpis nec euismod scelerisque quam,cubilia curae mauris
88,88,7/27/2023,31,1,ultrices mattis,pulvinar nulla pede ullamcorper augue a suscipit nulla,et eros
89,89,11/27/2023,85,2,dignissim,sit amet erat nulla tempus vivamus in felis,eget
90,90,3/1/2023,90,8,nibh in,non pretium quis lectus suspendisse potenti,in quam fringilla
91,91,2/14/2023,26,8,rhoncus mauris,adipiscing lorem vitae mattis nibh ligula,iaculis
92,92,3/13/2023,10,9,sapien arcu,bibendum imperdiet nullam orci pede,diam
93,93,11/11/2023,37,9,consequat,posuere metus vitae ipsum aliquam non mauris,suspendisse
94,94,4/30/2023,3,4,aliquam non,molestie lorem quisque ut erat curabitur gravida nisi,hendrerit at
95,95,2/13/2023,66,1,sapien varius,sem fusce consequat nulla nisl,vivamus
96,96,10/21/2023,30,7,non lectus,aliquam convallis nunc proin at turpis a pede,in
97,97,12/28/2023,75,5,lacinia eget,convallis eget eleifend luctus ultricies eu nibh,auctor sed
98,98,7/15/2023,43,8,condimentum,ut ultrices vel augue vestibulum ante,ac consequat
99,99,3/14/2023,92,2,sit amet,aliquam quis turpis eget elit,aliquet maecenas
100,100,6/9/2023,61,3,sed vel enim,in faucibus orci luctus et ultrices,dolor
